Gene	GeneType
CIRBP	regen
MMP2	regen
PRICKLE1	regen
ABCA1	regen
KAZALD1	regen
THBS3	regen
TMEM86A	regen
FILIP1L	regen
FN1	regen
CTSK	regen
CXCR4	regen
ISG15	regen
SALL4	regen
FBN2	regen
LAMB1	regen
MMP14	regen
UMOD	regen
CRY1	regen
LECT2	regen
ROR2	regen
SFRP2	regen
TAGLN	regen
TUBA1A	regen
VIM	regen
ABHD12	regen
C7	regen
COL12A1	regen
COL28A1	regen
COL7A1	regen
FTH1	regen
FZD2	regen
HMGCS2	regen
LTBP3	regen
MPEG1	regen
RHOU	regen
ANGPTL2	regen
CD109	regen
COL11A1	regen
CTSS	regen
FBXO48	regen
FKBP10	regen
FKBP9	regen
G0S2	regen
GPR137B	regen
GRN	regen
HSP90AA1	regen
IGFBP2	regen
PAMR1	regen
PRSS23	regen
PXDN	regen
RNASET2	regen
SLC2A1	regen
SLIT2	regen
C1QC	regen
C1QTNF1	regen
CMKLR1	regen
CPZ	regen
DDIT4	regen
EFNA1	regen
EIF2AK1	regen
F13B	regen
HBG2	regen
KLF11	regen
LAMA1	regen
MMP13	regen
PMEPA1	regen
POSTN	regen
PSCA	regen
ROBO1	regen
SERPINE2	regen
TFPI	regen
THBS2	regen
THBS4	regen
UCP2	regen
VWDE	regen
C1QB	regen
CD207	regen
COL3A1	regen
CTHRC1	regen
CYBB	regen
DNAJA1	regen
ENTPD1	regen
FABP2	regen
FIBIN	regen
FKBP14	regen
FSTL1	regen
ITIH5	regen
LOXL2	regen
MARCO	regen
MRC1	regen
NOX4	regen
PIM3	regen
RNF125	regen
SEMA6A	regen
SESN3	regen
CCDC80	regen
CD68	regen
CDH11	regen
CLEC11A	regen
EMILIN2	regen
FABP3	regen
GAL3ST4	regen
HAPLN3	regen
HMOX1	regen
HTRA1	regen
KRT5	regen
MMP3	regen
MYCN	regen
MYL2	regen
NCF1	regen
PAG1	regen
PLBD1	regen
PLOD2	regen
SERPINH1	regen
SFRP4	regen
SULF1	regen
TF	regen
TGFBI	regen
TMEFF1	regen
TPM2	regen
AGTRAP	regen
AREG	regen
BGN	regen
BMP1	regen
BTG1	regen
CALM1	regen
CHST2	regen
COL5A1	regen
COL5A2	regen
CSRP2	regen
CTSD	regen
DENND5A	regen
EFEMP1	regen
EPHA7	regen
ETV4	regen
F13A1	regen
FHL1	regen
ITGB5	regen
LGMN	regen
LUM	regen
MXRA5	regen
OSTM1	regen
PLTP	regen
PXMP2	regen
RGS3	regen
SESN1	regen
SFTPD	regen
SLC10A4	regen
SLC3A2	regen
SQSTM1	regen
SRGN	regen
TMEM132A	regen
TMEM37	regen
TNFAIP8L2	regen
ZMYND8	regen
ACP5	regen
ADH1B	regen
ASAH1	regen
CKAP4	regen
CRABP1	regen
CRABP2	regen
CUBN	regen
DNMT1	regen
ELK3	regen
EMX2	regen
GLB1	regen
GNAI2	regen
GPM6B	regen
GPNMB	regen
HARBI1	regen
HEBP2	regen
HPGD	regen
IGFBP5	regen
IGSF6	regen
IL1B	regen
ITGAD	regen
KERA	regen
KRT8	regen
LEP	regen
LOXL1	regen
MFAP5	regen
MGP	regen
MYOZ2	regen
ODC1	regen
PCOLCE2	regen
PLEK2	regen
PRICKLE2	regen
RBP1	regen
RCN1	regen
SLC37A2	regen
SMOX	regen
SMPX	regen
ST8SIA2	regen
STMN1	regen
STON1	regen
TATDN3	regen
TGFBR2	regen
TLL1	regen
TMEM144	regen
TNFSF10	regen
TXNIP	regen
ADH4	regen
APOH	regen
BCAR3	regen
BECN1	regen
CA2	regen
CALHM2	regen
CAMP	regen
CD69	regen
CDC42EP3	regen
CITED2	regen
CLEC2L	regen
CNDP2	regen
CYP3A4	regen
CYP7B1	regen
DACT1	regen
DCX	regen
DHRS4	regen
DIRAS2	regen
DST	regen
DUOX1	regen
DYNC1I1	regen
EDNRA	regen
EGR1	regen
ESPN	regen
EVC2	regen
FLNC	regen
GMEB1	regen
GPR34	regen
HYI	regen
KIT	regen
LYG2	regen
MATN2	regen
MFAP2	regen
MPP1	regen
NEIL1	regen
NEU1	regen
NFIL3	regen
NID2	regen
PCSK5	regen
PDE4B	regen
PLOD1	regen
RASA4	regen
RASL11B	regen
RFTN2	regen
RHOQ	regen
RRAD	regen
SIGLEC1	regen
SLC43A2	regen
SPARC	regen
SRPX2	regen
TIMP1	regen
TNC	regen
TSPAN18	regen
YPEL3	regen
ZNF414	regen
ZNF777	regen
ACTC1	regen
ANKRD1	regen
ANKS1B	regen
AOC3	regen
ARL4D	regen
ASAP1	regen
BLVRB	regen
C1QTNF5	regen
C3	regen
CALD1	regen
CES2	regen
COL4A1	regen
COX4I2	regen
CST3	regen
CTSH	regen
CTSZ	regen
DKK3	regen
EMILIN1	regen
EPDR1	regen
ERAP1	regen
EXOSC1	regen
FAM117A	regen
FBXO9	regen
FKBP7	regen
FZD8	regen
HSPA1L	regen
HVCN1	regen
IRGC	regen
ITGB3BP	regen
JUN	regen
KLF10	regen
LAYN	regen
LDB2	regen
MOSPD1	regen
MYLK	regen
NIN	regen
NPC2	regen
OLFML2B	regen
PNLIP	regen
PRCP	regen
PSAP	regen
PTHLH	regen
REV3L	regen
SFTPB	regen
SLC38A9	regen
SPI1	regen
TBC1D15	regen
THBS1	regen
TMEM45A	regen
TP53INP1	regen
TPM1	regen
TUBB2B	regen
UBTD2	regen
VWF	regen
YPEL5	regen
ZFP36	regen
ZNF25	regen
ZNF711	regen
ACSL4	regen
ACTA2	regen
ACTG1	regen
ACY3	regen
ADH7	regen
ALAS2	regen
ANK1	regen
ANLN	regen
ANXA2	regen
AP1S2	regen
AP2S1	regen
AQP1	regen
ARHGEF10	regen
ARPC5	regen
ATRIP	regen
BASP1	regen
BCL2L11	regen
