label	gene
upregulated.regen	MMP3
upregulated.regen	PCSK9
upregulated.regen	MYH3
upregulated.regen	ACTA1
upregulated.regen	FCGBP
upregulated.regen	LDLR
upregulated.regen	MPO
upregulated.regen	TPM1
upregulated.regen	CAMP
upregulated.regen	FMO3
upregulated.regen	NNMT
upregulated.regen	PVALB
upregulated.regen	ACTA2
upregulated.regen	ACTC1
upregulated.regen	CYP51A1
upregulated.regen	FBN1
upregulated.regen	HK2
upregulated.regen	MMP1
upregulated.regen	MYH4
upregulated.regen	MYL2
upregulated.regen	NCF1
upregulated.regen	NFKBIA
upregulated.regen	SLC2A1
upregulated.regen	CKM
upregulated.regen	FGFBP1
upregulated.regen	FGL2
upregulated.regen	GFPT2
upregulated.regen	IL1B
upregulated.regen	KRT5
upregulated.regen	LGALS1
upregulated.regen	MYL1
upregulated.regen	MYLPF
upregulated.regen	PRG4
upregulated.regen	TECTA
upregulated.regen	TNNC2
upregulated.regen	TTN
upregulated.regen	CHIT1
upregulated.regen	CIRBP
upregulated.regen	EHF
upregulated.regen	F2RL2
upregulated.regen	LECT2
upregulated.regen	MALL
upregulated.regen	MOXD1
upregulated.regen	NDRG1
upregulated.regen	OLFM4
upregulated.regen	RRAD
upregulated.regen	TNNI2
upregulated.regen	UMOD
upregulated.regen	CRISPLD2
upregulated.regen	DNAJC3
upregulated.regen	KRT12
upregulated.regen	KRT8
upregulated.regen	MYH1
upregulated.regen	MYH7
upregulated.regen	PRPH
upregulated.regen	PSCA
upregulated.regen	SFTPD
upregulated.regen	SOCS1
upregulated.regen	TNNT3
upregulated.regen	ARG1
upregulated.regen	CASP7
upregulated.regen	CDO1
upregulated.regen	EGR1
upregulated.regen	EREG
upregulated.regen	FCN1
upregulated.regen	HBA2
upregulated.regen	HYOU1
upregulated.regen	INMT
upregulated.regen	KRT19
upregulated.regen	MYH13
upregulated.regen	SPI1
upregulated.regen	TCN1
upregulated.regen	ALAS2
upregulated.regen	ALOX12B
upregulated.regen	CA2
upregulated.regen	CCL3L1
upregulated.regen	CHRDL1
upregulated.regen	CTSS
upregulated.regen	DES
upregulated.regen	DHRS4
upregulated.regen	DNAJB9
upregulated.regen	FAM3C
upregulated.regen	FDPS
upregulated.regen	HMGA1
upregulated.regen	HSPA5
upregulated.regen	HSPB1
upregulated.regen	ISG15
upregulated.regen	LGALS3
upregulated.regen	LGALS8
upregulated.regen	LSS
upregulated.regen	MAT2A
upregulated.regen	MMP13
upregulated.regen	MMP2
upregulated.regen	MYH11
upregulated.regen	MYL3
upregulated.regen	MYL7
upregulated.regen	MYOZ1
upregulated.regen	NEB
upregulated.regen	PTGES
upregulated.regen	PTX3
upregulated.regen	RHBDL2
