Gene	GeneType
TPM1	regen
MMP3	regen
LDLR	regen
ACTC1	regen
LECT2	regen
MYH11	regen
MYH3	regen
MYLPF	regen
ACTA1	regen
APRT	regen
CIRBP	regen
FCGBP	regen
INMT	regen
NNMT	regen
PCSK9	regen
CAMP	regen
DHRS4	regen
DNAJB9	regen
DNAJC3	regen
FMO3	regen
MYL2	regen
PFKM	regen
PLA2G7	regen
PVALB	regen
WSB1	regen
ACTA2	regen
CA2	regen
CTSS	regen
CYP51A1	regen
MAT2A	regen
MYH4	regen
NDRG1	regen
RRAD	regen
SDF2L1	regen
UCK2	regen
ABCA1	regen
ACSL4	regen
ANLN	regen
CKM	regen
CRISPLD2	regen
DCTPP1	regen
DNAJA4	regen
GRPEL1	regen
HSPA8	regen
HTRA1	regen
HYOU1	regen
LGALS1	regen
MALL	regen
MOXD1	regen
MYL1	regen
SDCBP2	regen
SKIL	regen
SMPX	regen
TECTA	regen
TGM2	regen
TNNC2	regen
TTN	regen
TUBA1A	regen
UGDH	regen
ABI3BP	regen
ACSS1	regen
ADH4	regen
ADH7	regen
ANKRD1	regen
ANXA2	regen
DCK	regen
ETHE1	regen
FAM83C	regen
FBN1	regen
FCN1	regen
HEBP2	regen
HSP90AA1	regen
KIF11	regen
LMNB1	regen
MFAP5	regen
MYH1	regen
MYH7	regen
NAT1	regen
PCOLCE2	regen
PFKP	regen
PLA2G4C	regen
PLK2	regen
PSCA	regen
PTGS1	regen
SDC4	regen
SLC16A6	regen
SMC4	regen
TNNI2	regen
TNNT3	regen
TPM3	regen
AK1	regen
CES2	regen
CHIT1	regen
CHRDL1	regen
DLGAP5	regen
EHF	regen
ENPP1	regen
FASTKD1	regen
FCN2	regen
FGFBP1	regen
HK2	regen
ISG15	regen
KRT5	regen
KRT8	regen
LEP	regen
MAD2L1	regen
MGP	regen
NFKBIA	regen
PTGES	regen
QRICH2	regen
SLC2A1	regen
TGFBR2	regen
AACS	regen
ALKBH5	regen
ATF5	regen
ATP6V1A	regen
AURKA	regen
BHMT	regen
CASP7	regen
CCNB1	regen
CDO1	regen
CHCHD10	regen
CKS1B	regen
COQ5	regen
CYP46A1	regen
DERL2	regen
DES	regen
DNAJB11	regen
ECT2	regen
EEF1E1	regen
EPDR1	regen
FLNC	regen
GRHL3	regen
HBE1	regen
HBG2	regen
HSPB1	regen
HSPD1	regen
ID2	regen
KIF15	regen
KIF20A	regen
KRT19	regen
LMF2	regen
LSS	regen
MCM4	regen
MCM6	regen
MMP1	regen
MRPL40	regen
MRPS10	regen
MUC2	regen
MYH13	regen
MYL3	regen
MYL7	regen
MYO1E	regen
MYOZ2	regen
NASP	regen
NCF1	regen
NMRAL1	regen
PGAM1	regen
POLA2	regen
POSTN	regen
PSAP	regen
PSPH	regen
SERPINE1	regen
SQLE	regen
TIMM13	regen
TP53I11	regen
UMOD	regen
ACCS	regen
ACSBG2	regen
ACY3	regen
ALAS2	regen
ALG2	regen
AQP1	regen
ATAD2	regen
ATP6V1B2	regen
CASQ1	regen
CDC25A	regen
CDC7	regen
CHAF1A	regen
CHCHD4	regen
CPT1A	regen
CRELD2	regen
CYC1	regen
DDIT4	regen
DNAJC2	regen
DNM1L	regen
E2F3	regen
E2F8	regen
EHD3	regen
EIF4E	regen
EIF4G1	regen
ESCO2	regen
EZR	regen
FAM3C	regen
FDPS	regen
FGL2	regen
FOXO1	regen
GFPT2	regen
GNL3	regen
GRIK2	regen
HNRNPM	regen
IFI44L	regen
ITGA6	regen
KIF23	regen
KIT	regen
KRT12	regen
LGALS3	regen
LMO7	regen
MELK	regen
MMP13	regen
MPEG1	regen
MPO	regen
MUC16	regen
MVK	regen
MYOZ1	regen
NAT2	regen
NCAPH	regen
NDC80	regen
NDUFV1	regen
NEB	regen
OLFML2A	regen
PDE4B	regen
PGP	regen
PHB2	regen
PMEPA1	regen
PPM1K	regen
PPRC1	regen
PRPH	regen
PSMD14	regen
RASL11B	regen
RFC2	regen
S100Z	regen
SFTPD	regen
SLC16A1	regen
SLC25A4	regen
STIP1	regen
STK39	regen
SULT1A1	regen
SYT16	regen
TCN1	regen
TDRD7	regen
TOMM40	regen
TRAM1	regen
UCHL1	regen
UNC45B	regen
UTP14A	regen
UTP14C	regen
VLDLR	regen
ABCB9	regen
ARG1	regen
ASF1B	regen
BATF3	regen
C1QBP	regen
CCL3L1	regen
CCNA2	regen
CFL2	regen
CITED2	regen
CNN2	regen
COX7A1	regen
CYTH1	regen
DCBLD1	regen
DHTKD1	regen
DKC1	regen
DUSP5	regen
EGR1	regen
ELOVL7	regen
EMG1	regen
EPPK1	regen
ESF1	regen
FKBP11	regen
GADD45A	regen
GINS2	regen
GSTO1	regen
GYS1	regen
HAUS8	regen
HEXB	regen
HIF1AN	regen
HMGA1	regen
HMOX1	regen
HSPA5	regen
IDH3A	regen
IL1B	regen
ITGB4	regen
KCNAB1	regen
KLHDC7A	regen
LGALS8	regen
LGI1	regen
LMNA	regen
MMP8	regen
MPZL3	regen
MSMB	regen
MYH2	regen
NCAPD2	regen
NFIL3	regen
NMT1	regen
PDHX	regen
PDIA4	regen
PDK2	regen
PGK1	regen
PIP5K1B	regen
PLCXD2	regen
PPP1R14A	regen
PRG4	regen
PRIM1	regen
PSMB9	regen
PSMC4	regen
PSMD12	regen
PSMD13	regen
PWP2	regen
RACGAP1	regen
RHBDL2	regen
SCG2	regen
SESN3	regen
SFPQ	regen
SLC10A4	regen
SLC35B1	regen
SLC4A4	regen
SMYD5	regen
SOBP	regen
SPEN	regen
SPI1	regen
SSRP1	regen
TIMP1	regen
TMEM11	regen
TNNC1	regen
TNNT1	regen
TNPO3	regen
TPM4	regen
UGT1A9	regen
USP14	regen
WFDC8	regen
ZMPSTE24	regen
ABHD12	regen
AHCY	regen
AMD1	regen
ANKDD1A	regen
ATP1A1	regen
ATP6AP1	regen
ATP6V1G3	regen
ATPAF1	regen
BCAR3	regen
CDCA3	regen
CHAF1B	regen
CMIP	regen
CMKLR1	regen
CNDP2	regen
COX6B1	regen
CRYAB	regen
CUL4B	regen
CYP2A13	regen
DCTD	regen
DEPDC7	regen
EHD4	regen
EREG	regen
FAM114A1	regen
FBP1	regen
FICD	regen
GJB6	regen
GOSR2	regen
HBA2	regen
HERC4	regen
HMGCS1	regen
HSPA9	regen
HSPE1	regen
HVCN1	regen
IFRD2	regen
IGFBP3	regen
IMPDH2	regen
ING3	regen
JMJD6	regen
KPNA2	regen
LARP4	regen
LITAF	regen
M6PR	regen
MAL	regen
MAP2K3	regen
MASTL	regen
MMP2	regen
MYBPC2	regen
MYOM2	regen
PBK	regen
PCNA	regen
PDCD6	regen
PFN1	regen
PHLDA2	regen
PLXNB2	regen
PRC1	regen
RCOR1	regen
RETSAT	regen
RHAG	regen
RHCG	regen
RPA1	regen
SASS6	regen
SELENBP1	regen
SGCB	regen
SLC25A29	regen
SLC25A33	regen
SMG7	regen
SNX10	regen
SRL	regen
SULT1A2	regen
SURF4	regen
SUSD3	regen
TMEM127	regen
TMEM33	regen
TMEM38A	regen
TMEM44	regen
TMEM45A	regen
TPM2	regen
TSPO	regen
TYMS	regen
UBE2S	regen
ABHD3	regen
ACIN1	regen
ACSBG1	regen
ACTR2	regen
ADAM9	regen
ADH1B	regen
AQP4	regen
ARHGAP11A	regen
ARHGAP12	regen
ARRDC2	regen
BACE2	regen
BIRC5	regen
BTG1	regen
BTG3	regen
C16orf89	regen
C7	regen
CA7	regen
CBR1	regen
CCDC86	regen
CDKN1B	regen
CHIC2	regen
CMAS	regen
CROT	regen
CRTAC1	regen
DHRS7C	regen
DNMT1	regen
DUSP10	regen
E2F4	regen
EFEMP1	regen
EGFR	regen
EIF4A2	regen
EPN3	regen
ETV4	regen
F13B	regen
FHL2	regen
FHL3	regen
FILIP1	regen
GANAB	regen
GDPD3	regen
GLTP	regen
GNG13	regen
GOLT1B	regen
GPI	regen
GSTP1	regen
HERC6	regen
HM13	regen
HMBS	regen
HSD17B10	regen
HSD17B7	regen
HSP90B1	regen
HSPA4	regen
IPPK	regen
JAG2	regen
KLF17	regen
KLF18	regen
LINGO1	regen
LPCAT1	regen
LYG2	regen
MANF	regen
MAPT	regen
MCM3	regen
METTL7A	regen
MMP10	regen
MRC1	regen
MSLN	regen
MTX1	regen
MUC5B	regen
MYO1D	regen
NEBL	regen
OAS3	regen
OAT	regen
PAK1IP1	regen
PDLIM5	regen
PGLYRP1	regen
PI3	regen
PRDM5	regen
PRDX4	regen
PRTN3	regen
RAB40B	regen
RAC1	regen
RALGPS2	regen
RBP1	regen
RFK	regen
RLBP1	regen
RNF25	regen
RPA2	regen
RPS6KA3	regen
SACM1L	regen
FBXL17	stress
FBXL7	stress
NSD1	stress
CRISPLD2	stress
FBXL19	stress
SETDB1	stress
SKP2	stress
SLC37A1	stress
VRK1	stress
GNAS	stress
SETD1B	stress
SLC17A1	stress
VRK2	stress
VRK3	stress
CSNK1G1	stress
FBXL15	stress
FBXL18	stress
FBXL3	stress
HNF4G	stress
KMT2D	stress
MFSD14A	stress
NR2F2	stress
SLC17A3	stress
SLC2A1	stress
SLC2A10	stress
ZNF532	stress
CES5A	stress
CSNK1A1L	stress
FBXL5	stress
NLGN1	stress
SLC17A2	stress
SLC17A4	stress
SLC17A5	stress
SLC17A7	stress
SLC17A8	stress
SLC37A4	stress
TTBK1	stress
ACHE	stress
CEL	stress
CES1	stress
CES2	stress
CES3	stress
CES4A	stress
CHIA	stress
FBXL13	stress
FBXL2	stress
FBXL20	stress
FBXL22	stress
FBXL6	stress
GPR139	stress
GPR142	stress
MFSD10	stress
NLGN2	stress
NLGN3	stress
NLGN4X	stress
NLGN4Y	stress
NR2C2	stress
OVGP1	stress
SLC37A2	stress
AKR1B15	stress
AKR1C1	stress
CHI3L1	stress
CHI3L2	stress
CHIT1	stress
CTSF	stress
EPHX1	stress
EZH1	stress
EZH2	stress
KMT2A	stress
KMT2B	stress
KMT2C	stress
PPARG	stress
RARB	stress
RXRG	stress
SETBP1	stress
SETDB2	stress
SLC17A6	stress
SLC2A3	stress
SLC2A6	stress
AKR1B10	stress
AKR1C2	stress
AKR1C3	stress
AKR1C4	stress
AKR1C8P	stress
AKR7A2	stress
AKR7A3	stress
ARRDC5	stress
CLEC18A	stress
CLEC18B	stress
CLEC18C	stress
CRISP1	stress
CRISP2	stress
CRISP3	stress
CRISPLD1	stress
CTSL	stress
CTSV	stress
FBXL14	stress
GLIPR1	stress
GLIPR1L1	stress
GLIPR1L2	stress
HNF4A	stress
NSD2	stress
PI15	stress
