gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
ARF5,0.29980699120737725,0.29966402173136036,0.031453284723711485,0.031453284723711485,0.0
CALM2,0.29980699120737725,0.2997355064693688,0.03545643005218386,0.03545643005218386,0.0
ARHGEF9,0.29980699120737725,0.29902065908928444,0.011866466509400243,0.011866466509400243,0.0
ERN1,0.29980699120737725,0.29966402173136036,0.032096647365787406,0.032096647365787406,0.0
CDKN2A,0.29980699120737725,0.29980699120737725,0.08084923868754021,0.08084923868754021,0.0
P4HB,0.29980699120737725,0.2997355064693688,0.052040889270140826,0.05196940453213239,7.14847380084352e-05
STX10,0.29980699120737725,0.2979483880191579,0.01458288655372078,0.014511401815712345,7.14847380084352e-05
GNB4,0.29980699120737725,0.2997355064693688,0.020802058760454642,0.020802058760454642,0.0
KIF5C,0.29980699120737725,0.29980699120737725,0.031453284723711485,0.031453284723711485,0.0
GART,0.29980699120737725,0.29980699120737725,0.07069840589034242,0.07069840589034242,0.0
SACM1L,0.29980699120737725,0.29966402173136036,0.02859389520337408,0.02859389520337408,0.0
SGSM3,0.29980699120737725,0.2987347201372507,0.008578168561012223,0.00850668382300379,7.14847380084352e-05
GORAB,0.29980699120737725,0.29566087640288796,0.004789477446565158,0.004789477446565158,0.0
NPHP3,0.29980699120737725,0.29944956751733504,0.01701336764600758,0.01701336764600758,0.0
DAPK1,0.29980699120737725,0.29966402173136036,0.025234112516977627,0.025234112516977627,0.0
STK17A,0.29980699120737725,0.2993065980413182,0.012080920723425549,0.012080920723425549,0.0
SPTBN2,0.29980699120737725,0.29944956751733504,0.02323253985274144,0.02323253985274144,0.0
KIF13B,0.29980699120737725,0.2995210522553435,0.016441489741940096,0.016441489741940096,0.0
RAPGEF4,0.29980699120737725,0.2995925369933519,0.016870398169990707,0.016870398169990707,0.0
DOCK2,0.29980699120737725,0.2990921438272929,0.013153191793552076,0.01308170705554364,7.14847380084352e-05
STK33,0.29980699120737725,0.2995925369933519,0.01250982915147616,0.01250982915147616,0.0
PDK3,0.29980699120737725,0.2995210522553435,0.021659875616555864,0.02158839087854743,7.14847380084352e-05
TGFB1I1,0.29980699120737725,0.2991636285653013,0.01701336764600758,0.016941882907999143,7.14847380084352e-05
POTEF,0.29980699120737725,0.29980699120737725,0.06562298949174351,0.06562298949174351,0.0
RAPGEF5,0.29980699120737725,0.29844878118521695,0.007434412752877261,0.007434412752877261,0.0
AP1B1,0.29980699120737725,0.2997355064693688,0.021159482450496817,0.021159482450496817,0.0
HPS5,0.29980699120737725,0.2920866395024662,0.004289084280506112,0.004217599542497677,7.14847380084352e-05
ARHGEF16,0.29980699120737725,0.29944956751733504,0.012581313889484596,0.012581313889484596,0.0
CADPS2,0.29980699120737725,0.298949174351276,0.012724283365501465,0.01265279862749303,7.14847380084352e-05
MAP3K2,0.29980699120737725,0.29966402173136036,0.027021230967188507,0.027021230967188507,0.0
GNAL,0.29980699120737725,0.2995210522553435,0.016727428693973836,0.0166559439559654,7.14847380084352e-05
CDC42,0.29980699120737725,0.29980699120737725,0.07241403960254486,0.07241403960254486,0.0
ROS1,0.29980699120737725,0.2995210522553435,0.020301665594395595,0.020301665594395595,0.0
MPHOSPH8,0.29980699120737725,0.29966402173136036,0.049610408177854025,0.049610408177854025,0.0
GGA3,0.29980699120737725,0.2995925369933519,0.017299306598041318,0.017299306598041318,0.0
MUSK,0.29980699120737725,0.2995210522553435,0.02366144828079205,0.023589963542783615,7.14847380084352e-05
TBC1D17,0.29980699120737725,0.2988062048752591,0.01086568017728215,0.01086568017728215,0.0
AP2B1,0.29980699120737725,0.29966402173136036,0.025591536207019802,0.025520051469011366,7.14847380084352e-05
KIF21A,0.29980699120737725,0.29966402173136036,0.020015726642361856,0.020015726642361856,0.0
HIPK2,0.29980699120737725,0.2997355064693688,0.02609192937307885,0.026020444635070413,7.14847380084352e-05
STK38,0.29980699120737725,0.29966402173136036,0.027593108871255986,0.027521624133247553,7.14847380084352e-05
SEC22A,0.29980699120737725,0.2990921438272929,0.014940310243762956,0.014868825505754522,7.14847380084352e-05
ASB9,0.29980699120737725,0.29966402173136036,0.023875902494817358,0.023875902494817358,0.0
FEM1C,0.29980699120737725,0.29944956751733504,0.021945814568589607,0.021945814568589607,0.0
TOM1L2,0.29980699120737725,0.2991636285653013,0.014011008649653298,0.014011008649653298,0.0
SSH1,0.29980699120737725,0.2991636285653013,0.019586818214311245,0.019586818214311245,0.0
ACSL1,0.29980699120737725,0.2995925369933519,0.025520051469011366,0.02544856673100293,7.14847380084352e-05
PPP4C,0.29980699120737725,0.2997355064693688,0.05840303095289156,0.05840303095289156,0.0
TUBB2B,0.29980699120737725,0.2997355064693688,0.030595467867610266,0.03052398312960183,7.14847380084352e-05
TMED7,0.29980699120737725,0.29887768961326755,0.015869611837872614,0.015869611837872614,0.0
UNC50,0.29980699120737725,0.2928014868825506,0.006076202730716992,0.006076202730716992,0.0
NCALD,0.29980699120737725,0.2995925369933519,0.022017299306598043,0.022017299306598043,0.0
SMYD2,0.29980699120737725,0.2995210522553435,0.03352634212595611,0.03352634212595611,0.0
ARVCF,0.29980699120737725,0.298949174351276,0.009578954893130317,0.009578954893130317,0.0
LPGAT1,0.29980699120737725,0.2980913574951748,0.008363714346986918,0.008363714346986918,0.0
VPS51,0.29980699120737725,0.29859175066123383,0.01472585602973765,0.014654371291729217,7.14847380084352e-05
PSD3,0.29980699120737725,0.2993065980413182,0.011366073343341197,0.01129458860533276,7.14847380084352e-05
MAPK12,0.29980699120737725,0.2997355064693688,0.042318964900993634,0.042318964900993634,0.0
ARHGEF3,0.29980699120737725,0.2993780827793266,0.013653584959611123,0.013653584959611123,0.0
RAB10,0.29980699120737725,0.2997355064693688,0.020873543498463078,0.020873543498463078,0.0
PTK7,0.29980699120737725,0.29966402173136036,0.03152476946171992,0.031453284723711485,7.14847380084352e-05
PPP2R2A,0.29980699120737725,0.2997355064693688,0.025091143040960755,0.025091143040960755,0.0
IFT27,0.29980699120737725,0.297305025377082,0.006576595896776038,0.006576595896776038,0.0
MAP3K7,0.29980699120737725,0.2997355064693688,0.032525555793838014,0.032525555793838014,0.0
VPS33A,0.29980699120737725,0.2976624490671242,0.01415397812567017,0.014082493387661734,7.14847380084352e-05
PPP2R2B,0.29980699120737725,0.29980699120737725,0.027521624133247553,0.027521624133247553,0.0
PDLIM4,0.29980699120737725,0.2993065980413182,0.01293873757952677,0.01293873757952677,0.0
MYO1F,0.29980699120737725,0.29944956751733504,0.02187432983058117,0.02187432983058117,0.0
ZAP70,0.29980699120737725,0.2995210522553435,0.03173922367574523,0.03173922367574523,0.0
FER,0.29980699120737725,0.29944956751733504,0.017299306598041318,0.017299306598041318,0.0
PGGT1B,0.29980699120737725,0.29623275430695545,0.006719565372792909,0.006719565372792909,0.0
NGLY1,0.29980699120737725,0.29830581170920006,0.008864107513045965,0.008792622775037529,7.14847380084352e-05
ARFGAP1,0.29980699120737725,0.29966402173136036,0.020587604546429338,0.020516119808420902,7.14847380084352e-05
RGL1,0.29980699120737725,0.29494602902280365,0.004860962184573593,0.004860962184573593,0.0
DOCK3,0.29980699120737725,0.2995925369933519,0.014368432339695475,0.014368432339695475,0.0
RAB23,0.29980699120737725,0.2988062048752591,0.010079348059189364,0.010007863321180928,7.14847380084352e-05
DOCK8,0.29980699120737725,0.2993065980413182,0.00922153120308814,0.009150046465079706,7.14847380084352e-05
HHEX,0.29980699120737725,0.2995210522553435,0.019086425048252198,0.019086425048252198,0.0
ANK2,0.29980699120737725,0.29980699120737725,0.045678747587390094,0.045678747587390094,0.0
TPM4,0.29980699120737725,0.2997355064693688,0.024233326184859533,0.024161841446851098,7.14847380084352e-05
PPP1CA,0.29980699120737725,0.29980699120737725,0.07062692115233397,0.07062692115233397,0.0
SRC,0.29980699120737725,0.29980699120737725,0.08621059403817286,0.08621059403817286,0.0
ARHGEF5,0.29980699120737725,0.29923511330330976,0.010794195439273716,0.010794195439273716,0.0
PRKCD,0.29980699120737725,0.29966402173136036,0.030166559439559655,0.030166559439559655,0.0
DUSP10,0.29980699120737725,0.29966402173136036,0.020516119808420902,0.020516119808420902,0.0
KDM5B,0.29980699120737725,0.2997355064693688,0.03645721638430195,0.03645721638430195,0.0
PPEF1,0.29980699120737725,0.2995925369933519,0.031095861033669313,0.031095861033669313,0.0
PSEN1,0.29980699120737725,0.29980699120737725,0.042104510686968334,0.0420330259489599,7.14847380084352e-05
CTNND2,0.29980699120737725,0.29966402173136036,0.020659089284437774,0.020659089284437774,0.0
STX11,0.29980699120737725,0.2993780827793266,0.015440703409822003,0.015440703409822003,0.0
FEM1A,0.29980699120737725,0.29944956751733504,0.02037315033240403,0.02037315033240403,0.0
KLC1,0.29980699120737725,0.2995925369933519,0.022374722996640218,0.022303238258631782,7.14847380084352e-05
RHOC,0.29980699120737725,0.2997355064693688,0.042962327543069556,0.04289084280506112,7.14847380084352e-05
IKBKE,0.29980699120737725,0.29944956751733504,0.025591536207019802,0.025520051469011366,7.14847380084352e-05
MYH13,0.29980699120737725,0.2997355064693688,0.01801415397812567,0.01801415397812567,0.0
DUSP19,0.29980699120737725,0.29887768961326755,0.014368432339695475,0.014368432339695475,0.0
CDKN2B,0.29980699120737725,0.2997355064693688,0.04024590749874902,0.04024590749874902,0.0
COPZ2,0.29980699120737725,0.298949174351276,0.010651225963256844,0.010579741225248409,7.14847380084352e-05
MYO1B,0.29980699120737725,0.2995925369933519,0.02323253985274144,0.02323253985274144,0.0
ANKRD32,0.29980699120737725,0.29966402173136036,0.03788691114447065,0.03788691114447065,0.0
ANKRD54,0.29980699120737725,0.2995210522553435,0.01980127242833655,0.01980127242833655,0.0
GUCY1A3,0.29980699120737725,0.29966402173136036,0.024805204088927012,0.024805204088927012,0.0
KIF15,0.29980699120737725,0.2997355064693688,0.025948959897061977,0.02587747515905354,7.14847380084352e-05
ASB6,0.29980699120737725,0.2995925369933519,0.024519265136893273,0.024519265136893273,0.0
KIF13A,0.29980699120737725,0.29966402173136036,0.017370791336049754,0.017370791336049754,0.0
