gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
ARF5,0.30188004860962186,0.30188004860962186,0.03788691114447065,0.03788691114447065,0.0
CALM2,0.30188004860962186,0.3018085638716134,0.04239044963900207,0.04239044963900207,0.0
ARHGEF9,0.30188004860962186,0.30166559439559654,0.014368432339695475,0.014368432339695475,0.0
ERN1,0.30188004860962186,0.3018085638716134,0.03581385374222604,0.0357423690042176,7.14847380084352e-05
CDKN2A,0.30188004860962186,0.3018085638716134,0.09643291157337909,0.09643291157337909,0.0
P4HB,0.30188004860962186,0.30188004860962186,0.05289870612624205,0.05289870612624205,0.0
STX10,0.30188004860962186,0.30080777753949534,0.011509042819358066,0.011509042819358066,0.0
GNB4,0.30188004860962186,0.30188004860962186,0.028450925727357208,0.028379440989348775,7.14847380084352e-05
KIF5C,0.30188004860962186,0.30188004860962186,0.03752948745442848,0.03752948745442848,0.0
GART,0.30188004860962186,0.30188004860962186,0.06462220315962541,0.06455071842161698,7.14847380084352e-05
SACM1L,0.30188004860962186,0.3015941096575881,0.02323253985274144,0.02323253985274144,0.0
SGSM3,0.30188004860962186,0.30109371649152905,0.010794195439273716,0.010794195439273716,0.0
GORAB,0.30188004860962186,0.297805418543141,0.005504324826649511,0.005432840088641075,7.14847380084352e-05
NPHP3,0.30188004860962186,0.3018085638716134,0.018300092930159412,0.018300092930159412,0.0
DAPK1,0.30188004860962186,0.30188004860962186,0.02916577310744156,0.02916577310744156,0.0
STK17A,0.30188004860962186,0.3013081707055544,0.015369218671813567,0.015369218671813567,0.0
SPTBN2,0.30188004860962186,0.3018085638716134,0.024447780398884837,0.024447780398884837,0.0
KIF13B,0.30188004860962186,0.30152262491957965,0.020659089284437774,0.020659089284437774,0.0
RAPGEF4,0.30188004860962186,0.301737079133605,0.019300879262277505,0.019300879262277505,0.0
