gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
ARF5,0.3749374508542426,0.3749374508542426,0.04689398813353349,0.04682250339552506,7.14847380084352e-05
CALM2,0.3749374508542426,0.3749374508542426,0.05039674029594682,0.05032525555793838,7.14847380084352e-05
ARHGEF9,0.3749374508542426,0.37422260347415826,0.017227821860032883,0.017227821860032883,0.0
ERN1,0.3749374508542426,0.3742940882121667,0.04496390020730574,0.04489241546929731,7.14847380084352e-05
CDKN2A,0.3749374508542426,0.3749374508542426,0.1151619129315891,0.11509042819358067,7.14847380084352e-05
P4HB,0.3749374508542426,0.3749374508542426,0.0700550432482665,0.0700550432482665,0.0
STX10,0.3749374508542426,0.37236400028593897,0.01594109657588105,0.015869611837872614,7.14847380084352e-05
GNB4,0.3749374508542426,0.3747229966402173,0.03531346057616699,0.03531346057616699,0.0
KIF5C,0.3749374508542426,0.3749374508542426,0.04968189291586246,0.04968189291586246,0.0
GART,0.3749374508542426,0.3747229966402173,0.07663163914504253,0.07656015440703409,7.14847380084352e-05
SACM1L,0.3749374508542426,0.37465151190220886,0.0330974336979055,0.0330974336979055,0.0
SGSM3,0.3749374508542426,0.3722210308099221,0.01308170705554364,0.013010222317535207,7.14847380084352e-05
GORAB,0.3749374508542426,0.36864679390950034,0.006219172206733862,0.006219172206733862,0.0
NPHP3,0.3749374508542426,0.374008149260133,0.020301665594395595,0.020301665594395595,0.0
DAPK1,0.3749374508542426,0.37479448137822574,0.03502752162413325,0.03502752162413325,0.0
STK17A,0.3749374508542426,0.3742940882121667,0.01679891343198227,0.01679891343198227,0.0
SPTBN2,0.3749374508542426,0.37479448137822574,0.031596254199728356,0.031596254199728356,0.0
KIF13B,0.3749374508542426,0.37365072557009077,0.02258917721066552,0.02251769247265709,7.14847380084352e-05
RAPGEF4,0.3749374508542426,0.3747229966402173,0.029094288369433126,0.02902280363142469,7.14847380084352e-05
DOCK2,0.3749374508542426,0.3744370576881836,0.026735292015154764,0.026663807277146328,7.14847380084352e-05
STK33,0.3749374508542426,0.3742940882121667,0.01679891343198227,0.01679891343198227,0.0
