gene_celegans_stress_down,celegans_stress_down_Fraction_sp_less4,celegans_stress_down_Fraction_sp_less3,celegans_stress_down_Fraction_sp_less2,celegans_stress_down_Fraction_sp_1,celegans_stress_down_Fraction_sp_0
ARF5,0.25082712985938793,0.2506720430107527,0.02424524400330852,0.024193548387096774,5.1695616211745244e-05
CALM2,0.25082712985938793,0.25072373862696445,0.033757237386269644,0.0337055417700579,5.1695616211745244e-05
ARHGEF9,0.25082712985938793,0.25005169561621177,0.010442514474772539,0.010442514474772539,0.0
ERN1,0.25082712985938793,0.2506203473945409,0.026364764267990073,0.026364764267990073,0.0
CDKN2A,0.25082712985938793,0.25082712985938793,0.058622828784119105,0.058622828784119105,0.0
P4HB,0.25082712985938793,0.25077543424317617,0.04218362282878412,0.042131927212572376,5.1695616211745244e-05
STX10,0.25082712985938793,0.24881100082712987,0.009822167080231597,0.009822167080231597,0.0
GNB4,0.25082712985938793,0.2506720430107527,0.018662117452440032,0.018610421836228287,5.1695616211745244e-05
KIF5C,0.25082712985938793,0.25072373862696445,0.026778329197684036,0.026778329197684036,0.0
GART,0.25082712985938793,0.25077543424317617,0.055417700578990904,0.055417700578990904,0.0
SACM1L,0.25082712985938793,0.2505686517783292,0.02000620347394541,0.02000620347394541,0.0
SGSM3,0.25082712985938793,0.2490694789081886,0.008012820512820512,0.008012820512820512,0.0
GORAB,0.25082712985938793,0.2455541770057899,0.002946650124069479,0.002946650124069479,0.0
NPHP3,0.25082712985938793,0.2501033912324235,0.016490901571546732,0.016490901571546732,0.0
DAPK1,0.25082712985938793,0.2506720430107527,0.020729942100909844,0.020729942100909844,0.0
STK17A,0.25082712985938793,0.25,0.011373035566583953,0.011373035566583953,0.0
SPTBN2,0.25082712985938793,0.2505686517783292,0.019696029776674936,0.019696029776674936,0.0
KIF13B,0.25082712985938793,0.2501033912324235,0.010184036393713814,0.010184036393713814,0.0
RAPGEF4,0.25082712985938793,0.25051695616211744,0.01607733664185277,0.01607733664185277,0.0
DOCK2,0.25082712985938793,0.25051695616211744,0.009873862696443341,0.009873862696443341,0.0
STK33,0.25082712985938793,0.2501033912324235,0.010804383788254756,0.010804383788254756,0.0
PDK3,0.25082712985938793,0.25041356492969397,0.018713813068651778,0.018662117452440032,5.1695616211745244e-05
TGFB1I1,0.25082712985938793,0.25005169561621177,0.014526468155500414,0.014474772539288668,5.1695616211745244e-05
POTEF,0.25082712985938793,0.25077543424317617,0.05283291976840364,0.05283291976840364,0.0
RAPGEF5,0.25082712985938793,0.24974152191894128,0.006617038875103391,0.006617038875103391,0.0
AP1B1,0.25082712985938793,0.2503618693134822,0.01695616211745244,0.01695616211745244,0.0
HPS5,0.25082712985938793,0.24446856906534326,0.003360215053763441,0.003360215053763441,0.0
ARHGEF16,0.25082712985938793,0.2503101736972705,0.011269644334160464,0.011217948717948718,5.1695616211745244e-05
