gene_celegans_stress_up,celegans_stress_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less3,celegans_stress_up_Fraction_sp_less2,celegans_stress_up_Fraction_sp_1,celegans_stress_up_Fraction_sp_0
ARF5,0.28293010752688175,0.2828267162944582,0.028794458229942102,0.028742762613730356,5.1695616211745244e-05
CALM2,0.28293010752688175,0.28287841191067,0.03763440860215054,0.03758271298593879,5.1695616211745244e-05
ARHGEF9,0.28293010752688175,0.28168941273779985,0.012200165425971878,0.012200165425971878,0.0
ERN1,0.28293010752688175,0.2827750206782465,0.029518196856906535,0.029518196856906535,0.0
CDKN2A,0.28293010752688175,0.28293010752688175,0.065343258891646,0.065343258891646,0.0
P4HB,0.28293010752688175,0.28293010752688175,0.04693961952026468,0.046887923904052935,5.1695616211745244e-05
STX10,0.28293010752688175,0.28112076095947064,0.011062861869313483,0.011062861869313483,0.0
GNB4,0.28293010752688175,0.2821029776674938,0.02176385442514475,0.021712158808933003,5.1695616211745244e-05
KIF5C,0.28293010752688175,0.28287841191067,0.030965674110835402,0.030965674110835402,0.0
GART,0.28293010752688175,0.28293010752688175,0.06337882547559967,0.06332712985938792,5.1695616211745244e-05
SACM1L,0.28293010752688175,0.28267162944582297,0.02434863523573201,0.02434863523573201,0.0
SGSM3,0.28293010752688175,0.28112076095947064,0.008943341604631927,0.008891645988420183,5.1695616211745244e-05
GORAB,0.28293010752688175,0.27724358974358976,0.0037220843672456576,0.0037220843672456576,0.0
NPHP3,0.28293010752688175,0.28230976013234077,0.017783291976840365,0.017783291976840365,0.0
DAPK1,0.28293010752688175,0.2828267162944582,0.024090157154673282,0.024090157154673282,0.0
STK17A,0.28293010752688175,0.2821546732837055,0.013854425144747726,0.013854425144747726,0.0
SPTBN2,0.28293010752688175,0.28272332506203474,0.021918941273779982,0.021918941273779982,0.0
KIF13B,0.28293010752688175,0.2821546732837055,0.01251033912324235,0.01251033912324235,0.0
RAPGEF4,0.28293010752688175,0.2825682382133995,0.018093465674110836,0.018093465674110836,0.0
DOCK2,0.28293010752688175,0.2821546732837055,0.011941687344913151,0.011889991728701406,5.1695616211745244e-05
STK33,0.28293010752688175,0.2822063688999173,0.013389164598842018,0.013389164598842018,0.0
PDK3,0.28293010752688175,0.2825682382133995,0.021453680727874277,0.021401985111662532,5.1695616211745244e-05
TGFB1I1,0.28293010752688175,0.28225806451612906,0.015818858560794045,0.0157671629445823,5.1695616211745244e-05
POTEF,0.28293010752688175,0.28287841191067,0.06012200165425972,0.06012200165425972,0.0
RAPGEF5,0.28293010752688175,0.2816377171215881,0.008322994210090985,0.008322994210090985,0.0
AP1B1,0.28293010752688175,0.28261993382961126,0.020471464019851116,0.020471464019851116,0.0
HPS5,0.28293010752688175,0.27579611248966085,0.003515301902398677,0.003515301902398677,0.0
ARHGEF16,0.28293010752688175,0.282464846980976,0.01390612076095947,0.013854425144747726,5.1695616211745244e-05
PATL2,0.28293010752688175,0.27982837055417703,0.008116211745244004,0.008064516129032258,5.1695616211745244e-05
CADPS2,0.28293010752688175,0.2825165425971878,0.01478494623655914,0.01478494623655914,0.0
MAP3K2,0.28293010752688175,0.28272332506203474,0.02533085194375517,0.025279156327543423,5.1695616211745244e-05
TUBAL3,0.28293010752688175,0.28261993382961126,0.020936724565756824,0.020936724565756824,0.0
GNAL,0.28293010752688175,0.28287841191067,0.01824855252274607,0.018196856906534328,5.1695616211745244e-05
CDC42,0.28293010752688175,0.28293010752688175,0.06487799834574028,0.06487799834574028,0.0
ROS1,0.28293010752688175,0.2825165425971878,0.018300248138957816,0.018300248138957816,0.0
MPHOSPH8,0.28293010752688175,0.2827750206782465,0.03882340777502068,0.03882340777502068,0.0
GGA3,0.28293010752688175,0.2825165425971878,0.013647642679900745,0.013647642679900745,0.0
MUSK,0.28293010752688175,0.28272332506203474,0.02238420181968569,0.02238420181968569,0.0
SIPA1L2,0.28293010752688175,0.2812758478081059,0.00739247311827957,0.0073407775020678245,5.1695616211745244e-05
TBC1D17,0.28293010752688175,0.2810690653432589,0.00946029776674938,0.00946029776674938,0.0
AP2B1,0.28293010752688175,0.28272332506203474,0.024141852770885028,0.024141852770885028,0.0
KIF21A,0.28293010752688175,0.282464846980976,0.01638751033912324,0.01638751033912324,0.0
HIPK2,0.28293010752688175,0.28293010752688175,0.02109181141439206,0.021040115798180315,5.1695616211745244e-05
ANKS6,0.28293010752688175,0.28267162944582297,0.023004549214226632,0.023004549214226632,0.0
STK38,0.28293010752688175,0.2828267162944582,0.024296939619520265,0.02424524400330852,5.1695616211745244e-05
SEC22A,0.28293010752688175,0.2818444995864351,0.011166253101736972,0.011114557485525228,5.1695616211745244e-05
ASB9,0.28293010752688175,0.28261993382961126,0.021040115798180315,0.021040115798180315,0.0
FEM1C,0.28293010752688175,0.28261993382961126,0.018765508684863524,0.018765508684863524,0.0
TOM1L2,0.28293010752688175,0.2818444995864351,0.010907775020678247,0.010907775020678247,0.0
SSH1,0.28293010752688175,0.2822063688999173,0.017369727047146403,0.017369727047146403,0.0
ACSL1,0.28293010752688175,0.28272332506203474,0.02595119933829611,0.02589950372208437,5.1695616211745244e-05
PPP4C,0.28293010752688175,0.2828267162944582,0.049059139784946235,0.04900744416873449,5.1695616211745244e-05
TUBB2B,0.28293010752688175,0.28293010752688175,0.029518196856906535,0.029518196856906535,0.0
TMED7,0.28293010752688175,0.28194789081885857,0.014474772539288668,0.014423076923076924,5.1695616211745244e-05
UNC50,0.28293010752688175,0.2771401985111663,0.005634822167080232,0.005583126550868486,5.1695616211745244e-05
RAB9B,0.28293010752688175,0.28230976013234077,0.014164598842018197,0.014164598842018197,0.0
NCALD,0.28293010752688175,0.2828267162944582,0.02336641852770885,0.02336641852770885,0.0
SMYD2,0.28293010752688175,0.28267162944582297,0.023624896608767577,0.02357320099255583,5.1695616211745244e-05
ARVCF,0.28293010752688175,0.28205128205128205,0.00956368899917287,0.00956368899917287,0.0
LPGAT1,0.28293010752688175,0.2810690653432589,0.010390818858560793,0.01033912324234905,5.1695616211745244e-05
VPS51,0.28293010752688175,0.2813275434243176,0.011269644334160464,0.011269644334160464,0.0
PSD3,0.28293010752688175,0.2821029776674938,0.010028949545078577,0.009977253928866833,5.1695616211745244e-05
MAPK12,0.28293010752688175,0.28293010752688175,0.039495450785773364,0.03944375516956162,5.1695616211745244e-05
ARHGEF3,0.28293010752688175,0.28230976013234077,0.01478494623655914,0.014733250620347395,5.1695616211745244e-05
RAB10,0.28293010752688175,0.28267162944582297,0.01726633581472291,0.01726633581472291,0.0
PTK7,0.28293010752688175,0.28293010752688175,0.03086228287841191,0.03086228287841191,0.0
PPP2R2A,0.28293010752688175,0.2828267162944582,0.02248759305210918,0.02248759305210918,0.0
IFT27,0.28293010752688175,0.27853598014888337,0.006565343258891646,0.006565343258891646,0.0
MAP3K7,0.28293010752688175,0.28287841191067,0.027346980976013235,0.027346980976013235,0.0
VPS33A,0.28293010752688175,0.28091397849462363,0.009356906534325889,0.009305210918114143,5.1695616211745244e-05
PLEKHG3,0.28293010752688175,0.2707816377171216,0.003980562448304384,0.003980562448304384,0.0
PPP2R2B,0.28293010752688175,0.28287841191067,0.02760545905707196,0.02760545905707196,0.0
PDLIM4,0.28293010752688175,0.28168941273779985,0.012768817204301076,0.012768817204301076,0.0
MYO1F,0.28293010752688175,0.28287841191067,0.02186724565756824,0.02186724565756824,0.0
ZAP70,0.28293010752688175,0.2827750206782465,0.02791563275434243,0.02791563275434243,0.0
ENSG00000258973,0.28293010752688175,0.28230976013234077,0.01251033912324235,0.01251033912324235,0.0
FER,0.28293010752688175,0.2825165425971878,0.016232423490488007,0.016232423490488007,0.0
PGGT1B,0.28293010752688175,0.27982837055417703,0.005117866004962779,0.005117866004962779,0.0
NGLY1,0.28293010752688175,0.2806038047973532,0.00816790736145575,0.008116211745244004,5.1695616211745244e-05
ARFGAP1,0.28293010752688175,0.28261993382961126,0.01695616211745244,0.01695616211745244,0.0
RGL1,0.28293010752688175,0.2783808933002481,0.005376344086021506,0.005376344086021506,0.0
DOCK3,0.28293010752688175,0.2825165425971878,0.014629859387923903,0.01457816377171216,5.1695616211745244e-05
RAB23,0.28293010752688175,0.28137923904052936,0.00966708023159636,0.00966708023159636,0.0
FGD4,0.28293010752688175,0.2821029776674938,0.01064929693961952,0.010597601323407774,5.1695616211745244e-05
DOCK8,0.28293010752688175,0.2817928039702233,0.009305210918114143,0.0092535153019024,5.1695616211745244e-05
HHEX,0.28293010752688175,0.2828267162944582,0.017214640198511166,0.017214640198511166,0.0
ANK2,0.28293010752688175,0.28293010752688175,0.044303143093465676,0.044303143093465676,0.0
TPM4,0.28293010752688175,0.28261993382961126,0.022539288668320927,0.02248759305210918,5.1695616211745244e-05
PPP1CA,0.28293010752688175,0.28287841191067,0.06229321753515302,0.06224152191894127,5.1695616211745244e-05
SRC,0.28293010752688175,0.28293010752688175,0.07868072787427625,0.07868072787427625,0.0
ARHGEF5,0.28293010752688175,0.28230976013234077,0.011011166253101737,0.010959470636889991,5.1695616211745244e-05
PRKCD,0.28293010752688175,0.2828267162944582,0.030707196029776673,0.030707196029776673,0.0
DUSP10,0.28293010752688175,0.2825165425971878,0.017628205128205128,0.017628205128205128,0.0
KDM5B,0.28293010752688175,0.2828267162944582,0.029724979321753515,0.02967328370554177,5.1695616211745244e-05
PPEF1,0.28293010752688175,0.28287841191067,0.031689412737799835,0.03163771712158809,5.1695616211745244e-05
PSEN1,0.28293010752688175,0.28293010752688175,0.0391852770885029,0.0391852770885029,0.0
CTNND2,0.28293010752688175,0.28287841191067,0.02160876757650951,0.02160876757650951,0.0
STX11,0.28293010752688175,0.2825682382133995,0.012613730355665839,0.012613730355665839,0.0
FEM1A,0.28293010752688175,0.28261993382961126,0.01773159636062862,0.01773159636062862,0.0
KLC1,0.28293010752688175,0.28272332506203474,0.02109181141439206,0.02109181141439206,0.0
RHOC,0.28293010752688175,0.28293010752688175,0.03928866832092639,0.03928866832092639,0.0
IKBKE,0.28293010752688175,0.28225806451612906,0.02160876757650951,0.02160876757650951,0.0
MYH13,0.28293010752688175,0.28267162944582297,0.019644334160463194,0.019644334160463194,0.0
ENSG00000261740,0.28293010752688175,0.28287841191067,0.033860628618693135,0.033860628618693135,0.0
DUSP19,0.28293010752688175,0.2817928039702233,0.013751033912324235,0.013751033912324235,0.0
CDKN2B,0.28293010752688175,0.28287841191067,0.03417080231596361,0.03417080231596361,0.0
COPZ2,0.28293010752688175,0.2816377171215881,0.008736559139784945,0.008684863523573201,5.1695616211745244e-05
TBC1D9B,0.28293010752688175,0.2817928039702233,0.00946029776674938,0.00946029776674938,0.0
MYO1B,0.28293010752688175,0.28267162944582297,0.023676592224979323,0.023676592224979323,0.0
ANKRD32,0.28293010752688175,0.2828267162944582,0.032723325062034736,0.032723325062034736,0.0
ANKRD54,0.28293010752688175,0.2825682382133995,0.01773159636062862,0.017679900744416874,5.1695616211745244e-05
AGAP5,0.28293010752688175,0.28019023986765923,0.006255169561621175,0.006255169561621175,0.0
GUCY1A3,0.28293010752688175,0.28287841191067,0.02651985111662531,0.02651985111662531,0.0
KIF15,0.28293010752688175,0.28267162944582297,0.019540942928039703,0.019489247311827957,5.1695616211745244e-05
ASB6,0.28293010752688175,0.2827750206782465,0.021143507030603803,0.021143507030603803,0.0
KIF13A,0.28293010752688175,0.2819995864350703,0.013337468982630272,0.013337468982630272,0.0
LSM14B,0.28293010752688175,0.28081058726220015,0.010804383788254756,0.010752688172043012,5.1695616211745244e-05
DCTN5,0.28293010752688175,0.2814309346567411,0.00728908188585608,0.00728908188585608,0.0
KIF2B,0.28293010752688175,0.28267162944582297,0.014629859387923903,0.014629859387923903,0.0
HPCAL1,0.28293010752688175,0.2827750206782465,0.020936724565756824,0.020885028949545078,5.1695616211745244e-05
RERG,0.28293010752688175,0.28287841191067,0.023883374689826303,0.023883374689826303,0.0
DHDDS,0.28293010752688175,0.2822063688999173,0.01499172870140612,0.01499172870140612,0.0
KIF16B,0.28293010752688175,0.28272332506203474,0.019696029776674936,0.019696029776674936,0.0
RAB43,0.28293010752688175,0.2813275434243176,0.009201819685690654,0.009201819685690654,0.0
PDPK1,0.28293010752688175,0.2828267162944582,0.019747725392886682,0.019696029776674936,5.1695616211745244e-05
KIF25,0.28293010752688175,0.28236145574855254,0.013234077750206782,0.013234077750206782,0.0
IKZF4,0.28293010752688175,0.2793631100082713,0.006358560794044665,0.006358560794044665,0.0
EEA1,0.28293010752688175,0.2828267162944582,0.02336641852770885,0.023314722911497106,5.1695616211745244e-05
KDELR2,0.28293010752688175,0.2817928039702233,0.014267990074441687,0.014267990074441687,0.0
ASB2,0.28293010752688175,0.28267162944582297,0.024141852770885028,0.024141852770885028,0.0
PPP1R16A,0.28293010752688175,0.28230976013234077,0.015922249793217536,0.015922249793217536,0.0
AGAP4,0.28293010752688175,0.2802936311000827,0.006461952026468156,0.006461952026468156,0.0
ARHGAP1,0.28293010752688175,0.2822063688999173,0.01349255583126551,0.01349255583126551,0.0
ATP10B,0.28293010752688175,0.28194789081885857,0.013130686517783293,0.013078990901571547,5.1695616211745244e-05
SGK494,0.28293010752688175,0.28287841191067,0.03442928039702233,0.03442928039702233,0.0
UNC119,0.28293010752688175,0.28241315136476425,0.012923904052936312,0.012872208436724566,5.1695616211745244e-05
ANKRD30A,0.28293010752688175,0.2825682382133995,0.017318031430934657,0.01726633581472291,5.1695616211745244e-05
MYH1,0.28293010752688175,0.2827750206782465,0.02838089330024814,0.02838089330024814,0.0
NIM1K,0.28293010752688175,0.28272332506203474,0.02315963606286187,0.023107940446650124,5.1695616211745244e-05
GORASP1,0.28293010752688175,0.2812758478081059,0.013389164598842018,0.013337468982630272,5.1695616211745244e-05
RAB1B,0.28293010752688175,0.28267162944582297,0.0179383788254756,0.0179383788254756,0.0
CABP7,0.28293010752688175,0.28241315136476425,0.018455334987593053,0.018403639371381307,5.1695616211745244e-05
DCLK3,0.28293010752688175,0.28205128205128205,0.015405293631100082,0.015353598014888337,5.1695616211745244e-05
FBXO42,0.28293010752688175,0.28205128205128205,0.010804383788254756,0.010804383788254756,0.0
NCS1,0.28293010752688175,0.28287841191067,0.027863937138130686,0.02781224152191894,5.1695616211745244e-05
SCD5,0.28293010752688175,0.28272332506203474,0.025692721257237386,0.02564102564102564,5.1695616211745244e-05
TSC1,0.28293010752688175,0.28236145574855254,0.018765508684863524,0.018765508684863524,0.0
POTEE,0.28293010752688175,0.28272332506203474,0.03287841191066997,0.03287841191066997,0.0
STX1A,0.28293010752688175,0.2827750206782465,0.023728287841191065,0.023728287841191065,0.0
STK32C,0.28293010752688175,0.28261993382961126,0.017214640198511166,0.01716294458229942,5.1695616211745244e-05
MIB1,0.28293010752688175,0.28293010752688175,0.0391852770885029,0.0391852770885029,0.0
VAV3,0.28293010752688175,0.282464846980976,0.013182382133995037,0.013182382133995037,0.0
PIFO,0.28293010752688175,0.27791563275434245,0.0063068651778329194,0.0063068651778329194,0.0
DLG4,0.28293010752688175,0.28293010752688175,0.04538875103391232,0.04533705541770058,5.1695616211745244e-05
PRKX,0.28293010752688175,0.28293010752688175,0.02900124069478908,0.02900124069478908,0.0
CFL1,0.28293010752688175,0.28287841191067,0.038978494623655914,0.03892679900744417,5.1695616211745244e-05
MAPK15,0.28293010752688175,0.2828267162944582,0.033757237386269644,0.033757237386269644,0.0
CTNNA1,0.28293010752688175,0.2827750206782465,0.01881720430107527,0.01881720430107527,0.0
LRRK2,0.28293010752688175,0.28293010752688175,0.08038668320926386,0.08038668320926386,0.0
BOLA2B,0.28293010752688175,0.28287841191067,0.040477667493796526,0.040477667493796526,0.0
DUSP23,0.28293010752688175,0.28194789081885857,0.015663771712158808,0.015663771712158808,0.0
SND1,0.28293010752688175,0.28261993382961126,0.027191894127377998,0.027140198511166252,5.1695616211745244e-05
SESTD1,0.28293010752688175,0.27889784946236557,0.005066170388751034,0.005066170388751034,0.0
DOCK6,0.28293010752688175,0.2812758478081059,0.006823821339950372,0.006772125723738627,5.1695616211745244e-05
SPEG,0.28293010752688175,0.2827750206782465,0.021660463192721257,0.02160876757650951,5.1695616211745244e-05
STX16,0.28293010752688175,0.28241315136476425,0.016490901571546732,0.016490901571546732,0.0
ANKLE1,0.28293010752688175,0.2825682382133995,0.020936724565756824,0.020936724565756824,0.0
PSMD4,0.28293010752688175,0.28287841191067,0.0380479735318445,0.03799627791563275,5.1695616211745244e-05
PFDN1,0.28293010752688175,0.28230976013234077,0.019385856079404466,0.01933416046319272,5.1695616211745244e-05
CLHC1,0.28293010752688175,0.2825165425971878,0.01607733664185277,0.01607733664185277,0.0
GNAQ,0.28293010752688175,0.2827750206782465,0.020936724565756824,0.020885028949545078,5.1695616211745244e-05
TMED10,0.28293010752688175,0.28241315136476425,0.01824855252274607,0.018196856906534328,5.1695616211745244e-05
SYNPO2,0.28293010752688175,0.28241315136476425,0.013234077750206782,0.013234077750206782,0.0
SLC2A4,0.28293010752688175,0.2828267162944582,0.032464846980976014,0.03241315136476427,5.1695616211745244e-05
EGFR,0.28293010752688175,0.28293010752688175,0.08307485525227461,0.08307485525227461,0.0
GNB2,0.28293010752688175,0.2828267162944582,0.026623242349048802,0.026571546732837056,5.1695616211745244e-05
MYO6,0.28293010752688175,0.2825682382133995,0.023107940446650124,0.023056244830438378,5.1695616211745244e-05
RGL3,0.28293010752688175,0.2776571546732837,0.004549214226633582,0.004549214226633582,0.0
MAP2K1,0.28293010752688175,0.28287841191067,0.04321753515301902,0.04316583953680728,5.1695616211745244e-05
ANKRD29,0.28293010752688175,0.2825682382133995,0.018558726220016544,0.018558726220016544,0.0
GSK3B,0.28293010752688175,0.28293010752688175,0.06430934656741108,0.06430934656741108,0.0
CSNK1A1L,0.28293010752688175,0.2818444995864351,0.012923904052936312,0.012872208436724566,5.1695616211745244e-05
ENSG00000267261,0.28293010752688175,0.28287841191067,0.03825475599669148,0.03825475599669148,0.0
KIF3B,0.28293010752688175,0.2827750206782465,0.017318031430934657,0.017318031430934657,0.0
VPS18,0.28293010752688175,0.2822063688999173,0.014629859387923903,0.014629859387923903,0.0
NMT2,0.28293010752688175,0.2814309346567411,0.010132340777502068,0.010080645161290322,5.1695616211745244e-05
RGL2,0.28293010752688175,0.2806555004135649,0.006668734491315136,0.006668734491315136,0.0
MAP3K9,0.28293010752688175,0.28272332506203474,0.019851116625310174,0.019851116625310174,0.0
GUCY2D,0.28293010752688175,0.2822063688999173,0.017524813895781637,0.017524813895781637,0.0
RGS12,0.28293010752688175,0.2814309346567411,0.008426385442514474,0.008426385442514474,0.0
C14orf2,0.28293010752688175,0.2775537634408602,0.0070822994210090985,0.0070822994210090985,0.0
KDR,0.28293010752688175,0.28287841191067,0.03442928039702233,0.03442928039702233,0.0
ANKK1,0.28293010752688175,0.28267162944582297,0.016697684036393715,0.016697684036393715,0.0
RMDN3,0.28293010752688175,0.27920802315963605,0.006565343258891646,0.006513647642679901,5.1695616211745244e-05
HGF,0.28293010752688175,0.2825682382133995,0.021401985111662532,0.021401985111662532,0.0
RACGAP1,0.28293010752688175,0.2825682382133995,0.018093465674110836,0.01804177005789909,5.1695616211745244e-05
STX6,0.28293010752688175,0.28230976013234077,0.015095119933829611,0.015095119933829611,0.0
TRIB3,0.28293010752688175,0.2828267162944582,0.02781224152191894,0.02781224152191894,0.0
UCK2,0.28293010752688175,0.2827750206782465,0.021350289495450786,0.02129859387923904,5.1695616211745244e-05
MALRD1,0.28293010752688175,0.28241315136476425,0.013182382133995037,0.013182382133995037,0.0
PPP5C,0.28293010752688175,0.28287841191067,0.04083953680727874,0.040787841191067,5.1695616211745244e-05
LDHB,0.28293010752688175,0.28272332506203474,0.03189619520264682,0.03189619520264682,0.0
PGM1,0.28293010752688175,0.2827750206782465,0.024503722084367244,0.024503722084367244,0.0
TEC,0.28293010752688175,0.28230976013234077,0.01390612076095947,0.01390612076095947,0.0
SPTBN4,0.28293010752688175,0.2827750206782465,0.023211331679073615,0.023211331679073615,0.0
PIK3C2A,0.28293010752688175,0.28287841191067,0.040477667493796526,0.04042597187758478,5.1695616211745244e-05
GBF1,0.28293010752688175,0.2825682382133995,0.0163358147229115,0.016284119106699753,5.1695616211745244e-05
ARHGEF4,0.28293010752688175,0.28236145574855254,0.01349255583126551,0.01349255583126551,0.0
GOLGA5,0.28293010752688175,0.28013854425144746,0.008064516129032258,0.008064516129032258,0.0
RAB21,0.28293010752688175,0.28205128205128205,0.011786600496277916,0.011786600496277916,0.0
NFKBIA,0.28293010752688175,0.28293010752688175,0.035618279569892476,0.035618279569892476,0.0
UCMA,0.28293010752688175,0.24421009098428453,0.0011373035566583955,0.0011373035566583955,0.0
ALDH5A1,0.28293010752688175,0.2819995864350703,0.020729942100909844,0.020729942100909844,0.0
WDFY3,0.28293010752688175,0.2828267162944582,0.018868899917287015,0.01881720430107527,5.1695616211745244e-05
AGAP3,0.28293010752688175,0.2816377171215881,0.00946029776674938,0.00946029776674938,0.0
SCYL1,0.28293010752688175,0.27956989247311825,0.007650951199338296,0.007650951199338296,0.0
PKN3,0.28293010752688175,0.2827750206782465,0.020264681555004136,0.02021298593879239,5.1695616211745244e-05
DAPK3,0.28293010752688175,0.2825165425971878,0.018610421836228287,0.018610421836228287,0.0
PKP3,0.28293010752688175,0.28236145574855254,0.007237386269644334,0.007185690653432589,5.1695616211745244e-05
SEC22C,0.28293010752688175,0.28168941273779985,0.009977253928866833,0.009925558312655087,5.1695616211745244e-05
MAP1LC3A,0.28293010752688175,0.28287841191067,0.019540942928039703,0.019489247311827957,5.1695616211745244e-05
AP2M1,0.28293010752688175,0.28272332506203474,0.023831679073614557,0.023831679073614557,0.0
KANK4,0.28293010752688175,0.28236145574855254,0.015922249793217536,0.01587055417700579,5.1695616211745244e-05
DAPK2,0.28293010752688175,0.2825165425971878,0.013544251447477253,0.013544251447477253,0.0
CIT,0.28293010752688175,0.2828267162944582,0.027657154673283706,0.027657154673283706,0.0
DUSP28,0.28293010752688175,0.28168941273779985,0.012458643507030603,0.012458643507030603,0.0
PRKCH,0.28293010752688175,0.28293010752688175,0.024710504549214227,0.02465880893300248,5.1695616211745244e-05
HIPK4,0.28293010752688175,0.2825682382133995,0.013285773366418528,0.013234077750206782,5.1695616211745244e-05
