gene_dmelanogaster_stress_down,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less3,dmelanogaster_stress_down_Fraction_sp_less2,dmelanogaster_stress_down_Fraction_sp_1,dmelanogaster_stress_down_Fraction_sp_0
ARF5,0.11042183622828784,0.11037014061207609,0.011579818031430935,0.011579818031430935,0.0
CALM2,0.11042183622828784,0.11031844499586435,0.01173490488006617,0.01173490488006617,0.0
ARHGEF9,0.11042183622828784,0.1098014888337469,0.004962779156327543,0.004962779156327543,0.0
ERN1,0.11042183622828784,0.11026674937965261,0.010856079404466501,0.010856079404466501,0.0
CDKN2A,0.11042183622828784,0.11037014061207609,0.028432588916459885,0.028432588916459885,0.0
P4HB,0.11042183622828784,0.11037014061207609,0.016542597187758478,0.016542597187758478,0.0
STX10,0.11042183622828784,0.1098014888337469,0.0049110835401157986,0.004859387923904053,5.1695616211745244e-05
GNB4,0.11042183622828784,0.11031844499586435,0.006978908188585608,0.006978908188585608,0.0
KIF5C,0.11042183622828784,0.11037014061207609,0.011321339950372208,0.011321339950372208,0.0
GART,0.11042183622828784,0.11037014061207609,0.017834987593052107,0.017834987593052107,0.0
SACM1L,0.11042183622828784,0.11016335814722912,0.008891645988420183,0.008891645988420183,0.0
SGSM3,0.11042183622828784,0.10974979321753515,0.003515301902398677,0.003515301902398677,0.0
GORAB,0.11042183622828784,0.10768196856906534,0.0012923904052936312,0.0012923904052936312,0.0
NPHP3,0.11042183622828784,0.11016335814722912,0.0057382133995037225,0.0057382133995037225,0.0
DAPK1,0.11042183622828784,0.11037014061207609,0.00847808105872622,0.00847808105872622,0.0
STK17A,0.11042183622828784,0.10990488006617039,0.003980562448304384,0.003980562448304384,0.0
SPTBN2,0.11042183622828784,0.11026674937965261,0.008995037220843672,0.008995037220843672,0.0
KIF13B,0.11042183622828784,0.11016335814722912,0.005066170388751034,0.005066170388751034,0.0
RAPGEF4,0.11042183622828784,0.11026674937965261,0.00728908188585608,0.00728908188585608,0.0
DOCK2,0.11042183622828784,0.11011166253101737,0.006048387096774193,0.0059966914805624485,5.1695616211745244e-05
