gene_amexicanum_regen_up,amexicanum_regen_up_Fraction_sp_less4,amexicanum_regen_up_Fraction_sp_less3,amexicanum_regen_up_Fraction_sp_less2,amexicanum_regen_up_Fraction_sp_1,amexicanum_regen_up_Fraction_sp_0
A1BG,0.0901706886403767,0.006297822248381401,0.00011771630370806356,0.00011771630370806356,0.0
ANXA7,0.11842260153031195,0.03608004708652148,0.001059446733372572,0.001059446733372572,0.0
CDKN1A,0.1224249558563861,0.07716303708063567,0.0034137728075338434,0.0033549146556798117,5.885815185403178e-05
CRISP3,0.006297822248381401,0.00011771630370806356,0.0,0.0,0.0
TK1,0.12101236021188935,0.062095350206003534,0.002177751618599176,0.002118893466745144,5.885815185403178e-05
A1CF,0.05644496762801648,0.0008828722778104767,0.0,0.0,0.0
APOBEC1,0.09134785167745733,0.00694526191877575,0.00011771630370806356,0.00011771630370806356,0.0
CELF2,0.0008828722778104767,0.0,0.0,0.0,0.0
KHSRP,0.11483225426721601,0.030606238964096526,0.00047086521483225425,0.00047086521483225425,0.0
SYNCRIP,0.1151854031783402,0.03072395526780459,0.00023543260741612713,0.00023543260741612713,0.0
TNPO2,0.1053560918187169,0.019011183048852267,0.00011771630370806356,0.00011771630370806356,0.0
A2BP1,0.1011183048852266,0.010241318422601531,5.885815185403178e-05,5.885815185403178e-05,0.0
ATXN1,0.12118893466745144,0.05479693937610359,0.0018246027074749853,0.0018246027074749853,0.0
ATXN2,0.10359034726309593,0.012654502648616834,0.00047086521483225425,0.00047086521483225425,0.0
DMRTB1,0.0874043555032372,0.005356091818716892,0.00023543260741612713,0.00023543260741612713,0.0
HNRNPF,0.11930547380812243,0.047263095938787525,0.0009417304296645085,0.0009417304296645085,0.0
HSFX1,0.11341965862271924,0.02371983519717481,0.0003531489111241907,0.0003531489111241907,0.0
LZTS2,0.09970570924072984,0.011712772218952325,5.885815185403178e-05,5.885815185403178e-05,0.0
MAFF,0.11848145968216597,0.034490876986462624,0.0018246027074749853,0.0018246027074749853,0.0
MAFK,0.12060035314891113,0.051088875809299585,0.0022954679223072395,0.0022954679223072395,0.0
PSMF1,0.11471453796350795,0.03131253678634491,0.0004120070629782225,0.0004120070629782225,0.0
QKI,0.11542083578575632,0.025603296056503827,0.0004120070629782225,0.0004120070629782225,0.0
RBM9,0.11118304885226604,0.02213066509711595,0.0002942907592701589,0.0002942907592701589,0.0
RHOXF2,0.10176574455562096,0.009770453207769276,0.0002942907592701589,0.0002942907592701589,0.0
TNRC4,0.08563861094761624,0.005826957033549147,5.885815185403178e-05,5.885815185403178e-05,0.0
A2M,0.1177751618599176,0.03931724543849323,0.0011771630370806356,0.0011771630370806356,0.0
ABCA1,0.11606827545615067,0.034726309593878756,0.000529723366686286,0.00047086521483225425,5.885815185403178e-05
ADAM19,0.09228958210712183,0.008357857563272513,0.00017657445556209535,0.00017657445556209535,0.0
ADAMTS1,0.09329017068864037,0.012124779281930547,0.00017657445556209535,0.00017657445556209535,0.0
ALDOA,0.12071806945261919,0.055738669805768096,0.0012948793407886992,0.0012360211889346675,5.885815185403178e-05
AMBP,0.11377280753384343,0.025014714537963507,5.885815185403178e-05,5.885815185403178e-05,0.0
ANXA6,0.10047086521483226,0.012242495585638611,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
APOE,0.11306650971159506,0.030429664508534432,0.0007651559741024132,0.0007651559741024132,0.0
APP,0.12077692760447321,0.056856974690994704,0.002413184226015303,0.002413184226015303,0.0
