gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
A1BG,0.19676280164802826,0.011477339611536198,0.00017657445556209535,0.00017657445556209535,0.0
ANXA7,0.27751618599175987,0.07033549146556799,0.0017657445556209534,0.0017657445556209534,0.0
CDKN1A,0.28799293702177753,0.16097704532077692,0.005002942907592701,0.00494408475573867,5.885815185403178e-05
CRISP3,0.011477339611536198,0.00017657445556209535,0.0,0.0,0.0
TK1,0.2852854620364921,0.1201883460859329,0.0038257798705120657,0.003766921718658034,5.885815185403178e-05
A1CF,0.11183048852266039,0.001883460859329017,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
APOBEC1,0.20064743967039436,0.013066509711595056,0.00017657445556209535,0.00017657445556209535,0.0
CELF2,0.001883460859329017,0.00011771630370806356,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
KHSRP,0.2664508534432019,0.060506180105944676,0.0007062978222483814,0.0007062978222483814,0.0
SYNCRIP,0.2673337257210124,0.05615067686874632,0.0007651559741024132,0.0007651559741024132,0.0
TNPO2,0.23896409652736905,0.030135373749264272,0.0004120070629782225,0.0004120070629782225,0.0
A2BP1,0.23272513243084167,0.020070629782224837,0.0003531489111241907,0.0003531489111241907,0.0
ATXN1,0.2837551500882872,0.11689228958210712,0.002236609770453208,0.002177751618599176,5.885815185403178e-05
ATXN2,0.23525603296056505,0.02177751618599176,0.0005885815185403178,0.000529723366686286,5.885815185403178e-05
DMRTB1,0.19523248969982343,0.011241907004120071,0.00017657445556209535,0.00017657445556209535,0.0
HNRNPF,0.2786933490288405,0.08187168922895821,0.0006474396703943496,0.0006474396703943496,0.0
HSFX1,0.26397881106533255,0.048145968216598,0.0008828722778104767,0.0008828722778104767,0.0
LZTS2,0.22754561506768686,0.02572101236021189,0.00017657445556209535,0.00017657445556209535,0.0
MAFF,0.27680988816951146,0.07057092407298411,0.0037080635668040023,0.0037080635668040023,0.0
MAFK,0.2821071218363743,0.09699823425544438,0.005709240729841083,0.005650382577987051,5.885815185403178e-05
PSMF1,0.2657445556209535,0.056386109476162447,0.00047086521483225425,0.00047086521483225425,0.0
QKI,0.2689228958210712,0.04755738669805768,0.0009417304296645085,0.0009417304296645085,0.0
RBM9,0.25726898175397295,0.042024720423778694,0.00047086521483225425,0.00047086521483225425,0.0
RHOXF2,0.2357268981753973,0.019599764567392583,0.0007651559741024132,0.0007651559741024132,0.0
TNRC4,0.18669805768098882,0.00959387875220718,0.00017657445556209535,0.00017657445556209535,0.0
A2M,0.2731018246027075,0.08328428487345498,0.0022954679223072395,0.0022954679223072395,0.0
ABCA1,0.2699234844025898,0.06339022954679223,0.000824014125956445,0.0007651559741024132,5.885815185403178e-05
ADAM19,0.2032960565038258,0.015244261330194232,0.00017657445556209535,0.00017657445556209535,0.0
ADAMTS1,0.20464979399646852,0.026957033549146556,5.885815185403178e-05,5.885815185403178e-05,0.0
ALDOA,0.2821071218363743,0.10153031194820483,0.001883460859329017,0.001883460859329017,0.0
AMBP,0.2607416127133608,0.048911124190700414,0.000529723366686286,0.000529723366686286,0.0
ANXA6,0.2238964096527369,0.023837551500882872,0.00023543260741612713,0.00023543260741612713,0.0
APOE,0.26456739258387285,0.05214832254267216,0.0014125956444967628,0.0013537374926427311,5.885815185403178e-05
APP,0.2844025897586816,0.11748087110064744,0.005532666274278988,0.005532666274278988,0.0
ATF7IP,0.27157151265450263,0.05644496762801648,0.0015891701000588581,0.0015891701000588581,0.0
B2M,0.27380812242495584,0.07792819305473808,0.002354326074161271,0.0022954679223072395,5.885815185403178e-05
C11orf58,0.21394938198940552,0.014655679811653914,0.0002942907592701589,0.0002942907592701589,0.0
CDK2AP2,0.23784579164214242,0.022307239552678045,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
CFD,0.23301942319011182,0.028605061801059446,0.0006474396703943496,0.0005885815185403178,5.885815185403178e-05
