gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
A1BG,0.190759270158917,0.015067686874632136,0.00011771630370806356,0.00011771630370806356,0.0
ANXA7,0.24072984108299,0.07251324308416715,0.0022954679223072395,0.002236609770453208,5.885815185403178e-05
CDKN1A,0.24679223072395526,0.16321365509123015,0.007121836374337846,0.007121836374337846,0.0
CRISP3,0.015067686874632136,0.00011771630370806356,0.0,0.0,0.0
TK1,0.2452030606238964,0.13195997645673926,0.00429664508534432,0.004237786933490288,5.885815185403178e-05
A1CF,0.12354326074161272,0.002413184226015303,0.00023543260741612713,0.00023543260741612713,0.0
APOBEC1,0.19105356091818718,0.016362566215420836,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
CELF2,0.002413184226015303,0.00023543260741612713,5.885815185403178e-05,0.0,5.885815185403178e-05
KHSRP,0.23596233078281342,0.06839317245438493,0.001118304885226604,0.001059446733372572,5.885815185403178e-05
SYNCRIP,0.2346085932901707,0.06798116539140671,0.000824014125956445,0.0007651559741024132,5.885815185403178e-05
TNPO2,0.21830488522660388,0.040906415538552086,0.0004120070629782225,0.0004120070629782225,0.0
A2BP1,0.2131253678634491,0.02319011183048852,0.000529723366686286,0.000529723366686286,0.0
ATXN1,0.24402589758681578,0.11171277221895233,0.002942907592701589,0.0028840494408475573,5.885815185403178e-05
ATXN2,0.21194820482636845,0.02342554443790465,0.000529723366686286,0.00047086521483225425,5.885815185403178e-05
DMRTB1,0.17987051206592114,0.010829899941141849,0.00011771630370806356,0.00011771630370806356,0.0
HNRNPF,0.24208357857563273,0.10294290759270158,0.003001765744555621,0.003001765744555621,0.0
HSFX1,0.2329605650382578,0.05414949970570924,0.0011771630370806356,0.0011771630370806356,0.0
LZTS2,0.2064743967039435,0.02642731018246027,0.00023543260741612713,0.00023543260741612713,0.0
MAFF,0.24043555032371983,0.07292525014714538,0.003590347263095939,0.003531489111241907,5.885815185403178e-05
MAFK,0.2437316068275456,0.10335491465567981,0.0047675103001765745,0.004708652148322542,5.885815185403178e-05
PSMF1,0.23560918187168922,0.06945261918775751,0.0007651559741024132,0.0007651559741024132,0.0
QKI,0.235197174808711,0.05950559152442613,0.0012948793407886992,0.0012360211889346675,5.885815185403178e-05
RBM9,0.2284873454973514,0.04761624484991171,0.0006474396703943496,0.0006474396703943496,0.0
RHOXF2,0.21459682165979987,0.02207180694526192,0.0005885815185403178,0.0005885815185403178,0.0
TNRC4,0.18251912889935257,0.013243084167157151,5.885815185403178e-05,5.885815185403178e-05,0.0
A2M,0.23949381989405533,0.08016480282519128,0.0017657445556209534,0.0017657445556209534,0.0
ABCA1,0.23560918187168922,0.07021777516185992,0.0012360211889346675,0.0011771630370806356,5.885815185403178e-05
ADAM19,0.19134785167745733,0.017892878163625663,0.00011771630370806356,0.00011771630370806356,0.0
ADAMTS1,0.18599175985874045,0.020541494997057094,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
ALDOA,0.24337845791642143,0.11383166568569747,0.0018246027074749853,0.0018246027074749853,0.0
AMBP,0.23013537374926427,0.04702766333137139,0.0003531489111241907,0.0003531489111241907,0.0
ANXA6,0.20512065921130077,0.022954679223072396,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
APOE,0.2309005297233667,0.055738669805768096,0.0011771630370806356,0.001118304885226604,5.885815185403178e-05
APP,0.2440847557386698,0.11236021188934668,0.004237786933490288,0.004178928781636257,5.885815185403178e-05
ATF7IP,0.2371983519717481,0.06003531489111242,0.001883460859329017,0.001883460859329017,0.0
B2M,0.23819894055326662,0.0757504414361389,0.0015303119482048264,0.0015303119482048264,0.0
C11orf58,0.2009417304296645,0.020188346085932903,0.0004120070629782225,0.0004120070629782225,0.0
CDK2AP2,0.2174220129487934,0.025250147145379636,0.0004120070629782225,0.0003531489111241907,5.885815185403178e-05
CFD,0.21200706297822247,0.02542672160094173,0.00047086521483225425,0.00047086521483225425,0.0
CPB2,0.22154208357857563,0.047675103001765744,5.885815185403178e-05,5.885815185403178e-05,0.0
CTSB,0.22995879929370217,0.0492642731018246,0.0009417304296645085,0.0008828722778104767,5.885815185403178e-05
CTSE,0.1975868157739847,0.018363743378457916,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
ELA1,0.11789287816362566,0.0022954679223072395,5.885815185403178e-05,5.885815185403178e-05,0.0
EP300,0.2476162448499117,0.1933490288404944,0.019305473808122423,0.019305473808122423,0.0
F5,0.2155385520894644,0.028251912889935255,0.000824014125956445,0.000824014125956445,0.0
F8,0.21877575044143613,0.025544437904649792,0.0008828722778104767,0.0008828722778104767,0.0
FN1,0.23972925250147145,0.09252501471453796,0.00494408475573867,0.004885226603884638,5.885815185403178e-05
FOXA1,0.2452030606238964,0.12960565038257799,0.009181871689228958,0.009181871689228958,0.0
FOXA2,0.2424367274867569,0.08628605061801059,0.004120070629782225,0.004120070629782225,0.0
GAS6,0.21394938198940552,0.02601530311948205,0.0006474396703943496,0.0005885815185403178,5.885815185403178e-05
GRB2,0.2464979399646851,0.1452030606238964,0.008357857563272513,0.008357857563272513,0.0
H2AFX,0.24532077692760448,0.13890523837551502,0.0044143613890523835,0.0044143613890523835,0.0
HMOX2,0.23584461447910535,0.06321365509123014,0.001059446733372572,0.001059446733372572,0.0
