gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
A1BG,0.22236609770453208,0.015891701000588582,0.00023543260741612713,0.00023543260741612713,0.0
ANXA7,0.29434961742201293,0.08746321365509123,0.0028251912889935256,0.002766333137139494,5.885815185403178e-05
CDKN1A,0.30306062389640964,0.18864037669217187,0.008122424955856387,0.008063566804002354,5.885815185403178e-05
CRISP3,0.015891701000588582,0.00023543260741612713,5.885815185403178e-05,0.0,5.885815185403178e-05
TK1,0.300058858151854,0.15420835785756326,0.004885226603884638,0.004885226603884638,0.0
A1CF,0.14190700412007062,0.002942907592701589,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
APOBEC1,0.22672160094173044,0.01918775750441436,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
CELF2,0.002942907592701589,0.00023543260741612713,5.885815185403178e-05,5.885815185403178e-05,0.0
KHSRP,0.28616833431430255,0.07586815773984697,0.0011771630370806356,0.001118304885226604,5.885815185403178e-05
SYNCRIP,0.28734549735138315,0.07898763978811066,0.0012948793407886992,0.0012360211889346675,5.885815185403178e-05
TNPO2,0.2628605061801059,0.04761624484991171,0.000529723366686286,0.000529723366686286,0.0
A2BP1,0.2540906415538552,0.025250147145379636,0.0004120070629782225,0.0004120070629782225,0.0
ATXN1,0.2987639788110653,0.13472630959387874,0.002942907592701589,0.0028840494408475573,5.885815185403178e-05
ATXN2,0.2576809888169512,0.027839905826957032,0.000824014125956445,0.000824014125956445,0.0
DMRTB1,0.2183637433784579,0.01318422601530312,0.00023543260741612713,0.00023543260741612713,0.0
HNRNPF,0.29582107121836376,0.11624484991171277,0.002413184226015303,0.002413184226015303,0.0
HSFX1,0.283402001177163,0.0607416127133608,0.0015891701000588581,0.0015891701000588581,0.0
LZTS2,0.24967628016480284,0.03101824602707475,0.00017657445556209535,0.00017657445556209535,0.0
MAFF,0.2942319011183049,0.09075927015891701,0.00329605650382578,0.00329605650382578,0.0
MAFK,0.29899941141848146,0.12113007651559742,0.005238375515008829,0.005238375515008829,0.0
PSMF1,0.2868746321365509,0.08069452619187757,0.0014125956444967628,0.0013537374926427311,5.885815185403178e-05
QKI,0.2875809299587993,0.06562683931724544,0.0010005885815185403,0.0009417304296645085,5.885815185403178e-05
RBM9,0.2757504414361389,0.05250147145379635,0.000824014125956445,0.000824014125956445,0.0
RHOXF2,0.25662154208357857,0.025544437904649792,0.000824014125956445,0.000824014125956445,0.0
TNRC4,0.21341965862271925,0.014479105356091818,0.00017657445556209535,0.00017657445556209535,0.0
A2M,0.29117127722189523,0.09305473808122425,0.002942907592701589,0.0028840494408475573,5.885815185403178e-05
ABCA1,0.28805179517363155,0.08487345497351383,0.0015303119482048264,0.0014714537963507945,5.885815185403178e-05
ADAM19,0.2281930547380812,0.022483814008240142,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
ADAMTS1,0.22601530311948204,0.025544437904649792,0.00023543260741612713,0.00023543260741612713,0.0
ALDOA,0.2987051206592113,0.13007651559741024,0.0031783402001177162,0.0031783402001177162,0.0
AMBP,0.28163625662154207,0.054620364920541495,0.0006474396703943496,0.0005885815185403178,5.885815185403178e-05
ANXA6,0.24791053560918186,0.027957622130665098,0.0003531489111241907,0.0003531489111241907,0.0
APOE,0.2831077104178929,0.07027663331371395,0.0015303119482048264,0.0014714537963507945,5.885815185403178e-05
APP,0.30029429075927017,0.14049440847557387,0.006650971159505591,0.00659211300765156,5.885815185403178e-05
ATF7IP,0.28928781636256623,0.07010005885815185,0.001883460859329017,0.0018246027074749853,5.885815185403178e-05
B2M,0.2918187168922896,0.08875809299587993,0.0034137728075338434,0.0033549146556798117,5.885815185403178e-05
C11orf58,0.23996468510888758,0.02336668628605062,0.0002942907592701589,0.0002942907592701589,0.0
CDK2AP2,0.2602118893466745,0.02972336668628605,0.0003531489111241907,0.0003531489111241907,0.0
CFD,0.2557386698057681,0.03325485579752796,0.001118304885226604,0.001059446733372572,5.885815185403178e-05
CPB2,0.27004120070629783,0.05650382577987051,0.00023543260741612713,0.00023543260741612713,0.0
CTSB,0.2801648028251913,0.05891701000588582,0.0014125956444967628,0.0013537374926427311,5.885815185403178e-05
CTSE,0.23578575632725132,0.021954090641553854,0.00023543260741612713,0.00023543260741612713,0.0
ELA1,0.13708063566804002,0.003766921718658034,0.00017657445556209535,0.00017657445556209535,0.0
EP300,0.3062978222483814,0.2309005297233667,0.02207180694526192,0.022012948793407885,5.885815185403178e-05
F5,0.2602707474985285,0.03531489111241907,0.0014714537963507945,0.0014125956444967628,5.885815185403178e-05
F8,0.2638022366097705,0.03266627427898764,0.00164802825191289,0.0015891701000588581,5.885815185403178e-05
FN1,0.29376103590347263,0.10853443201883461,0.005356091818716892,0.00529723366686286,5.885815185403178e-05
FOXA1,0.30052972336668626,0.15791642142436726,0.009770453207769276,0.009711595055915245,5.885815185403178e-05
FOXA2,0.2959387875220718,0.10435550323719835,0.00529723366686286,0.00529723366686286,0.0
GAS6,0.25732783990582697,0.032254267216009415,0.0011771630370806356,0.001118304885226604,5.885815185403178e-05
GRB2,0.30323719835197177,0.1752207180694526,0.009947027663331371,0.00988816951147734,5.885815185403178e-05
H2AFX,0.3014714537963508,0.1636845203060624,0.00494408475573867,0.00494408475573867,0.0
HMOX2,0.2879340788699235,0.07598587404355503,0.0010005885815185403,0.0009417304296645085,5.885815185403178e-05
HSPA5,0.30058858151854034,0.1516774573278399,0.0027074749852854622,0.00264861683343143,5.885815185403178e-05
IL10,0.2844025897586816,0.06986462625073572,0.001883460859329017,0.0018246027074749853,5.885815185403178e-05
IL1B,0.2935256032960565,0.09346674514420247,0.003001765744555621,0.002942907592701589,5.885815185403178e-05
IL4,0.2878163625662154,0.08381400824014126,0.002472042377869335,0.002472042377869335,0.0
KLK13,0.1266627427898764,0.0033549146556798117,0.00011771630370806356,0.00011771630370806356,0.0
KLK2,0.2540906415538552,0.028840494408475574,0.0002942907592701589,0.0002942907592701589,0.0
KLK3,0.26580341377280753,0.032371983519717484,0.00047086521483225425,0.00047086521483225425,0.0
LCAT,0.2251912889935256,0.01948204826368452,0.0006474396703943496,0.0006474396703943496,0.0
LEP,0.2966450853443202,0.11177163037080635,0.0038257798705120657,0.003766921718658034,5.885815185403178e-05
LRP1,0.28510888758092995,0.06798116539140671,0.001942319011183049,0.001942319011183049,0.0
MMP2,0.2955267804590936,0.10753384343731606,0.002942907592701589,0.0028840494408475573,5.885815185403178e-05
MYOC,0.2746321365509123,0.03613890523837551,0.001118304885226604,0.001059446733372572,5.885815185403178e-05
NGF,0.2987639788110653,0.1414949970570924,0.002942907592701589,0.002942907592701589,0.0
NGFB,0.1927604473219541,0.010417892878163625,0.0004120070629782225,0.0004120070629782225,0.0
NUDT21,0.2932901706886404,0.09170100058858152,0.0028840494408475573,0.0028840494408475573,0.0
PAEP,0.26015303119482047,0.02736904061212478,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
PDGFB,0.28834608593290173,0.08675691583284285,0.0017068864037669217,0.0017068864037669217,0.0
RAP1B,0.2829899941141848,0.05103001765744555,0.001118304885226604,0.001059446733372572,5.885815185403178e-05
RPP14,0.28346085932901705,0.06533254855797528,0.0007651559741024132,0.0007651559741024132,0.0
SEPT8,0.21024131842260152,0.011006474396703943,0.0002942907592701589,0.0002942907592701589,0.0
SERPINA1,0.29099470276633316,0.10488522660388463,0.0015303119482048264,0.0014714537963507945,5.885815185403178e-05
SHBG,0.2636845203060624,0.03160682754561507,0.001059446733372572,0.001059446733372572,0.0
SMAP,0.09305473808122425,0.002942907592701589,5.885815185403178e-05,5.885815185403178e-05,0.0
SMN1,0.2975868157739847,0.11812831077104179,0.003590347263095939,0.003590347263095939,0.0
TCF4,0.30182460270747496,0.1505591524426133,0.007886992348440258,0.007828134196586227,5.885815185403178e-05
TGFB2,0.27916421424367277,0.05532666274278988,0.0017657445556209534,0.0017068864037669217,5.885815185403178e-05
TGFBI,0.2816951147733961,0.0642731018246027,0.002118893466745144,0.0020600353148911123,5.885815185403178e-05
TGIF1,0.290759270158917,0.08263684520306062,0.0007062978222483814,0.0007062978222483814,0.0
TNFRSF14,0.2836374337845792,0.05644496762801648,0.0009417304296645085,0.0009417304296645085,0.0
TSC22D1,0.2856386109476162,0.06898175397292525,0.0012948793407886992,0.0012948793407886992,0.0
TTR,0.2911124190700412,0.08375515008828723,0.002177751618599176,0.002118893466745144,5.885815185403178e-05
