gene_celegans_stress_up,celegans_stress_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less3,celegans_stress_up_Fraction_sp_less2,celegans_stress_up_Fraction_sp_1,celegans_stress_up_Fraction_sp_0
A1BG,0.2240115025161754,0.015815959741193385,0.0002875629043853343,0.0002875629043853343,0.0
ANXA7,0.303666427030913,0.0813803019410496,0.0025880661394680087,0.0025880661394680087,0.0
CDKN1A,0.3164629762760604,0.18684399712437097,0.007764198418404026,0.007764198418404026,0.0
CRISP3,0.015815959741193385,0.0002875629043853343,7.189072609633358e-05,0.0,7.189072609633358e-05
TK1,0.3125808770668584,0.15370237239396117,0.004169662113587347,0.004097771387491013,7.189072609633358e-05
A1CF,0.13946800862688713,0.002228612508986341,0.0,0.0,0.0
APOBEC1,0.22983465132997843,0.017900790797987058,0.0,0.0,0.0
CELF2,0.002228612508986341,0.0,0.0,0.0,0.0
KHSRP,0.294608195542775,0.06398274622573688,0.00100647016534867,0.00100647016534867,0.0
SYNCRIP,0.298058950395399,0.07864845434938893,0.0009345794392523365,0.0009345794392523365,0.0
TNPO2,0.26836808051761324,0.05212077641984184,0.0003594536304816679,0.0003594536304816679,0.0
ATXN1,0.3108554996405464,0.12875629043853343,0.0033788641265276777,0.0033069734004313443,7.189072609633358e-05
ATXN2,0.2542056074766355,0.02451473759884975,0.0007189072609633358,0.0006470165348670022,7.189072609633358e-05
DMRTB1,0.21401869158878506,0.01265276779295471,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
HNRNPF,0.30675772825305536,0.12063263838964773,0.0027318475916606757,0.002659956865564342,7.189072609633358e-05
HSFX1,0.29051042415528394,0.05672178289000719,0.001509705248023005,0.0014378145219266715,7.189072609633358e-05
LZTS2,0.2521926671459382,0.028396836808051763,0.0003594536304816679,0.0003594536304816679,0.0
MAFF,0.30488856937455067,0.08921639108554996,0.0035945363048166786,0.003522645578720345,7.189072609633358e-05
MAFK,0.310352264557872,0.11516894320632638,0.005751258087706686,0.005679367361610352,7.189072609633358e-05
PSMF1,0.29561466570812367,0.08066139468008626,0.00201294033069734,0.00201294033069734,0.0
QKI,0.29611790079079797,0.06455787203450755,0.00100647016534867,0.00100647016534867,0.0
RHOXF2,0.26153846153846155,0.027462257368799425,0.0008626887131560029,0.0008626887131560029,0.0
A2M,0.300862688713156,0.08296189791516895,0.0015815959741193387,0.001509705248023005,7.189072609633358e-05
ABCA1,0.299137311286844,0.08274622573687994,0.001869158878504673,0.0017972681524083393,7.189072609633358e-05
ADAM19,0.22710280373831776,0.021854780733285405,0.0002875629043853343,0.0002875629043853343,0.0
ADAMTS1,0.22458662832494608,0.019769949676491733,0.00014378145219266715,0.00014378145219266715,0.0
ALDOA,0.3099928109273904,0.12774982027318477,0.002803738317757009,0.0027318475916606757,7.189072609633358e-05
AMBP,0.29000718907260964,0.04910136592379583,0.0006470165348670022,0.0005751258087706686,7.189072609633358e-05
ANXA6,0.25255212077641986,0.023795830337886414,0.0002875629043853343,0.0002875629043853343,0.0
APOE,0.28964773544212796,0.06491732566498921,0.0005751258087706686,0.0005751258087706686,0.0
