gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
A1BG,0.23767074047447878,0.013946800862688713,0.00021567217828900073,0.00021567217828900073,0.0
ANXA7,0.3346513299784328,0.0828900071890726,0.0020848310567936736,0.0020848310567936736,0.0
CDKN1A,0.3473759884974838,0.19338605319913732,0.00603882099209202,0.005966930265995687,7.189072609633358e-05
CRISP3,0.013946800862688713,0.00021567217828900073,0.0,0.0,0.0
TK1,0.34406901509705246,0.14248741912293314,0.004601006470165349,0.004529115744069015,7.189072609633358e-05
A1CF,0.13414809489575844,0.002228612508986341,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
APOBEC1,0.24291876347951114,0.015959741193386053,0.00021567217828900073,0.00021567217828900073,0.0
CELF2,0.002228612508986341,0.00014378145219266715,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
KHSRP,0.3212796549245147,0.0710999281092739,0.0007907979870596693,0.0007907979870596693,0.0
SYNCRIP,0.3230769230769231,0.06815240833932423,0.0009345794392523365,0.0009345794392523365,0.0
TNPO2,0.28921639108555,0.03673616103522646,0.000503235082674335,0.000503235082674335,0.0
ATXN1,0.3427030913012221,0.14104960460100646,0.0027318475916606757,0.002659956865564342,7.189072609633358e-05
ATXN2,0.2758447160316319,0.024227174694464414,0.0007189072609633358,0.0006470165348670022,7.189072609633358e-05
DMRTB1,0.23213515456506112,0.012940330697340043,0.00021567217828900073,0.00021567217828900073,0.0
HNRNPF,0.3366642703091301,0.09899352983465133,0.0007907979870596693,0.0007907979870596693,0.0
HSFX1,0.3188353702372394,0.05787203450754853,0.0010783608914450035,0.0010783608914450035,0.0
LZTS2,0.2736161035226456,0.0308411214953271,0.00021567217828900073,0.00021567217828900073,0.0
MAFF,0.3342918763479511,0.08511861969805895,0.004385334291876348,0.004385334291876348,0.0
MAFK,0.3406901509705248,0.11732566498921639,0.006829618979151689,0.0067577282530553555,7.189072609633358e-05
PSMF1,0.3209920920201294,0.0678648454349389,0.0005751258087706686,0.0005751258087706686,0.0
QKI,0.32437095614665706,0.057296908698777856,0.0011502516175413372,0.0011502516175413372,0.0
RHOXF2,0.2841840402588066,0.02336448598130841,0.0009345794392523365,0.0009345794392523365,0.0
A2M,0.3299784327821711,0.10100647016534867,0.002803738317757009,0.002803738317757009,0.0
ABCA1,0.32631200575125807,0.07692307692307693,0.00100647016534867,0.0009345794392523365,7.189072609633358e-05
ADAM19,0.24622573687994248,0.01847591660675773,0.00021567217828900073,0.00021567217828900073,0.0
ADAMTS1,0.24787922358015815,0.03249460819554278,7.189072609633358e-05,7.189072609633358e-05,0.0
ALDOA,0.34126527677929547,0.12314881380301941,0.0023005032350826744,0.0023005032350826744,0.0
AMBP,0.31560028756290437,0.059094176851186196,0.0006470165348670022,0.0006470165348670022,0.0
ANXA6,0.27095614665708123,0.028900071890726096,0.0002875629043853343,0.0002875629043853343,0.0
APOE,0.31984184040258806,0.0629762760603882,0.0017253774263120058,0.0016534867002156721,7.189072609633358e-05
APP,0.34378145219266715,0.14270309130122213,0.0066858375269590225,0.0066858375269590225,0.0
ATF7IP,0.32810927390366645,0.06858375269590222,0.0019410496046010064,0.0019410496046010064,0.0
B2M,0.33033788641265277,0.09295470884255931,0.002875629043853343,0.002803738317757009,7.189072609633358e-05
C11orf58,0.2535585909417685,0.016606757728253055,0.0003594536304816679,0.0003594536304816679,0.0
CDK2AP2,0.2873472322070453,0.027102803738317756,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
CFD,0.2824586628324946,0.03479511143062545,0.0007907979870596693,0.0007189072609633358,7.189072609633358e-05
CPB2,0.2994248741912293,0.047160316319194824,0.0003594536304816679,0.0003594536304816679,0.0
CTSB,0.3130841121495327,0.06110711718188354,0.0012221423436376707,0.0012221423436376707,0.0
CTSE,0.24076204169662113,0.02178289000718907,0.00014378145219266715,0.00014378145219266715,0.0
EP300,0.3516175413371675,0.2475197699496765,0.02271746944644141,0.02271746944644141,0.0
F5,0.28979151689432064,0.03587347232207045,0.0012940330697340044,0.0012221423436376707,7.189072609633358e-05
F8,0.2944644140905823,0.03414809489575845,0.0012940330697340044,0.0012940330697340044,0.0
FN1,0.33652048885693747,0.11581595974119338,0.005607476635514018,0.005535585909417685,7.189072609633358e-05
FOXA1,0.3447879223580158,0.16247304097771387,0.013227893601725377,0.013156002875629043,7.189072609633358e-05
FOXA2,0.3383177570093458,0.1120057512580877,0.007260963335729691,0.007189072609633357,7.189072609633358e-05
GAS6,0.28554996405463695,0.03378864126527678,0.0008626887131560029,0.0008626887131560029,0.0
GRB2,0.3488138030194105,0.1851905104241553,0.013156002875629043,0.013084112149532711,7.189072609633358e-05
H2AFX,0.3452192667145938,0.15442127965492453,0.002228612508986341,0.002228612508986341,0.0
HMOX2,0.3239396117900791,0.06462976276060388,0.0005751258087706686,0.0005751258087706686,0.0
HSPA5,0.34442846872753413,0.14874191229331415,0.001869158878504673,0.0017972681524083393,7.189072609633358e-05
IL10,0.32257368799424874,0.07663551401869159,0.002228612508986341,0.002156721782890007,7.189072609633358e-05
IL1B,0.3341480948957585,0.10222861250898634,0.0038102084831056794,0.0038102084831056794,0.0
IL4,0.3273903666427031,0.09611790079079799,0.003235082674335011,0.003235082674335011,0.0
