gene_mmusculus_stress_down,mmusculus_stress_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less3,mmusculus_stress_down_Fraction_sp_less2,mmusculus_stress_down_Fraction_sp_1,mmusculus_stress_down_Fraction_sp_0
A1BG,0.22286125089863407,0.01667864845434939,0.00021567217828900073,0.00021567217828900073,0.0
ANXA7,0.2890726096333573,0.08238677210639828,0.0024442846872753414,0.002372393961179008,7.189072609633358e-05
CDKN1A,0.297411933860532,0.19000718907260963,0.007692307692307693,0.007692307692307693,0.0
CRISP3,0.01667864845434939,0.00021567217828900073,0.0,0.0,0.0
TK1,0.2948957584471603,0.15061107117181882,0.00481667864845435,0.004744787922358016,7.189072609633358e-05
A1CF,0.14140905823148814,0.0024442846872753414,0.0003594536304816679,0.0003594536304816679,0.0
APOBEC1,0.2271746944644141,0.018404025880661395,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
CELF2,0.0024442846872753414,0.0003594536304816679,7.189072609633358e-05,0.0,7.189072609633358e-05
KHSRP,0.28303378864126527,0.07375988497483825,0.0012221423436376707,0.0011502516175413372,7.189072609633358e-05
SYNCRIP,0.2819554277498203,0.07893601725377426,0.0007189072609633358,0.0006470165348670022,7.189072609633358e-05
TNPO2,0.2608914450035945,0.04888569374550683,0.00043134435657800146,0.0003594536304816679,7.189072609633358e-05
ATXN1,0.293098490294752,0.13076923076923078,0.0029475197699496765,0.002875629043853343,7.189072609633358e-05
ATXN2,0.2456506110711718,0.023795830337886414,0.0006470165348670022,0.0005751258087706686,7.189072609633358e-05
DMRTB1,0.20948957584471603,0.012365204888569374,7.189072609633358e-05,7.189072609633358e-05,0.0
HNRNPF,0.2910136592379583,0.11667864845434939,0.0029475197699496765,0.0029475197699496765,0.0
HSFX1,0.2782890007189073,0.0616822429906542,0.0014378145219266715,0.0014378145219266715,0.0
LZTS2,0.24629762760603882,0.0299784327821711,0.00014378145219266715,0.00014378145219266715,0.0
MAFF,0.2889288281811646,0.08332135154565061,0.003666427030913012,0.003666427030913012,0.0
MAFK,0.292882818116463,0.12041696621135874,0.005319913731128684,0.005319913731128684,0.0
PSMF1,0.28339324227174695,0.08109273903666427,0.0006470165348670022,0.0006470165348670022,0.0
QKI,0.28145219266714594,0.06657081236520489,0.0012940330697340044,0.0012221423436376707,7.189072609633358e-05
RHOXF2,0.25470884255930987,0.023939611790079078,0.0007907979870596693,0.0007907979870596693,0.0
A2M,0.286843997124371,0.0920920201294033,0.002228612508986341,0.002228612508986341,0.0
ABCA1,0.28332135154565063,0.08123652048885693,0.001509705248023005,0.0014378145219266715,7.189072609633358e-05
ADAM19,0.2260963335729691,0.0199137311286844,0.00014378145219266715,0.00014378145219266715,0.0
ADAMTS1,0.21876347951114306,0.024442846872753415,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
ALDOA,0.292882818116463,0.12990654205607477,0.00201294033069734,0.00201294033069734,0.0
AMBP,0.27685118619698057,0.05492451473759885,0.00021567217828900073,0.00021567217828900073,0.0
ANXA6,0.24320632638389647,0.026455787203450754,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
APOE,0.2754133716750539,0.06470165348670022,0.0012221423436376707,0.0011502516175413372,7.189072609633358e-05
APP,0.29367361610352266,0.13112868439971243,0.0052480230050323505,0.0051761322789360175,7.189072609633358e-05
ATF7IP,0.28490294751976997,0.0698058950395399,0.002156721782890007,0.0020848310567936736,7.189072609633358e-05
B2M,0.2843278217109993,0.08698777857656362,0.002156721782890007,0.002156721782890007,0.0
C11orf58,0.2340043134435658,0.021639108554996407,0.00043134435657800146,0.00043134435657800146,0.0
CDK2AP2,0.25787203450754853,0.02782171099928109,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
CFD,0.25039539899352986,0.02796549245147376,0.0006470165348670022,0.0006470165348670022,0.0
CPB2,0.26542056074766357,0.05384615384615385,7.189072609633358e-05,7.189072609633358e-05,0.0
