gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
A1BG,0.26987778576563626,0.019410496046010063,0.0002875629043853343,0.0002875629043853343,0.0
ANXA7,0.3578001437814522,0.10330697340043135,0.0034507548526240116,0.0033788641265276777,7.189072609633358e-05
CDKN1A,0.3689432063263839,0.22832494608195542,0.009920920201294033,0.0098490294751977,7.189072609633358e-05
CRISP3,0.019410496046010063,0.0002875629043853343,7.189072609633358e-05,0.0,7.189072609633358e-05
TK1,0.36513299784327824,0.18533429187634795,0.005966930265995687,0.005966930265995687,0.0
A1CF,0.1700215672178289,0.0035945363048166786,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
APOBEC1,0.27526959022286124,0.023436376707404744,0.00043134435657800146,0.0003594536304816679,7.189072609633358e-05
CELF2,0.0035945363048166786,0.0002875629043853343,7.189072609633358e-05,7.189072609633358e-05,0.0
KHSRP,0.3471603163191948,0.0873472322070453,0.0014378145219266715,0.0013659237958303378,7.189072609633358e-05
SYNCRIP,0.3493170381020848,0.09633357296908698,0.0015815959741193387,0.001509705248023005,7.189072609633358e-05
TNPO2,0.3199137311286844,0.05808770668583753,0.0006470165348670022,0.0006470165348670022,0.0
ATXN1,0.36355140186915885,0.16340762041696621,0.0035945363048166786,0.003522645578720345,7.189072609633358e-05
ATXN2,0.304097771387491,0.03055355859094177,0.00100647016534867,0.00100647016534867,0.0
DMRTB1,0.26196980589503954,0.01488138030194105,0.0002875629043853343,0.0002875629043853343,0.0
HNRNPF,0.3599568655643422,0.14162473040977713,0.0029475197699496765,0.0029475197699496765,0.0
HSFX1,0.3445722501797268,0.07354421279654924,0.0019410496046010064,0.0019410496046010064,0.0
LZTS2,0.302372393961179,0.03745506829618979,0.00021567217828900073,0.00021567217828900073,0.0
MAFF,0.35815959741193387,0.11020848310567936,0.003953989935298346,0.003953989935298346,0.0
MAFK,0.3638389647735442,0.14723220704529116,0.006326383896477355,0.006326383896477355,0.0
PSMF1,0.3488856937455068,0.09834651329978433,0.0017253774263120058,0.0016534867002156721,7.189072609633358e-05
QKI,0.3493170381020848,0.07958303378864126,0.0012221423436376707,0.0011502516175413372,7.189072609633358e-05
RHOXF2,0.31143062544931704,0.030481667864845435,0.00100647016534867,0.00100647016534867,0.0
A2M,0.35442127965492454,0.11344356578001438,0.0035945363048166786,0.003522645578720345,7.189072609633358e-05
ABCA1,0.35017972681524084,0.10359453630481667,0.001869158878504673,0.0017972681524083393,7.189072609633358e-05
ADAM19,0.2780014378145219,0.027462257368799425,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
ADAMTS1,0.27505391804457224,0.03098490294751977,0.0002875629043853343,0.0002875629043853343,0.0
ALDOA,0.36355140186915885,0.1586628324946082,0.003882099209202013,0.003882099209202013,0.0
AMBP,0.3427749820273185,0.06657081236520489,0.0007907979870596693,0.0007189072609633358,7.189072609633358e-05
ANXA6,0.3018691588785047,0.03400431344356578,0.00043134435657800146,0.00043134435657800146,0.0
APOE,0.3442846872753415,0.08583752695902229,0.001869158878504673,0.0017972681524083393,7.189072609633358e-05
APP,0.36542056074766355,0.17124370956146656,0.008123652048885694,0.00805176132278936,7.189072609633358e-05
ATF7IP,0.3517613227893602,0.08547807332854061,0.0023005032350826744,0.002228612508986341,7.189072609633358e-05
B2M,0.3541337167505392,0.10661394680086268,0.004097771387491013,0.00402588066139468,7.189072609633358e-05
C11orf58,0.2863407620416966,0.026887131560028758,0.0003594536304816679,0.0003594536304816679,0.0
CDK2AP2,0.3162473040977714,0.03623292595255212,0.00043134435657800146,0.00043134435657800146,0.0
CFD,0.31135873472322073,0.04061826024442847,0.0013659237958303378,0.0012940330697340044,7.189072609633358e-05
