gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
TCOF1,0.5,0.5,0.5,0.0,0.5
NSRP1,1.0,1.0,1.0,0.0,1.0
SPPL3,1.0,1.0,1.0,0.0,1.0
OPA3,1.0,1.0,1.0,0.0,1.0
OPA1,0.0041757804732551205,0.00019884668920262477,0.0,0.0,0.0
ITGA8,0.0,0.0,0.0,0.0,0.0
ITGA9,0.037184330880890834,0.009743487770928615,0.0005965400676078744,0.00039769337840524953,0.00019884668920262477
ITGA1,0.04314973155696958,0.012129648041360111,0.0007953867568104991,0.0005965400676078744,0.00019884668920262477
ITGA2,0.0,0.0,0.0,0.0,0.0
ITGA3,0.0,0.0,0.0,0.0,0.0
ITGA4,0.05130244581427719,0.034002783853648834,0.00914694770332074,0.008948101014118115,0.00019884668920262477
ITGA5,0.04712666534102207,0.014913501690196859,0.0005965400676078744,0.00039769337840524953,0.00019884668920262477
ITGA6,0.0,0.0,0.0,0.0,0.0
ITGA7,0.06999403459932392,0.022668522569099226,0.0029827003380393717,0.0027838536488367467,0.00019884668920262477
TRHR,1.0,1.0,1.0,0.0,1.0
UFSP1,0.0,0.0,0.0,0.0,0.0
UFSP2,0.0,0.0,0.0,0.0,0.0
CHST8,0.0,0.0,0.0,0.0,0.0
CHST1,0.0,0.0,0.0,0.0,0.0
CHST3,0.01252734141976536,0.00039769337840524953,0.00039769337840524953,0.00019884668920262477,0.00019884668920262477
CHST2,0.0,0.0,0.0,0.0,0.0
CHST5,0.0,0.0,0.0,0.0,0.0
CHST4,0.0,0.0,0.0,0.0,0.0
CHST7,0.0,0.0,0.0,0.0,0.0
CHST6,1.0,1.0,1.0,0.0,1.0
ITGAX,0.04553589182740107,0.02923046331278584,0.003976933784052496,0.003976933784052496,0.0
BCL2A1,0.044939351759793196,0.024060449393517598,0.0011930801352157488,0.0011930801352157488,0.0
ITGAV,0.0,0.0,0.0,0.0,0.0
ITGAL,0.0642274806124478,0.037184330880890834,0.014316961622588983,0.014118114933386359,0.00019884668920262477
ITGAM,0.04354742493537483,0.02585006959634122,0.007556174189699742,0.007556174189699742,0.0
