gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less7,dmelanogaster_stress_up_Fraction_sp_less6,dmelanogaster_stress_up_Fraction_sp_less5,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
TCOF1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3012370686536931,0.2717933878318744,0.018302828618968387,0.018302828618968387,0.0
NSRP1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30167112783042754,0.2820661216812559,0.023439195543659117,0.023366852347536715,7.234319612240469e-05
SPPL3,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30167112783042754,0.2872024886059466,0.02257107719019026,0.02249873399406786,7.234319612240469e-05
OPA3,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3014540982420603,0.2827172104463575,0.025103089054474427,0.02503074585835202,7.234319612240469e-05
OPA1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30152644143818275,0.27692975475656517,0.019822035737538886,0.01974969254141648,7.234319612240469e-05
ITGA8,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3013094118498155,0.24972871301454097,0.009549301888157419,0.009476958692035015,7.234319612240469e-05
ITGA9,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30138175504593795,0.2511032337408667,0.008681183534688563,0.008608840338566157,7.234319612240469e-05
ITGA1,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3014540982420603,0.27830427548289083,0.01266005932142082,0.012587716125298416,7.234319612240469e-05
ITGA2,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30167112783042754,0.2627504883165738,0.009187585907545395,0.00911524271142299,7.234319612240469e-05
ITGA3,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3011647254575707,0.215944440425378,0.0034001302177530204,0.0033277870216306157,7.234319612240469e-05
ITGA4,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30152644143818275,0.2869854590175794,0.024886059466107214,0.02481371626998481,7.234319612240469e-05
