gene_celegans_stress_up,celegans_stress_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less3,celegans_stress_up_Fraction_sp_less2,celegans_stress_up_Fraction_sp_1,celegans_stress_up_Fraction_sp_0
TCOF1,0.3013202565069785,0.11022255752546209,0.005960015088645794,0.005960015088645794,0.0
NSRP1,0.3097698981516409,0.13255375330064126,0.004677480196152395,0.004677480196152395,0.0
SPPL3,0.3081101471142965,0.12516031686156168,0.0036212749905695962,0.0036212749905695962,0.0
OPA3,0.3054696341003395,0.12063372312334968,0.007619766125990192,0.007619766125990192,0.0
OPA1,0.3027536778574123,0.1015465861938891,0.003847604677480196,0.003772161448509996,7.544322897019993e-05
ITGA8,0.29317238777819693,0.07566955865711053,0.0033949453036589967,0.0033195020746887966,7.544322897019993e-05
ITGA9,0.2961901169370049,0.07815918521312712,0.0035458317615993966,0.0034703885326291964,7.544322897019993e-05
ITGA1,0.3101471142964919,0.1028291210863825,0.005658242172764994,0.005582798943794795,7.544322897019993e-05
ITGA2,0.2967936627687665,0.06797434930215013,0.0021878536401357977,0.002112410411165598,7.544322897019993e-05
ITGA3,0.2550735571482459,0.03017729158807997,0.0005281026027913995,0.00045265937382119953,7.544322897019993e-05
ITGA4,0.3136175028291211,0.14070162202942285,0.01086382497170879,0.010788381742738589,7.544322897019993e-05
ITGA5,0.3153526970954357,0.16031686156167485,0.007695209354960392,0.007695209354960392,0.0
ITGA6,0.2789136175028291,0.04126744624669936,0.0012070916635231988,0.001131648434552999,7.544322897019993e-05
ITGA7,0.31754055073557147,0.16763485477178422,0.012825348924933987,0.012825348924933987,0.0
TRHR,0.03055450773293097,0.001131648434552999,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
UFSP1,0.25794039984911354,0.045190494153149754,0.0005281026027913995,0.0005281026027913995,0.0
UFSP2,0.3105997736703131,0.14017351942663145,0.004224820822331196,0.004149377593360996,7.544322897019993e-05
CHST8,0.2675216899283289,0.04443606186344776,0.0005281026027913995,0.0005281026027913995,0.0
CHST1,0.2879668049792531,0.05922293474160694,0.000980761976612599,0.000980761976612599,0.0
CHST3,0.3088645794039985,0.12485854394568087,0.004149377593360996,0.004149377593360996,0.0
CHST2,0.26216522067144477,0.036589966050546964,0.0003017729158807997,0.0003017729158807997,0.0
CHST5,0.2786118445869483,0.05198038476046775,0.0003017729158807997,0.0003017729158807997,0.0
CHST4,0.3007921539041871,0.06827612221803094,0.0024141833270463976,0.0024141833270463976,0.0
CHST7,0.23342135043379858,0.02202942285929838,0.0,0.0,0.0
CHST6,0.21720105620520558,0.024820822331195775,0.0003772161448509996,0.0003772161448509996,0.0
ITGAX,0.3038853262919653,0.08796680497925312,0.005507355714824595,0.005431912485854395,7.544322897019993e-05
