gene_downregulated.regen,downregulated.regen_Fraction_sp_less4,downregulated.regen_Fraction_sp_less3,downregulated.regen_Fraction_sp_less2,downregulated.regen_Fraction_sp_1,downregulated.regen_Fraction_sp_0
TCOF1,0.055752546208977745,0.013278008298755186,0.0006035458317615994,0.0006035458317615994,0.0
NSRP1,0.059072048283666544,0.029045643153526972,0.0006789890607317993,0.0006789890607317993,0.0
SPPL3,0.05861938890984534,0.023538287438702378,0.0007544322897019992,0.0007544322897019992,0.0
OPA3,0.05861938890984534,0.02202942285929838,0.0003772161448509996,0.0003772161448509996,0.0
OPA1,0.05680875141456054,0.012221803093172388,0.0,0.0,0.0
ITGA8,0.05786495662014334,0.023689173896642775,0.0033949453036589967,0.0033949453036589967,0.0
ITGA9,0.05786495662014334,0.025801584307808375,0.003244058845718597,0.003244058845718597,0.0
ITGA1,0.06065635609204074,0.02987551867219917,0.003923047906450396,0.003923047906450396,0.0
ITGA2,0.058015843078083745,0.01991701244813278,0.001131648434552999,0.001056205205582799,7.544322897019993e-05
ITGA3,0.051829498302527345,0.015692191625801585,0.00022632968691059977,0.00022632968691059977,0.0
ITGA4,0.06020369671821954,0.02881931346661637,0.003093172387778197,0.003093172387778197,0.0
ITGA5,0.06088268577895134,0.03568464730290456,0.0044511505092417955,0.0044511505092417955,0.0
ITGA6,0.055073557148245945,0.013579781214635987,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
ITGA7,0.061712561297623536,0.036816295737457566,0.005658242172764994,0.005658242172764994,0.0
TRHR,0.003847604677480196,0.0,0.0,0.0,0.0
UFSP1,0.04602036967182195,0.004224820822331196,7.544322897019993e-05,7.544322897019993e-05,0.0
UFSP2,0.05944926442851754,0.028064881176914372,0.00022632968691059977,0.00022632968691059977,0.0
CHST8,0.04933987174651075,0.007619766125990192,0.0,0.0,0.0
CHST1,0.05469634100339495,0.00980761976612599,0.0,0.0,0.0
CHST3,0.06027913994718974,0.02844209732176537,0.0024141833270463976,0.0024141833270463976,0.0
CHST2,0.04971708789136175,0.007468879668049793,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
CHST5,0.052131271218408146,0.006714447378347793,0.00015088645794039985,0.00015088645794039985,0.0
CHST4,0.05529988683515655,0.012146359864202188,0.00022632968691059977,0.00022632968691059977,0.0
CHST7,0.04594492644285175,0.007016220294228593,7.544322897019993e-05,7.544322897019993e-05,0.0
CHST6,0.04209732176537156,0.0033195020746887966,0.0,0.0,0.0
ITGAX,0.05786495662014334,0.01953979630328178,0.0025650697849867975,0.0025650697849867975,0.0
BCL2A1,0.05929837797057714,0.023085628064881177,0.002866842700867597,0.002866842700867597,0.0
ITGAV,0.058091286307053944,0.025726141078838173,0.0012825348924933987,0.0012825348924933987,0.0
ITGAL,0.05997736703130894,0.026556016597510373,0.0027913994718973974,0.0027913994718973974,0.0
ITGAM,0.058393059222934744,0.025122595247076576,0.0033949453036589967,0.0033949453036589967,0.0
ITGAD,0.04368162957374576,0.005130139569973595,7.544322897019993e-05,0.0,7.544322897019993e-05
ITGAE,0.0,0.0,0.0,0.0,0.0
IGF2R,0.05560165975103734,0.011769143719351189,0.00022632968691059977,0.00022632968691059977,0.0
SLC36A4,0.05198038476046775,0.01093926820067899,7.544322897019993e-05,7.544322897019993e-05,0.0
CKS1B,0.042172764994341756,0.005507355714824595,0.00015088645794039985,0.00015088645794039985,0.0
SLC36A1,0.04096567333081856,0.005733685401735194,0.0,0.0,0.0
ARTN,0.04926442851754055,0.006110901546586194,0.0,0.0,0.0
ART1,0.011995473406261788,0.00022632968691059977,0.00015088645794039985,0.00015088645794039985,0.0
ART4,0.055149000377216144,0.01735194266314598,0.0006789890607317993,0.0006789890607317993,0.0
CADPS2,0.03877781969068276,0.0015843078083741984,0.0,0.0,0.0
RLF,0.05718596755941154,0.02029422859298378,0.00022632968691059977,0.00022632968691059977,0.0
CRTAP,0.06118445869483214,0.03923047906450396,0.00965673330818559,0.00958129007921539,7.544322897019993e-05
ADPGK,0.06088268577895134,0.035307431158053564,0.0025650697849867975,0.0025650697849867975,0.0
CPEB4,0.056129762353828744,0.01961523953225198,0.00022632968691059977,0.00022632968691059977,0.0
CPEB1,0.06080724254998114,0.03945680875141456,0.002112410411165598,0.002112410411165598,0.0
CPEB3,0.05990192380233874,0.03078083741984157,0.002112410411165598,0.002112410411165598,0.0
CPEB2,0.04964164466239155,0.004526593738211996,0.00015088645794039985,0.00015088645794039985,0.0
SRBD1,0.04541682384006036,0.005809128630705394,7.544322897019993e-05,0.0,7.544322897019993e-05
ABAT,0.05982648057336854,0.028366654092795172,0.0007544322897019992,0.0007544322897019992,0.0
PHOX2A,0.03983402489626556,0.0018106374952847981,7.544322897019993e-05,7.544322897019993e-05,0.0
PHOX2B,0.03183704262542437,0.000980761976612599,0.0,0.0,0.0
UPK2,0.038174273858921165,0.0021878536401357977,0.0,0.0,0.0
CFH,0.052131271218408146,0.016522067144473785,0.000980761976612599,0.000980761976612599,0.0
CFI,0.057035081101471145,0.015314975480950585,0.0006789890607317993,0.0006789890607317993,0.0
ANKFY1,0.05552621652206714,0.01984156921916258,0.0003017729158807997,0.0003017729158807997,0.0
CFB,0.05326291965296115,0.011542814032440589,0.0006035458317615994,0.0005281026027913995,7.544322897019993e-05
CFP,0.04949075820445115,0.00995850622406639,0.001056205205582799,0.001056205205582799,0.0
AAAS,0.057714070162202945,0.015993964541682382,0.00045265937382119953,0.00045265937382119953,0.0
SIDT1,0.05960015088645794,0.026178800452659374,0.0003772161448509996,0.0003772161448509996,0.0
SIDT2,0.04194643530743116,0.0033195020746887966,0.0,0.0,0.0
AAGAB,0.059072048283666544,0.024594492644285176,0.0006789890607317993,0.0006789890607317993,0.0
C4orf17,0.04541682384006036,0.0024896265560165973,0.00022632968691059977,0.00022632968691059977,0.0
SCYL1,0.05092417955488495,0.004526593738211996,0.0,0.0,0.0
