gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
TCOF1,0.32546208977744245,0.08193134666163712,0.0007544322897019992,0.0007544322897019992,0.0
NSRP1,0.3394190871369295,0.14884949075820444,0.004149377593360996,0.004149377593360996,0.0
SPPL3,0.33708034703885326,0.13594869860430026,0.0033949453036589967,0.0033195020746887966,7.544322897019993e-05
OPA3,0.3345152772538665,0.1085628064881177,0.002640513013956997,0.0025650697849867975,7.544322897019993e-05
OPA1,0.3274236137306677,0.08706148623161071,0.001131648434552999,0.001131648434552999,0.0
ITGA8,0.3268955111278763,0.10773293096944549,0.007544322897019992,0.007544322897019992,0.0
ITGA9,0.32923425122595246,0.11761599396454168,0.006563560920407393,0.006488117691437194,7.544322897019993e-05
ITGA1,0.34228592983779704,0.14673708034703886,0.009053187476423991,0.008977744247453791,7.544322897019993e-05
ITGA2,0.3285552621652207,0.0971708789136175,0.004979253112033195,0.004903809883062995,7.544322897019993e-05
ITGA3,0.2901546586193889,0.052433044134288946,0.001131648434552999,0.001131648434552999,0.0
ITGA4,0.34432289701999247,0.16152395322519802,0.022557525462089778,0.022482082233119576,7.544322897019993e-05
ITGA5,0.34877404752923424,0.1946435307431158,0.010637495284798189,0.010637495284798189,0.0
ITGA6,0.31429649188985287,0.06880422482082234,0.0021878536401357977,0.0021878536401357977,0.0
ITGA7,0.34960392304790644,0.2036967182195398,0.020596001508864578,0.02052055827989438,7.544322897019993e-05
TRHR,0.04058845718596756,0.0008298755186721991,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
UFSP1,0.2666918144096567,0.026706903055450773,0.00022632968691059977,0.00022632968691059977,0.0
UFSP2,0.34092795171633344,0.15435684647302905,0.005281026027913994,0.005281026027913994,0.0
CHST8,0.2961901169370049,0.06450396076952093,0.0006035458317615994,0.0006035458317615994,0.0
CHST1,0.3179177668804225,0.08268577895133912,0.001131648434552999,0.001056205205582799,7.544322897019993e-05
CHST3,0.3421350433798567,0.15684647302904564,0.008072425499811391,0.007996982270841191,7.544322897019993e-05
CHST2,0.2881931346661637,0.05107506601282535,0.0007544322897019992,0.0006789890607317993,7.544322897019993e-05
CHST5,0.3073557148245945,0.07046397585816673,0.0007544322897019992,0.0006789890607317993,7.544322897019993e-05
CHST4,0.3280271595624293,0.07302904564315353,0.0018106374952847981,0.0018106374952847981,0.0
CHST7,0.26246699358732556,0.02972463221425877,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
CHST6,0.25567710298000756,0.03772161448509996,0.0003772161448509996,0.0003017729158807997,7.544322897019993e-05
ITGAX,0.3321010939268201,0.1080347038853263,0.013881554130516786,0.013881554130516786,0.0
BCL2A1,0.33979630328178045,0.13542059600150885,0.016974726518294982,0.016899283289324784,7.544322897019993e-05
ITGAV,0.33413806110901545,0.11693700490380989,0.003093172387778197,0.003093172387778197,0.0
ITGAL,0.34168238400603546,0.14915126367408524,0.02089777442474538,0.02082233119577518,7.544322897019993e-05
ITGAM,0.3347416069407771,0.11686156167483969,0.013956997359486986,0.013881554130516786,7.544322897019993e-05
ITGAD,0.25152772538664653,0.03779705771407016,0.0009053187476423991,0.0009053187476423991,0.0
ITGAE,0.0,0.0,0.0,0.0,0.0
IGF2R,0.32591474915126367,0.09686910599773671,0.0023387400980761975,0.002263296869105998,7.544322897019993e-05
SLC36A4,0.3081855903432667,0.06337231233496794,0.00045265937382119953,0.00045265937382119953,0.0
CKS1B,0.22678234628442098,0.015390418709920785,0.0003017729158807997,0.0003017729158807997,0.0
SLC36A1,0.23432666918144096,0.03440211241041117,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
ARTN,0.2897774424745379,0.05892116182572614,0.0003772161448509996,0.0003772161448509996,0.0
ART1,0.07936627687665032,0.0009053187476423991,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
ART4,0.30833647680120707,0.06812523576009054,0.0014334213504337986,0.0014334213504337986,0.0
CADPS2,0.2198415692191626,0.011241041116559788,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
RLF,0.32893247831007166,0.0997359486986043,0.0027913994718973974,0.0027913994718973974,0.0
CRTAP,0.3505092417955489,0.2178046020369672,0.025575254620897773,0.025499811391927574,7.544322897019993e-05
ADPGK,0.34718973972086004,0.19622783855149,0.02074688796680498,0.02074688796680498,0.0
CPEB4,0.32402866842700867,0.0891738966427763,0.001056205205582799,0.000980761976612599,7.544322897019993e-05
CPEB1,0.35088645794039985,0.23470388532629197,0.03123349679366277,0.03115805356469257,7.544322897019993e-05
CPEB3,0.34470011316484345,0.15865711052433043,0.007846095812900793,0.0077706525839305925,7.544322897019993e-05
CPEB2,0.2827612221803093,0.028668427008675973,0.0008298755186721991,0.0008298755186721991,0.0
SRBD1,0.2653338362881931,0.023085628064881177,0.0,0.0,0.0
ABAT,0.3459072048283667,0.15699735948698604,0.005960015088645794,0.0058845718596755945,7.544322897019993e-05
PHOX2A,0.24172010562052057,0.02006789890607318,0.0012825348924933987,0.0012825348924933987,0.0
PHOX2B,0.1836288193134666,0.011618257261410789,0.0007544322897019992,0.0007544322897019992,0.0
UPK2,0.2142587702753678,0.015088645794039984,7.544322897019993e-05,7.544322897019993e-05,0.0
CFH,0.3001886080724255,0.05892116182572614,0.0024141833270463976,0.0023387400980761975,7.544322897019993e-05
CFI,0.3206337231233497,0.06752168992832894,0.001961523953225198,0.001886080724254998,7.544322897019993e-05
ANKFY1,0.32025650697849867,0.0973217653715579,0.0012070916635231988,0.0012070916635231988,0.0
CFB,0.2995096190116937,0.05846850245190494,0.0009053187476423991,0.0008298755186721991,7.544322897019993e-05
CFP,0.28261033572236893,0.04926442851754055,0.004149377593360996,0.004073934364390796,7.544322897019993e-05
AAAS,0.33519426631459825,0.11354205960015089,0.004526593738211996,0.004526593738211996,0.0
SIDT1,0.3418332704639759,0.14326669181440965,0.010788381742738589,0.010712938513768389,7.544322897019993e-05
SIDT2,0.25816672953602415,0.023613730667672576,0.00022632968691059977,0.00022632968691059977,0.0
AAGAB,0.34017351942663143,0.11829498302527348,0.0024141833270463976,0.0024141833270463976,0.0
C4orf17,0.26789890607317995,0.028215767634854772,0.003017729158807997,0.003017729158807997,0.0
SCYL1,0.2941531497548095,0.03055450773293097,0.0007544322897019992,0.0007544322897019992,0.0
ABCE1,0.3157299132402867,0.045115050924179556,0.0012070916635231988,0.0012070916635231988,0.0
TEN1-CDK3,0.3440211241041117,0.16054319124858543,0.006639004149377593,0.006639004149377593,0.0
ZNF117,0.25575254620897775,0.03153526970954357,0.00045265937382119953,0.0003772161448509996,7.544322897019993e-05
ZNF114,0.25944926442851757,0.04149377593360996,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
