gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
TCOF1,0.24820822331195774,0.08336476801207092,0.0036212749905695962,0.0035458317615993966,7.544322897019993e-05
NSRP1,0.25786495662014336,0.11754055073557149,0.003923047906450396,0.003847604677480196,7.544322897019993e-05
SPPL3,0.25703508110147116,0.11467370803470389,0.0033949453036589967,0.0033195020746887966,7.544322897019993e-05
OPA3,0.25401735194266317,0.0898528857035081,0.002036967182195398,0.001961523953225198,7.544322897019993e-05
OPA1,0.24813278008298756,0.07280271595624292,0.0009053187476423991,0.0009053187476423991,0.0
ITGA8,0.24768012070916634,0.07815918521312712,0.005281026027913994,0.005281026027913994,0.0
ITGA9,0.25032063372312335,0.08396831384383252,0.005281026027913994,0.005205582798943795,7.544322897019993e-05
ITGA1,0.2586193889098453,0.1057714070162203,0.0067898906073179935,0.006714447378347793,7.544322897019993e-05
ITGA2,0.24888721237268954,0.07069030554507733,0.003847604677480196,0.003847604677480196,0.0
ITGA3,0.21833270463975857,0.03960769520935496,0.0006789890607317993,0.0006789890607317993,0.0
ITGA4,0.2599773670313089,0.11814409656733309,0.01969068276122218,0.01961523953225198,7.544322897019993e-05
ITGA5,0.26442851754055074,0.14492644285175404,0.008600528102602792,0.008525084873632592,7.544322897019993e-05
ITGA6,0.23983402489626557,0.04828366654092795,0.0016597510373443983,0.0016597510373443983,0.0
ITGA7,0.26442851754055074,0.15224443606186344,0.012599019238023387,0.012523576009053187,7.544322897019993e-05
TRHR,0.025499811391927574,0.00045265937382119953,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
UFSP1,0.20716710675216898,0.024896265560165973,0.00045265937382119953,0.00045265937382119953,0.0
UFSP2,0.25854394568087513,0.11701244813278008,0.004073934364390796,0.004073934364390796,0.0
CHST8,0.2245944926442852,0.04134288947566956,0.00022632968691059977,0.00022632968691059977,0.0
CHST1,0.24013579781214636,0.05167861184458695,0.00045265937382119953,0.00045265937382119953,0.0
CHST3,0.25922293474160696,0.11761599396454168,0.0063372312334967935,0.006261788004526593,7.544322897019993e-05
CHST2,0.2162957374575632,0.03900414937759336,0.00045265937382119953,0.00045265937382119953,0.0
CHST5,0.23296869105997736,0.04798189362504715,0.00015088645794039985,0.00015088645794039985,0.0
CHST4,0.24858543945680875,0.04979253112033195,0.0006789890607317993,0.0006789890607317993,0.0
CHST7,0.1956997359486986,0.02270841192003018,0.00015088645794039985,0.00015088645794039985,0.0
CHST6,0.1877027536778574,0.02089777442474538,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
ITGAX,0.251301395699736,0.08102602791399471,0.012297246322142588,0.012297246322142588,0.0
BCL2A1,0.25658242172764995,0.0973217653715579,0.014560543191248585,0.014560543191248585,0.0
ITGAV,0.25416823840060354,0.08826857789513391,0.002640513013956997,0.002640513013956997,0.0
ITGAL,0.25854394568087513,0.1087136929460581,0.017955488494907582,0.01788004526593738,7.544322897019993e-05
ITGAM,0.2526593738211996,0.08630705394190871,0.01116559788758959,0.01116559788758959,0.0
ITGAD,0.18551490003772161,0.02964918898528857,0.0009053187476423991,0.0009053187476423991,0.0
ITGAE,0.0,0.0,0.0,0.0,0.0
IGF2R,0.24760467748019616,0.06329686910599773,0.001056205205582799,0.001056205205582799,0.0
SLC36A4,0.23387400980761977,0.04436061863447756,7.544322897019993e-05,7.544322897019993e-05,0.0
CKS1B,0.1824217276499434,0.014183327046397586,0.00022632968691059977,0.00022632968691059977,0.0
SLC36A1,0.18279894379479442,0.03010184835910977,0.00015088645794039985,0.00015088645794039985,0.0
ARTN,0.22127499056959637,0.037872500943040364,0.00022632968691059977,0.00022632968691059977,0.0
ART1,0.05975103734439834,0.0006789890607317993,7.544322897019993e-05,0.0,7.544322897019993e-05
ART4,0.22964918898528858,0.04820822331195775,0.000980761976612599,0.000980761976612599,0.0
CADPS2,0.16175028291210863,0.0058845718596755945,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
RLF,0.25152772538664653,0.0918144096567333,0.004073934364390796,0.004073934364390796,0.0
CRTAP,0.2661637118068653,0.16250471520181065,0.020596001508864578,0.02052055827989438,7.544322897019993e-05
ADPGK,0.26299509619011696,0.15209354960392305,0.016748396831384384,0.016748396831384384,0.0
CPEB4,0.24752923425122594,0.07906450396076953,0.001056205205582799,0.001056205205582799,0.0
CPEB1,0.26571105243304416,0.17600905318747642,0.01923802338740098,0.01916258015843078,7.544322897019993e-05
CPEB3,0.2602036967182195,0.12184081478687288,0.006110901546586194,0.006035458317615994,7.544322897019993e-05
CPEB2,0.21803093172387777,0.021274990569596378,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
