gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
TCOF1,0.35066012825348924,0.12048283666540928,0.005054696341003395,0.005054696341003395,0.0
NSRP1,0.361901169370049,0.15677102980007546,0.004602036967182196,0.004602036967182196,0.0
SPPL3,0.360015088645794,0.14967936627687664,0.004903809883062995,0.004828366654092795,7.544322897019993e-05
OPA3,0.3578272350056582,0.13594869860430026,0.006186344775556394,0.006186344775556394,0.0
OPA1,0.35133911731422107,0.11806865333836288,0.004073934364390796,0.004073934364390796,0.0
ITGA8,0.34530365899660503,0.0945303658996605,0.005507355714824595,0.005431912485854395,7.544322897019993e-05
ITGA9,0.34824594492644284,0.1032063372312335,0.005582798943794795,0.005582798943794795,0.0
ITGA1,0.36152395322519804,0.13413806110901547,0.008223311957751792,0.008223311957751792,0.0
ITGA2,0.3464353074311581,0.08834402112410411,0.003244058845718597,0.0031686156167483968,7.544322897019993e-05
ITGA3,0.3007167106752169,0.042927197284043754,0.0006035458317615994,0.0006035458317615994,0.0
ITGA4,0.36506978498679743,0.16823840060354583,0.01855903432666918,0.01848359109769898,7.544322897019993e-05
ITGA5,0.3692191625801584,0.1904187099207846,0.00980761976612599,0.00973217653715579,7.544322897019993e-05
ITGA6,0.32863070539419087,0.055149000377216144,0.0012825348924933987,0.0012825348924933987,0.0
ITGA7,0.37019992455677103,0.20188608072425498,0.016371180686533385,0.016371180686533385,0.0
TRHR,0.03055450773293097,0.0014334213504337986,0.0005281026027913995,0.0005281026027913995,0.0
UFSP1,0.2970199924556771,0.04443606186344776,0.0003772161448509996,0.0003772161448509996,0.0
UFSP2,0.3629573745756318,0.16544700113164842,0.005733685401735194,0.005733685401735194,0.0
CHST8,0.31158053564692567,0.05137683892870615,0.0003772161448509996,0.0003772161448509996,0.0
CHST1,0.33542059600150886,0.06963410033949453,0.0009053187476423991,0.0008298755186721991,7.544322897019993e-05
CHST3,0.36303281780460206,0.14854771784232365,0.005809128630705394,0.005809128630705394,0.0
CHST2,0.3058468502451905,0.04805733685401735,0.0003772161448509996,0.0003772161448509996,0.0
CHST5,0.32267069030554507,0.055375330064126746,0.0006789890607317993,0.0006789890607317993,0.0
CHST4,0.34809505846850247,0.07521689928328933,0.0017351942663145982,0.0017351942663145982,0.0
CHST7,0.2702376461712561,0.02949830252734817,0.00022632968691059977,0.00022632968691059977,0.0
CHST6,0.25529988683515653,0.027084119200301772,0.0003772161448509996,0.0003772161448509996,0.0
ITGAX,0.35382874387023766,0.10811014711429649,0.01101471142964919,0.01101471142964919,0.0
BCL2A1,0.36061863447755566,0.12930969445492266,0.012523576009053187,0.012523576009053187,0.0
ITGAV,0.35624292719728406,0.11505092417955488,0.0029422859298377972,0.002866842700867597,7.544322897019993e-05
ITGAL,0.3643153526970954,0.15767634854771784,0.016220294228592985,0.016144850999622783,7.544322897019993e-05
ITGAM,0.355111278762731,0.11610712938513769,0.012221803093172388,0.012221803093172388,0.0
ITGAD,0.26163711806865336,0.03145982648057337,0.0005281026027913995,0.0005281026027913995,0.0
ITGAE,0.0,0.0,0.0,0.0,0.0
IGF2R,0.34703885326291967,0.08638249717087891,0.0017351942663145982,0.0016597510373443983,7.544322897019993e-05
SLC36A4,0.3277253866465485,0.055677102980007546,0.0007544322897019992,0.0007544322897019992,0.0
CKS1B,0.25650697849867976,0.023161071293851376,0.0003772161448509996,0.0003772161448509996,0.0
SLC36A1,0.2596755941154281,0.03907959260656356,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
ARTN,0.2976989815164089,0.04337985665786496,0.0003772161448509996,0.0003772161448509996,0.0
ART1,0.08683515654470012,0.0014334213504337986,7.544322897019993e-05,7.544322897019993e-05,0.0
ART4,0.3136175028291211,0.056431535269709544,0.0015088645794039985,0.0014334213504337986,7.544322897019993e-05
CADPS2,0.2187853640135798,0.008147868728781591,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
RLF,0.35081101471142967,0.12666918144096567,0.004602036967182196,0.004602036967182196,0.0
CRTAP,0.37253866465484725,0.22444360618634476,0.02172764994341758,0.02172764994341758,0.0
ADPGK,0.3686156167483968,0.2167483968313844,0.020445115050924178,0.02036967182195398,7.544322897019993e-05
CPEB4,0.34756695586571107,0.1026782346284421,0.0013579781214635986,0.0012825348924933987,7.544322897019993e-05
CPEB1,0.37208600528102603,0.23161071293851376,0.02285929837797058,0.022783855149000377,7.544322897019993e-05
CPEB3,0.36582421727649944,0.15903432666918144,0.009053187476423991,0.009053187476423991,0.0
CPEB2,0.3006412674462467,0.03047906450396077,0.00045265937382119953,0.00045265937382119953,0.0
SRBD1,0.2902301018483591,0.036212749905695965,0.001056205205582799,0.001056205205582799,0.0
ABAT,0.36627687665032066,0.15149000377216146,0.003847604677480196,0.003847604677480196,0.0
PHOX2A,0.22806488117691437,0.014485099962278385,0.0012825348924933987,0.0012825348924933987,0.0
PHOX2B,0.16937004903809882,0.00943040362127499,0.00045265937382119953,0.00045265937382119953,0.0
UPK2,0.2137306676725764,0.012749905695963787,7.544322897019993e-05,0.0,7.544322897019993e-05
CFH,0.31052433044134287,0.05016974726518295,0.001961523953225198,0.001961523953225198,0.0
CFI,0.3399471897397209,0.07212372689551112,0.0024141833270463976,0.0023387400980761975,7.544322897019993e-05
ANKFY1,0.34387023764617125,0.10569596378725009,0.001886080724254998,0.0018106374952847981,7.544322897019993e-05
CFB,0.31512636740852507,0.05499811391927575,0.0013579781214635986,0.0012825348924933987,7.544322897019993e-05
CFP,0.2918898528857035,0.046171256129762354,0.003923047906450396,0.003847604677480196,7.544322897019993e-05
AAAS,0.3578272350056582,0.11407016220294229,0.0053564692568841945,0.005281026027913994,7.544322897019993e-05
SIDT1,0.36258015843078084,0.14062617880045267,0.006035458317615994,0.006035458317615994,0.0
SIDT2,0.2854771784232365,0.03704262542436816,0.00045265937382119953,0.0003772161448509996,7.544322897019993e-05
AAGAB,0.36333459072048285,0.14462466993587325,0.004602036967182196,0.004526593738211996,7.544322897019993e-05
C4orf17,0.2712938513768389,0.021953979630328177,0.003244058845718597,0.003244058845718597,0.0
SCYL1,0.3198792908336477,0.04737834779328555,0.001056205205582799,0.000980761976612599,7.544322897019993e-05
ABCE1,0.34032440588457186,0.0938513768389287,0.006488117691437194,0.006488117691437194,0.0
TEN1-CDK3,0.3659751037344398,0.17389664277631084,0.0077706525839305925,0.0077706525839305925,0.0
ZNF117,0.2764239909468125,0.02889475669558657,0.00015088645794039985,0.00015088645794039985,0.0
ZNF114,0.26827612221803093,0.029045643153526972,0.00022632968691059977,0.00022632968691059977,0.0
SEZ6L,0.31376838928706147,0.04888721237268955,0.003017729158807997,0.003017729158807997,0.0
PRKAR2A,0.34341757827235003,0.0927197284043757,0.004149377593360996,0.004073934364390796,7.544322897019993e-05
PRKAR2B,0.3274236137306677,0.05326291965296115,0.000980761976612599,0.000980761976612599,0.0
MAGT1,0.3152018106374953,0.042549981139192755,0.001886080724254998,0.0018106374952847981,7.544322897019993e-05
ITGA2B,0.35745001886080724,0.11693700490380989,0.0027913994718973974,0.0027913994718973974,0.0
PHACTR1,0.2876650320633723,0.023387400980761978,0.00045265937382119953,0.00045265937382119953,0.0
OR2K2,0.003772161448509996,0.00015088645794039985,7.544322897019993e-05,0.0,7.544322897019993e-05
PHACTR3,0.22014334213504338,0.013127121840814786,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
CASP5,0.34892493398717467,0.1011693700490381,0.011241041116559788,0.011241041116559788,0.0
NR1D1,0.08472274613353452,0.0006789890607317993,0.0,0.0,0.0
NR1D2,0.2906827612221803,0.033949453036589965,7.544322897019993e-05,7.544322897019993e-05,0.0
OGFR,0.3518672199170125,0.11173142210486608,0.0036212749905695962,0.0036212749905695962,0.0
PTCH2,0.37012448132780085,0.20663900414937758,0.016974726518294982,0.016974726518294982,0.0
PTCH1,0.34764239909468125,0.0974726518294983,0.002263296869105998,0.002263296869105998,0.0
TIMM44,0.2789136175028291,0.02829121086382497,0.000980761976612599,0.000980761976612599,0.0
RAD9B,0.2688796680497925,0.03274236137306677,0.0,0.0,0.0
RAD9A,0.37072802715956243,0.21757827235005658,0.014560543191248585,0.014560543191248585,0.0
ERGIC2,0.25137683892870616,0.02014334213504338,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
ERGIC3,0.34613353451527723,0.0951339117314221,0.0021878536401357977,0.0021878536401357977,0.0
ERGIC1,0.34568087514145607,0.08147868728781592,0.0024896265560165973,0.0024141833270463976,7.544322897019993e-05
B3GAT3,0.35420596001508864,0.0925688419464353,0.0016597510373443983,0.0016597510373443983,0.0
B3GAT2,0.1087136929460581,0.002866842700867597,7.544322897019993e-05,0.0,7.544322897019993e-05
B3GAT1,0.34341757827235003,0.06850245190494153,0.000980761976612599,0.000980761976612599,0.0
CALM2,0.3575254620897774,0.1093926820067899,0.0024141833270463976,0.0023387400980761975,7.544322897019993e-05
CALM3,0.34764239909468125,0.07913994718973973,0.0015088645794039985,0.0014334213504337986,7.544322897019993e-05
SPG21,1.0,1.0,1.0,0.0,1.0
SPG20,0.37201056205205585,0.22293474160694077,0.016295737457563183,0.016295737457563183,0.0
GSDMB,0.34666163711806863,0.10878913617502829,0.0024141833270463976,0.0024141833270463976,0.0
GSDMC,0.3172387778196907,0.051829498302527345,0.0006789890607317993,0.0006789890607317993,0.0
GSDMD,0.36846473029045645,0.1885326291965296,0.013655224443606187,0.013579781214635987,7.544322897019993e-05
UPK1A,0.0,0.0,0.0,0.0,0.0
UPK1B,0.2142587702753678,0.02074688796680498,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
DLGAP2,0.34138061109015466,0.07069030554507733,0.0008298755186721991,0.0007544322897019992,7.544322897019993e-05
DLGAP3,0.35601659751037346,0.1046397585816673,0.002263296869105998,0.002263296869105998,0.0
DLGAP1,0.33164843455299886,0.06714447378347793,0.0009053187476423991,0.0009053187476423991,0.0
DLGAP4,0.32538664654847227,0.055450773293096944,0.0005281026027913995,0.0005281026027913995,0.0
DLGAP5,0.3615993964541682,0.15428140324405884,0.011693700490380989,0.011618257261410789,7.544322897019993e-05
OIP5,0.33738211995473405,0.07310448887212373,0.005431912485854395,0.005431912485854395,0.0
FAM169A,0.36612599019238024,0.15277253866465484,0.004602036967182196,0.004526593738211996,7.544322897019993e-05
PTPN18,0.3673330818559034,0.18370426254243682,0.013806110901546586,0.013730667672576385,7.544322897019993e-05
LRRFIP2,0.2908336476801207,0.031912485854394566,0.0007544322897019992,0.0007544322897019992,0.0
PTPN13,0.36846473029045645,0.17676348547717843,0.00950584685024519,0.00950584685024519,0.0
PTPN12,0.3699735948698604,0.19321010939268202,0.013730667672576385,0.013655224443606187,7.544322897019993e-05
PTPN11,0.36793662768766505,0.2084496416446624,0.012900792153904187,0.012900792153904187,0.0
