gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less7,hsapiens_stress_down_Fraction_sp_less6,hsapiens_stress_down_Fraction_sp_less5,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
TCOF1,0.31920019272464467,0.24042399421826066,0.09744639845820284,0.012286196097325945,0.0007227174174897615,0.0,0.0,0.0
NSRP1,0.33196820043363046,0.2857142857142857,0.17598169115875692,0.05046976632136835,0.0021681522524692846,0.00036135870874488076,0.00036135870874488076,0.0
SPPL3,0.2814984341122621,0.16008190797398217,0.03577451216574319,0.0013249819320645627,0.00012045290291496025,0.00012045290291496025,0.0,0.00012045290291496025
OPA3,0.3312454830161407,0.2911346663454589,0.15321609250782944,0.03541315345699832,0.003252228378703927,0.00012045290291496025,0.0,0.00012045290291496025
OPA1,0.318236569501325,0.24102625873283545,0.07624668754516983,0.010358949650686582,0.000963623223319682,0.0,0.0,0.0
ITGA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA9,0.33136593591905567,0.2933028185979282,0.17429535051794748,0.07251264755480608,0.017947482534329078,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
ITGA1,0.336304504938569,0.3128161888701518,0.2269332690917851,0.09841002168152252,0.030233678631655023,0.0021681522524692846,0.0020476993495543243,0.00012045290291496025
ITGA2,0.3348590701035895,0.2917369308600337,0.178752107925801,0.061069621777884844,0.009756685136111781,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
ITGA3,0.19645868465430016,0.06492411467116357,0.010599855456516502,0.0007227174174897615,0.00036135870874488076,0.0002409058058299205,0.0002409058058299205,0.0
ITGA4,0.3410021681522525,0.32534329077330765,0.2607805348108889,0.12165743194410986,0.04613346181642978,0.014936159961455071,0.014815707058540111,0.00012045290291496025
ITGA5,0.3436521320163816,0.32678872560828714,0.2708985786557456,0.136352686099735,0.03288364249578415,0.0021681522524692846,0.0021681522524692846,0.0
ITGA6,0.2904119489279692,0.16682727053721993,0.05733558178752108,0.007829438689472416,0.00036135870874488076,0.00012045290291496025,0.00012045290291496025,0.0
ITGA7,0.3436521320163816,0.33112503011322575,0.28282341604432665,0.172729462780053,0.05866056371958564,0.004456757407853529,0.004336304504938569,0.00012045290291496025
TRHR,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
UFSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFSP2,0.3310045772103108,0.27920982895687785,0.14839797639123103,0.020476993495543244,0.0007227174174897615,0.0,0.0,0.0
CHST8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHST3,0.3382317513852084,0.3128161888701518,0.21705613105275837,0.08238978559383281,0.013129366417730668,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
CHST2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHST5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHST4,0.2976391231028668,0.175740785352927,0.022765598650927487,0.0026499638641291254,0.0007227174174897615,0.00012045290291496025,0.00012045290291496025,0.0
CHST7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHST6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ITGAX,0.3366658636473139,0.3066730908214888,0.20898578655745603,0.07733076367140448,0.032522283787039266,0.006504456757407854,0.006504456757407854,0.0
BCL2A1,0.3372681281618887,0.3072753553360636,0.20681763430498676,0.08070344495302337,0.03396771862201879,0.005179474825343291,0.00505902192242833,0.00012045290291496025
ITGAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAL,0.34052035654059265,0.3232955914237533,0.25198747289809686,0.11322572874006263,0.045531197301854974,0.015056612864370031,0.014936159961455071,0.00012045290291496025
ITGAM,0.3382317513852084,0.3111298482293423,0.22500602264514574,0.08431703204047218,0.03444953023367863,0.009033967718622018,0.008913514815707058,0.00012045290291496025
ITGAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF2R,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SLC36A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKS1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC36A1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ARTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART1,0.011081667068176343,0.006143098048662973,0.00457721031076849,0.002409058058299205,0.0002409058058299205,0.00012045290291496025,0.0,0.00012045290291496025
ART4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADPS2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
RLF,0.32678872560828714,0.27752348831606843,0.12960732353649723,0.027704167670440857,0.0020476993495543243,0.00012045290291496025,0.00012045290291496025,0.0
