gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less7,hsapiens_stress_up_Fraction_sp_less6,hsapiens_stress_up_Fraction_sp_less5,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
TCOF1,0.26102144061671884,0.20561310527583715,0.10551674295350517,0.026017827029631416,0.0027704167670440857,0.00012045290291496025,0.0,0.00012045290291496025
NSRP1,0.26981450252951095,0.23693086003372682,0.14743435316791134,0.044206215369790414,0.002409058058299205,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
SPPL3,0.23379908455793785,0.139364008672609,0.04047217537942664,0.002890869669959046,0.00012045290291496025,0.00012045290291496025,0.0,0.00012045290291496025
OPA3,0.2684895205974464,0.2403035413153457,0.12984822934232715,0.030474584437484943,0.004456757407853529,0.00012045290291496025,0.0,0.00012045290291496025
OPA1,0.25837147675258976,0.2045290291496025,0.07094675981691159,0.010358949650686582,0.0007227174174897615,0.0,0.0,0.0
ITGA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA9,0.26752589737412674,0.23283546133461816,0.12731871838111297,0.056733317272946275,0.01457480125271019,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
ITGA1,0.27198265478198025,0.2521079258010118,0.17501806793543725,0.07347627077812575,0.02397012768007709,0.0016863406408094434,0.0015658877378944833,0.00012045290291496025
ITGA2,0.26981450252951095,0.22849915682967958,0.12948687063358227,0.0399903637677668,0.006384003854492893,0.0002409058058299205,0.0002409058058299205,0.0
ITGA3,0.15442062153697905,0.053601541797157315,0.00963623223319682,0.00036135870874488076,0.00012045290291496025,0.00012045290291496025,0.00012045290291496025,0.0
ITGA4,0.2742712599373645,0.26066008190797396,0.2036858588291978,0.09660322813779812,0.03866538183570224,0.012527101903155867,0.012406649000240905,0.00012045290291496025
ITGA5,0.27692122380149364,0.2639123102866779,0.2097085039749458,0.10226451457480125,0.026860997350036137,0.0018067935437244037,0.0016863406408094434,0.00012045290291496025
ITGA6,0.22837870392676463,0.12370513129366417,0.039388099253192005,0.006986268369067694,0.000481811611659841,0.00012045290291496025,0.00012045290291496025,0.0
ITGA7,0.27776439412189835,0.2669236328595519,0.22187424716935678,0.12551192483738857,0.04179715731149121,0.0027704167670440857,0.0026499638641291254,0.00012045290291496025
TRHR,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
UFSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFSP2,0.2669236328595519,0.22596964586846544,0.1145507106721272,0.013249819320645628,0.0002409058058299205,0.0,0.0,0.0
CHST8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST3,0.27306673090821487,0.2509033967718622,0.16742953505179475,0.061069621777884844,0.00963623223319682,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
CHST2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST4,0.24162852324741027,0.13442543965309564,0.017465670922669235,0.001927246446639364,0.00012045290291496025,0.0,0.0,0.0
CHST7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ITGAX,0.2706576728499157,0.2409058058299205,0.15803420862442785,0.06131052758371477,0.02842688508793062,0.004336304504938569,0.004336304504938569,0.0
BCL2A1,0.2715008431703204,0.24102625873283545,0.15345699831365936,0.06299686822452422,0.029631414117080222,0.003372681281618887,0.003372681281618887,0.0
ITGAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAL,0.2740303541315346,0.25981691158756925,0.19477234401349072,0.08660563719585641,0.03709949409780776,0.012768007708985786,0.012647554806070826,0.00012045290291496025
ITGAM,0.2712599373644905,0.24162852324741027,0.16827270537219946,0.06528547337990846,0.02927005540833534,0.006986268369067694,0.006986268369067694,0.0
ITGAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF2R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC36A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKS1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC36A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART1,0.008793061912792098,0.005299927728258251,0.0042158516020236085,0.0018067935437244037,0.00012045290291496025,0.00012045290291496025,0.0,0.00012045290291496025
ART4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADPS2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
RLF,0.26620091544206215,0.23102866779089376,0.12213924355576969,0.03541315345699832,0.005299927728258251,0.00036135870874488076,0.00036135870874488076,0.0
CRTAP,0.27752348831606843,0.2694531438207661,0.23897855938328114,0.13791857383762948,0.049385690195133704,0.00927487352445194,0.00915442062153698,0.00012045290291496025
ADPGK,0.27535533606359913,0.2642736689954228,0.22127198265478198,0.11262346422548783,0.03673813538906288,0.002288605155384245,0.002288605155384245,0.0
CPEB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPEB1,0.2796916405685377,0.2706576728499157,0.24174897615032523,0.14827752348831608,0.04348349795230065,0.006263550951577933,0.006143098048662973,0.00012045290291496025
CPEB3,0.2745121657431944,0.24981932064562756,0.1718862924596483,0.07769212238014936,0.01589978318477475,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
CPEB2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SRBD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,0.25897374126716455,0.19308600337268128,0.07106721271982655,0.005299927728258251,0.0002409058058299205,0.0,0.0,0.0
PHOX2A,0.09407371717658396,0.02517465670922669,0.006143098048662973,0.0012045290291496024,0.0002409058058299205,0.0002409058058299205,0.0002409058058299205,0.0
PHOX2B,0.09407371717658396,0.02517465670922669,0.006143098048662973,0.0012045290291496024,0.0002409058058299205,0.0002409058058299205,0.0002409058058299205,0.0
UPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.2580101180438449,0.1917610214406167,0.08299205010840761,0.033004095398699106,0.00481811611659841,0.0002409058058299205,0.0002409058058299205,0.0
CFI,0.13502770416767043,0.04769934955432426,0.00915442062153698,0.0006022645145748012,0.0002409058058299205,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
ANKFY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFP,0.2563237774030354,0.19284509756685136,0.08564201397253673,0.037340399903637675,0.01421344254396531,0.0,0.0,0.0
AAAS,0.2687304264032763,0.2382558419657914,0.13587087448807517,0.04986750180679354,0.008672609009877139,0.00036135870874488076,0.00036135870874488076,0.0
SIDT1,0.2751144302577692,0.25379426644182124,0.17405444471211756,0.07395808238978559,0.020597446398458202,0.0012045290291496024,0.0010840761262346423,0.00012045290291496025
SIDT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAGAB,0.2682486147916165,0.23584678390749217,0.1261141893519634,0.025536015417971573,0.001927246446639364,0.00012045290291496025,0.00012045290291496025,0.0
C4orf17,0.18826788725608287,0.07251264755480608,0.01770657672849916,0.007588532883642495,0.0042158516020236085,0.003252228378703927,0.003252228378703927,0.0
SCYL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCE1,0.2642736689954228,0.22717417489761504,0.1057576487593351,0.02384967477716213,0.006143098048662973,0.002288605155384245,0.002288605155384245,0.0
TEN1-CDK3,0.27366899542278966,0.25656468320886533,0.19742230787761986,0.0845579378463021,0.012768007708985786,0.0006022645145748012,0.0006022645145748012,0.0
ZNF117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF114,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SEZ6L,0.22175379426644182,0.10840761262346423,0.026258732835461335,0.00505902192242833,0.0016863406408094434,0.0002409058058299205,0.0002409058058299205,0.0
PRKAR2A,0.2357263310045772,0.13081185256564684,0.026620091544206217,0.00505902192242833,0.0006022645145748012,0.0,0.0,0.0
PRKAR2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGT1,0.25042158516020235,0.1729703685858829,0.053240183088412434,0.003974945796193688,0.000481811611659841,0.00012045290291496025,0.00012045290291496025,0.0
ITGA2B,0.25788966514092987,0.20766080462539147,0.0911828475066249,0.017827029631414117,0.001445434834979523,0.0,0.0,0.0
PHACTR1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
OR2K2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHACTR3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CASP5,0.2643941218983378,0.2148879788002891,0.11370754035172248,0.04902433148638882,0.021561069621777885,0.0006022645145748012,0.000481811611659841,0.00012045290291496025
NR1D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR1D2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OGFR,0.2566851361117803,0.20898578655745603,0.1069621777884847,0.020717899301373164,0.001445434834979523,0.00012045290291496025,0.0,0.00012045290291496025
PTCH2,0.2772825825102385,0.2669236328595519,0.22898096844133944,0.1191279209828957,0.03673813538906288,0.002409058058299205,0.002409058058299205,0.0
PTCH1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
TIMM44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAD9B,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
RAD9A,0.27643941218983376,0.26559865092748736,0.23247410262587329,0.12780052999277283,0.03432907733076367,0.0018067935437244037,0.0018067935437244037,0.0
ERGIC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERGIC3,0.22849915682967958,0.12225969645868466,0.022765598650927487,0.0012045290291496024,0.00012045290291496025,0.00012045290291496025,0.0,0.00012045290291496025
ERGIC1,0.1718862924596483,0.05396290050590219,0.003493134184533847,0.00036135870874488076,0.00012045290291496025,0.0,0.0,0.0
B3GAT3,0.26343049867501805,0.2175379426644182,0.10370994940978077,0.024692845097566852,0.0002409058058299205,0.0,0.0,0.0
B3GAT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3GAT1,0.10105998554565165,0.03143820766080462,0.0027704167670440857,0.000481811611659841,0.00012045290291496025,0.0,0.0,0.0
CALM2,0.2708985786557456,0.23777403035413153,0.1421344254396531,0.04011081667068176,0.004336304504938569,0.0,0.0,0.0
CALM3,0.18634064080944351,0.0763671404480848,0.0074680799807275355,0.00012045290291496025,0.0,0.0,0.0,0.0
SPG21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPG20,0.2793302818597928,0.2706576728499157,0.23693086003372682,0.14309804866297277,0.04264032763189593,0.0026499638641291254,0.0026499638641291254,0.0
GSDMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSDMC,0.1729703685858829,0.07528306432185015,0.021320163815947965,0.0012045290291496024,0.0,0.0,0.0,0.0
GSDMD,0.2729462780052999,0.25234883160684174,0.17465670922669235,0.061430980486629726,0.022163334136352686,0.0013249819320645627,0.0013249819320645627,0.0
UPK1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPK1B,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
DLGAP2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
DLGAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLGAP1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
DLGAP4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
DLGAP5,0.2735485425198747,0.2554806070826307,0.18887015177065766,0.07492170561310528,0.022404239942182606,0.003493134184533847,0.003493134184533847,0.0
OIP5,0.2663213683449771,0.22199470007227173,0.10407130811852566,0.026138279932546374,0.0042158516020236085,0.0006022645145748012,0.0006022645145748012,0.0
FAM169A,0.2654781980245724,0.21585160202360876,0.0905805829920501,0.022524692845097567,0.002409058058299205,0.00012045290291496025,0.0,0.00012045290291496025
PTPN18,0.27282582510238496,0.25740785352927004,0.18296795952782463,0.07395808238978559,0.026258732835461335,0.0015658877378944833,0.001445434834979523,0.00012045290291496025
LRRFIP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPN13,0.27668031799566367,0.26198506384003856,0.19645868465430016,0.11045531197301856,0.021079258010118045,0.00036135870874488076,0.00036135870874488076,0.0
PTPN12,0.27643941218983376,0.2615032522283787,0.21043122139243556,0.10792580101180438,0.02517465670922669,0.0016863406408094434,0.0015658877378944833,0.00012045290291496025
PTPN11,0.27668031799566367,0.2652372922187425,0.22681281618887014,0.12804143579860275,0.021561069621777885,0.0008431703204047217,0.0007227174174897615,0.00012045290291496025
