gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less7,mmusculus_stress_up_Fraction_sp_less6,mmusculus_stress_up_Fraction_sp_less5,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
TCOF1,0.3069139966273187,0.2541556251505661,0.13707540351722478,0.03336545410744399,0.005179474825343291,0.00012045290291496025,0.0,0.00012045290291496025
NSRP1,0.3149843411226211,0.2804143579860275,0.17923391953746085,0.061069621777884844,0.00505902192242833,0.000481811611659841,0.000481811611659841,0.0
SPPL3,0.27077812575283067,0.1539388099253192,0.05251746567092267,0.00469766321368345,0.0002409058058299205,0.0,0.0,0.0
OPA3,0.3149843411226211,0.2839074921705613,0.16682727053721993,0.050590219224283306,0.0099975909419417,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
OPA1,0.3058299205010841,0.2403035413153457,0.0933509997590942,0.021320163815947965,0.0026499638641291254,0.00012045290291496025,0.00012045290291496025,0.0
ITGA8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ITGA9,0.31173211274391716,0.26234642254878343,0.14550710672127198,0.06673090821488797,0.020838352204288122,0.0006022645145748012,0.0006022645145748012,0.0
ITGA1,0.3163093230546856,0.2898096844133944,0.19706094916887498,0.08552156106962178,0.03228137798120935,0.0021681522524692846,0.0020476993495543243,0.00012045290291496025
ITGA2,0.3069139966273187,0.2496988677427126,0.13827993254637436,0.03794266441821248,0.003493134184533847,0.0,0.0,0.0
ITGA3,0.17622259696458684,0.061430980486629726,0.012286196097325945,0.000481811611659841,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
ITGA4,0.3184774753071549,0.3051072030835943,0.236328595519152,0.10551674295350517,0.02902914960250542,0.006745362563237774,0.006624909660322814,0.00012045290291496025
ITGA5,0.3185979282100699,0.3054685617923392,0.23464225487834256,0.1139484461575524,0.03661768248614792,0.003493134184533847,0.003372681281618887,0.00012045290291496025
ITGA6,0.2539147193447362,0.1269573596723681,0.03854492893278728,0.003974945796193688,0.00036135870874488076,0.00012045290291496025,0.0,0.00012045290291496025
ITGA7,0.3200433630450494,0.309082148879788,0.251505661286437,0.1339436280414358,0.050108407612623466,0.004095398699108649,0.003974945796193688,0.00012045290291496025
TRHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFSP1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
UFSP2,0.31125030113225727,0.2615032522283787,0.12551192483738857,0.0193929173693086,0.0013249819320645627,0.0,0.0,0.0
CHST8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHST3,0.3163093230546856,0.28378703926764637,0.18706335822693326,0.07504215851602024,0.013490725126475547,0.00036135870874488076,0.00036135870874488076,0.0
CHST2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHST5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST4,0.27896892315104793,0.15960009636232234,0.028547337990845578,0.0074680799807275355,0.0013249819320645627,0.0,0.0,0.0
CHST7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CHST6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAX,0.31317754757889665,0.27415080703444955,0.17068176343049868,0.05348108889424235,0.01830884124307396,0.0042158516020236085,0.0042158516020236085,0.0
BCL2A1,0.31462298241387615,0.2763189592869188,0.16887496988677428,0.057576487593351,0.018670199951818837,0.0042158516020236085,0.004095398699108649,0.00012045290291496025
ITGAV,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ITGAL,0.3178752107925801,0.30101180438448566,0.22187424716935678,0.08961695976873042,0.025897374126716454,0.005420380631173212,0.005299927728258251,0.00012045290291496025
ITGAM,0.3145025295109612,0.2799325463743676,0.18104071308118524,0.05986509274873524,0.020356540592628283,0.008070344495302337,0.008070344495302337,0.0
ITGAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF2R,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SLC36A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKS1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC36A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ART1,0.0026499638641291254,0.0007227174174897615,0.0006022645145748012,0.00036135870874488076,0.0,0.0,0.0,0.0
ART4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADPS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLF,0.31197301854974707,0.27499397735485426,0.15779330281859794,0.04769934955432426,0.007588532883642495,0.000481811611659841,0.000481811611659841,0.0
CRTAP,0.32040472175379425,0.31377981209347144,0.2737894483257047,0.1569501324981932,0.061069621777884844,0.013129366417730668,0.013129366417730668,0.0
ADPGK,0.3188388340158998,0.30799807275355334,0.25295109612141653,0.12852324741026258,0.03264273668995423,0.0018067935437244037,0.0018067935437244037,0.0
CPEB4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CPEB1,0.32016381594796434,0.31233437725849195,0.2740303541315346,0.15562515056612863,0.042038063117321126,0.00505902192242833,0.00505902192242833,0.0
CPEB3,0.31739339918092024,0.2859551915201156,0.18477475307154903,0.07733076367140448,0.01891110575764876,0.0006022645145748012,0.0006022645145748012,0.0
CPEB2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SRBD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,0.29462780052999277,0.20464948205251746,0.07721031076848953,0.006384003854492893,0.0006022645145748012,0.0,0.0,0.0
PHOX2A,0.08022163334136352,0.011202119971091303,0.002409058058299205,0.0007227174174897615,0.0,0.0,0.0,0.0
PHOX2B,0.08022163334136352,0.011202119971091303,0.002409058058299205,0.0007227174174897615,0.0,0.0,0.0,0.0
UPK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.29655504697663215,0.21464707299445918,0.099975909419417,0.041194892796916405,0.007588532883642495,0.00036135870874488076,0.00036135870874488076,0.0
CFI,0.1627318718381113,0.05745603469043604,0.012045290291496025,0.000481811611659841,0.00012045290291496025,0.00012045290291496025,0.00012045290291496025,0.0
ANKFY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFP,0.2981209347145266,0.2127198265478198,0.08901469525415563,0.026860997350036137,0.010358949650686582,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
AAAS,0.31377981209347144,0.2729462780052999,0.1457480125271019,0.04143579860274633,0.006022645145748013,0.00012045290291496025,0.00012045290291496025,0.0
SIDT1,0.3164297759576006,0.29017104312213926,0.1903155866056372,0.07142857142857142,0.012165743194410985,0.000481811611659841,0.000481811611659841,0.0
