gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less7,sscrofa_wound_up_Fraction_sp_less6,sscrofa_wound_up_Fraction_sp_less5,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
TCOF1,0.35413153456998314,0.28005299927728255,0.12984822934232715,0.03432907733076367,0.004336304504938569,0.00012045290291496025,0.00012045290291496025,0.0
NSRP1,0.36798361840520355,0.3169115875692604,0.18983377499397736,0.05336063599132739,0.0030113225728740063,0.00036135870874488076,0.00036135870874488076,0.0
SPPL3,0.31209347145266203,0.1745362563237774,0.04794025536015418,0.0027704167670440857,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
OPA3,0.3668995422789689,0.324138761744158,0.17983618405203566,0.05384244760298723,0.013370272223560587,0.0002409058058299205,0.0002409058058299205,0.0
OPA1,0.3531679113466635,0.27342808961695975,0.11117802939050832,0.029872319922910142,0.00505902192242833,0.0,0.0,0.0
ITGA8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ITGA9,0.36497229583232954,0.3096844133943628,0.15767284991568298,0.059262828234160445,0.01457480125271019,0.0002409058058299205,0.0002409058058299205,0.0
ITGA1,0.3705131293664177,0.33859311009395326,0.22235605878101664,0.07973982172970369,0.026860997350036137,0.0013249819320645627,0.0013249819320645627,0.0
ITGA2,0.36569501324981935,0.2945073476270778,0.15779330281859794,0.04408576246687545,0.005661286437003131,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
ITGA3,0.19380872079017103,0.054926523729221875,0.008190797398217297,0.0006022645145748012,0.00012045290291496025,0.0,0.0,0.0
ITGA4,0.37653577451216574,0.35931100939532645,0.2763189592869188,0.12599373644904843,0.04300168634064081,0.011804384485666104,0.011683931582751144,0.00012045290291496025
ITGA5,0.3790652854733799,0.3570224042399422,0.2772825825102385,0.12418694290532402,0.030113225728740062,0.0021681522524692846,0.0020476993495543243,0.00012045290291496025
ITGA6,0.2961936882678873,0.14418212478920742,0.04107443989400145,0.005420380631173212,0.000481811611659841,0.00012045290291496025,0.00012045290291496025,0.0
ITGA7,0.3794266441821248,0.3630450493856902,0.29318236569501327,0.1521320163815948,0.04914478438930378,0.0030113225728740063,0.0030113225728740063,0.0
TRHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFSP2,0.36714044808479884,0.3017345218019754,0.14887978800289087,0.021320163815947965,0.0018067935437244037,0.0002409058058299205,0.0002409058058299205,0.0
CHST8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
