gene_xlaevis_wound_down,xlaevis_wound_down_Fraction_sp_less7,xlaevis_wound_down_Fraction_sp_less6,xlaevis_wound_down_Fraction_sp_less5,xlaevis_wound_down_Fraction_sp_less4,xlaevis_wound_down_Fraction_sp_less3,xlaevis_wound_down_Fraction_sp_less2,xlaevis_wound_down_Fraction_sp_1,xlaevis_wound_down_Fraction_sp_0
TCOF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSRP1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SPPL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPA1,0.05983450031826862,0.030341608317419902,0.02143008699342245,0.014215998302567368,0.0019096117122851686,0.0,0.0,0.0
ITGA8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ITGA9,0.05962232123912582,0.03988966687884574,0.026098026734563972,0.005941014215998302,0.0002121790791427965,0.0,0.0,0.0
ITGA1,0.08762995968597496,0.05962232123912582,0.03988966687884574,0.026098026734563972,0.005941014215998302,0.0002121790791427965,0.0002121790791427965,0.0
ITGA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA4,0.10906004667939741,0.06980691703798006,0.029705071079991513,0.013791640144281773,0.006577551453426692,0.002546148949713558,0.002546148949713558,0.0
ITGA5,0.08890303416083174,0.06259282834712497,0.04328453214513049,0.023339698705707616,0.0046679397411415234,0.0006365372374283895,0.0006365372374283895,0.0
ITGA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA7,0.11224273286653937,0.07977933375769149,0.05198387438998515,0.033099936346276254,0.0120942075111394,0.001697432633142372,0.0014852535539995756,0.0002121790791427965
TRHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFSP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFSP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHST6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAX,0.08359855718226183,0.04349671122427329,0.021642266072565246,0.008911521323997454,0.00488011882028432,0.0006365372374283895,0.0006365372374283895,0.0
BCL2A1,0.08508381073626141,0.043708890303416084,0.02249098238913643,0.00912370040314025,0.005092297899427116,0.0002121790791427965,0.0002121790791427965,0.0
ITGAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAL,0.11118183747082537,0.07553575217483556,0.03607044345427541,0.016125610014852534,0.00551665605771271,0.002758328028856355,0.002758328028856355,0.0
ITGAM,0.09441969021854445,0.049862083598557184,0.022278803309993635,0.009335879482283047,0.005728835136855506,0.0021217907914279654,0.0021217907914279654,0.0
ITGAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF2R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC36A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKS1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC36A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART1,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0
ART4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADPS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLF,0.02673456397199236,0.006365372374283896,0.002758328028856355,0.0006365372374283895,0.0,0.0,0.0,0.0
CRTAP,0.10906004667939741,0.08975175047740293,0.06216847018883938,0.03500954805856143,0.020369191597708464,0.0038192234245703373,0.003607044345427541,0.0002121790791427965
