gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
TCOF1,0.03183877891724302,0.0014309563558311473,0.0,0.0,0.0
NSRP1,0.0,0.0,0.0,0.0,0.0
SPPL3,0.034581445265919386,0.002027188170760792,0.00011924636298592893,0.0,0.00011924636298592893
OPA3,0.022537562604340568,0.004292869067493442,0.00023849272597185786,0.00011924636298592893,0.00011924636298592893
OPA1,0.014071070832339614,0.0007154781779155736,0.0,0.0,0.0
ITGA8,0.05556880515144288,0.01108991175769139,0.0,0.0,0.0
ITGA9,0.0713093250655855,0.01669449081803005,0.0004769854519437157,0.0003577390889577868,0.00011924636298592893
ITGA1,0.08013355592654424,0.02110660624850942,0.0010732172668733604,0.0009539709038874314,0.00011924636298592893
ITGA2,0.059980920581922254,0.00894347722394467,0.0003577390889577868,0.00023849272597185786,0.00011924636298592893
ITGA3,0.0008347245409015025,0.0003577390889577868,0.00023849272597185786,0.00023849272597185786,0.0
ITGA4,0.12556642022418316,0.048652516098259005,0.015859766277128547,0.015740519914142617,0.00011924636298592893
ITGA5,0.11709992845218221,0.027426663486763654,0.0017886954447889339,0.0017886954447889339,0.0
ITGA6,0.007870259957071309,0.0007154781779155736,0.00011924636298592893,0.00011924636298592893,0.0
ITGA7,0.17457667541139996,0.056284283329358455,0.004173622704507512,0.004054376341521584,0.00011924636298592893
TRHR,1.0,1.0,1.0,0.0,1.0
UFSP1,0.0,0.0,0.0,0.0,0.0
UFSP2,0.012997853565466254,0.0005962318149296446,0.00011924636298592893,0.00011924636298592893,0.0
CHST8,0.0,0.0,0.0,0.0,0.0
CHST1,1.0,1.0,1.0,0.0,1.0
CHST3,0.07786787502981159,0.006081564512282376,0.00023849272597185786,0.00011924636298592893,0.00011924636298592893
CHST2,1.0,1.0,1.0,0.0,1.0
CHST5,1.0,1.0,1.0,0.0,1.0
CHST4,0.003458144526591939,0.0008347245409015025,0.00011924636298592893,0.00011924636298592893,0.0
CHST7,1.0,1.0,1.0,0.0,1.0
CHST6,1.0,1.0,1.0,0.0,1.0
ITGAX,0.07774862866682566,0.03315048891008824,0.005843071786310518,0.005843071786310518,0.0
