degree,downregulated.regen_Fraction_sp_less2,downregulated.stress_Fraction_sp_less2,downregulated.wound_Fraction_sp_less2,msigdb.regen_Fraction_sp_less2,msigdb.stress_Fraction_sp_less2,msigdb.wound_Fraction_sp_less2,upregulated.regen_Fraction_sp_less2,upregulated.stress_Fraction_sp_less2,upregulated.wound_Fraction_sp_less2,label,gene_list
7,0.00511786600496278,0.00341191066997519,0.0059449958643507,0.0011373035566584,0.0118382961124897,0.00522125723738627,0.00610008271298594,0.00439412737799835,0.00610008271298594,0,ARF5
102,0.00703060380479735,0.00677212572373863,0.00837468982630273,0.00165425971877585,0.0151985111662531,0.00563482216708023,0.00754755996691481,0.00480769230769231,0.00837468982630273,0,CALM2
286,0.00206782464846981,0.00170595533498759,0.00201612903225806,0.000310173697270471,0.00470430107526882,0.00165425971877585,0.00253308519437552,0.0016025641025641,0.00186104218362283,0,ARHGEF9
1,0.00563482216708023,0.0059449958643507,0.00775434243176179,0.00242969396195203,0.0199028122415219,0.00475599669148056,0.00578990901571547,0.00558312655086849,0.00734077750206782,0,ERN1
202,0.0181968569065343,0.0109077750206782,0.0214536807278743,0.00537634408602151,0.0411497105045492,0.0146815550041356,0.0177832919768404,0.0132340777502068,0.0195926385442514,1,CDKN2A
5,0.0132340777502068,0.0114247311827957,0.0144747725392887,0.00320512820512821,0.0254342431761787,0.00832299421009098,0.0118899917287014,0.0086848635235732,0.0130789909015715,0,P4HB
16,0.0011373035566584,0.00139578163771712,0.00134408602150538,0.000155086848635236,0.00258478081058726,0.000723738626964433,0.0011373035566584,0.00206782464846981,0.00134408602150538,0,STX10
1,0.00387717121588089,0.00289495450785773,0.00496277915632754,0.0011373035566584,0.00909842845326716,0.00485938792390405,0.0037737799834574,0.00367038875103391,0.00485938792390405,0,GNB4
39,0.00558312655086849,0.00480769230769231,0.00635856079404467,0.00149917287014061,0.0112179487179487,0.00325682382133995,0.00646195202646816,0.00485938792390405,0.00661703887510339,0,KIF5C
43,0.00827129859387924,0.0139578163771712,0.0103908188585608,0.00206782464846981,0.0192307692307692,0.00387717121588089,0.0101840363937138,0.010752688172043,0.0103908188585608,0,GART
