degree,downregulated.regen_Fraction_sp_less2,downregulated.stress_Fraction_sp_less2,downregulated.wound_Fraction_sp_less2,msigdb.regen_Fraction_sp_less2,msigdb.stress_Fraction_sp_less2,msigdb.wound_Fraction_sp_less2,upregulated.regen_Fraction_sp_less2,upregulated.stress_Fraction_sp_less2,upregulated.wound_Fraction_sp_less2,label,gene_list
7,7.18907260963336e-05,7.18907260963336e-05,7.18907260963336e-05,7.18907260963336e-05,0.000287562904385334,0,7.18907260963336e-05,7.18907260963336e-05,0.000215672178289001,0,A1BG
102,0.000647016534867002,0.000647016534867002,0.000790797987059669,0.000143781452192667,0.000790797987059669,0.000503235082674335,0.000359453630481668,0.000359453630481668,0.000503235082674335,0,ANXA7
286,0.00194104960460101,0.00115025161754134,0.00201294033069734,0.00100647016534867,0.00661394680086269,0.001294033069734,0.00194104960460101,0.00208483105679367,0.00215672178289001,1,CDKN1A
1,0,7.18907260963336e-05,0,0,0,0,0,7.18907260963336e-05,7.18907260963336e-05,0,CRISP3
202,0.00136592379583034,0.000790797987059669,0.00158159597411934,0.000359453630481668,0.00201294033069734,0.000647016534867002,0.001078360891445,0.000647016534867002,0.001294033069734,0,TK1
5,0,7.18907260963336e-05,7.18907260963336e-05,0,7.18907260963336e-05,0,0,0,0,1,A1CF
16,0,0,0.000215672178289001,0,7.18907260963336e-05,0,0.000143781452192667,0,0,0,APOBEC1
1,0,7.18907260963336e-05,0,0,0,0,0,0,0,0,CELF2
39,0.000143781452192667,0.000287562904385334,0.000287562904385334,0,0.001078360891445,7.18907260963336e-05,0.000215672178289001,0.000359453630481668,0.000359453630481668,0,KHSRP
43,7.18907260963336e-05,0,0.000143781452192667,7.18907260963336e-05,0.000862688713156003,0.000287562904385334,0.000143781452192667,7.18907260963336e-05,7.18907260963336e-05,0,SYNCRIP
13,7.18907260963336e-05,7.18907260963336e-05,0.000143781452192667,0,0.000215672178289001,7.18907260963336e-05,7.18907260963336e-05,7.18907260963336e-05,0.000143781452192667,0,TNPO2
132,0.000718907260963336,0.000431344356578001,0.000718907260963336,7.18907260963336e-05,0.00222861250898634,0.000215672178289001,0.000934579439252336,0.000359453630481668,0.000790797987059669,0,ATXN1
21,7.18907260963336e-05,0,0.000359453630481668,7.18907260963336e-05,0.000287562904385334,0,0.000143781452192667,0,0.000287562904385334,0,ATXN2
12,0,0,7.18907260963336e-05,0,0.000143781452192667,0,0.000143781452192667,0,7.18907260963336e-05,0,DMRTB1
95,0.000143781452192667,7.18907260963336e-05,0.000359453630481668,0.000143781452192667,0.000934579439252336,0.000143781452192667,0.000431344356578001,0.000215672178289001,0.000359453630481668,0,HNRNPF
46,0.000215672178289001,0.000215672178289001,0.000215672178289001,0.000215672178289001,0.000647016534867002,0.000359453630481668,7.18907260963336e-05,0.000503235082674335,0.000431344356578001,0,HSFX1
18,7.18907260963336e-05,0,0,0,0.000143781452192667,7.18907260963336e-05,0,0,7.18907260963336e-05,0,LZTS2
200,0.00100647016534867,0.000647016534867002,0.000718907260963336,0.000431344356578001,0.00194104960460101,0.000790797987059669,0.000934579439252336,0.00100647016534867,0.00100647016534867,0,MAFF
299,0.00165348670021567,0.001078360891445,0.00100647016534867,0.000359453630481668,0.00330697340043134,0.00122214234363767,0.001078360891445,0.00158159597411934,0.00122214234363767,0,MAFK
50,0.000215672178289001,7.18907260963336e-05,7.18907260963336e-05,0,0.00215672178289001,0,0.000215672178289001,7.18907260963336e-05,0.000287562904385334,0,PSMF1
59,0.000215672178289001,0.000143781452192667,0.000143781452192667,7.18907260963336e-05,0.000575125808770669,0.000143781452192667,7.18907260963336e-05,0,0.000143781452192667,1,QKI
40,7.18907260963336e-05,0.000143781452192667,7.18907260963336e-05,0,0.000431344356578001,0,0,7.18907260963336e-05,7.18907260963336e-05,0,RHOXF2
85,0.001509705248023,0.000359453630481668,0.00194104960460101,0.000503235082674335,0.00208483105679367,0.00201294033069734,0.001078360891445,0.000503235082674335,0.00122214234363767,0,A2M
50,0.000431344356578001,0.000575125808770669,0.000287562904385334,7.18907260963336e-05,0.00100647016534867,0.000287562904385334,0.000287562904385334,0.000359453630481668,0.000359453630481668,0,ABCA1
10,0,0,7.18907260963336e-05,0,0.000215672178289001,0.000143781452192667,0,0,0,0,ADAM19
