degree,aandersoni_regen_down_Fraction_sp_less4,amaculatum_regen_down_Fraction_sp_less4,amexicanum_regen_down_Fraction_sp_less4,celegans_stress_down_Fraction_sp_less4,clupisFamiliaris_wound_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_wound_down_Fraction_sp_less4,drerio_regen_down_Fraction_sp_less4,ecoli_stress_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less4,rnorvegicus_wound_down_Fraction_sp_less4,sscrofa_wound_down_Fraction_sp_less4,xlaevis_wound_down_Fraction_sp_less4,xtropicalis_regen_down_Fraction_sp_less4,label,gene_list,degree,aandersoni_regen_down_Fraction_sp_less4,amaculatum_regen_down_Fraction_sp_less4,amexicanum_regen_down_Fraction_sp_less4,celegans_stress_down_Fraction_sp_less4,clupisFamiliaris_wound_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_wound_down_Fraction_sp_less4,drerio_regen_down_Fraction_sp_less4,ecoli_stress_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less4,rnorvegicus_wound_down_Fraction_sp_less4,sscrofa_wound_down_Fraction_sp_less4,xlaevis_wound_down_Fraction_sp_less4,xtropicalis_regen_down_Fraction_sp_less4,label,gene_list
28,0,0.000198846689202625,0.00517001391926824,0.00596540067607874,0.000596540067607874,0.00218731358122887,0,0.000795386756810499,0.00039769337840525,0.00835156094651024,0.0141181149333864,0.00676078743288924,0.00437462716245775,0.000198846689202625,1,CPEB3,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,CALM1
3,0.000198846689202625,0.000596540067607874,0.00676078743288924,0.0163054285146152,0.000198846689202625,0.00775502087890237,0,0.00039769337840525,0.000596540067607874,0.0232650626367071,0.00576655398687612,0.00715848081129449,0.00417578047325512,0.00139192682441837,1,SETDB1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SEMA4B
1,0.000795386756810499,0.00039769337840525,0.027043149731557,0.020680055677073,0.000994233446013124,0.00954464108172599,0.000198846689202625,0.00338039371644462,0.000795386756810499,0.0367866375024856,0.0322131636508252,0.0198846689202625,0.0182938954066415,0.00357924040564725,1,MYH9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,AMDHD2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,KCNJ5,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,VPS13D
15,0.00298270033803937,0.000994233446013124,0.0520978325710877,0.0552793795983297,0.001590773513621,0.0288327699343806,0.000198846689202625,0.00636309405448399,0.003181547027242,0.0862994631139392,0.0453370451381985,0.0347981706104593,0.0403658779081328,0.0121296480413601,1,PDGFRB,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,BAAT
74,0,0,0.004772320540863,0.00656194074368662,0.00039769337840525,0.00377808709484987,0,0.00039769337840525,0.00039769337840525,0.00636309405448399,0.00258500695963412,0.00497116723006562,0.00417578047325512,0.000795386756810499,1,QKI,52,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,BCO2
17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,PLAG1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ULBP2
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,EIF1AX,33,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,ZCCHC14
6,0.00298270033803937,0.000795386756810499,0.0455358918274011,0.0783455955458342,0.00357924040564725,0.0326108570292305,0,0.00497116723006562,0.004772320540863,0.103996818452973,0.0304235434480016,0.0344004772320541,0.0409624179757407,0.014316961622589,1,PSIP1,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,THNSL2
8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,FLCN,3,0.000596540067607874,0.00039769337840525,0.0169019685822231,0.0415589580433486,0.00338039371644462,0.019089282163452,0,0.00258500695963412,0.000596540067607874,0.0507059057466693,0.00974348777092861,0.0153111950686021,0.0135215748657785,0.00954464108172599,0,TTC25
