degree,downregulated.regen_Fraction_sp_less4,downregulated.stress_Fraction_sp_less4,downregulated.wound_Fraction_sp_less4,msigdb.regen_Fraction_sp_less4,msigdb.stress_Fraction_sp_less4,msigdb.wound_Fraction_sp_less4,upregulated.regen_Fraction_sp_less4,upregulated.stress_Fraction_sp_less4,upregulated.wound_Fraction_sp_less4,label
5,0,0,0,0,1,0,0,0,0,1
7,0.000994233446013124,0.001590773513621,0.001590773513621,0.000596540067607874,0.00815271425730762,0.000994233446013124,0.000994233446013124,0.00377808709484987,0.001590773513621,1
10,0,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,1
8,0.00676078743288924,0.00616424736528137,0.00457347385166037,0.001590773513621,0.00755617418969974,0.00298270033803937,0.00457347385166037,0.0039769337840525,0.00576655398687612,1
27,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0.5,1
6,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,1,0,0,0,1,1
9,0,0,0,0,0,0,0,0.5,0,1
1,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,0,0,0,1
1,0.00039769337840525,0,0.000994233446013124,0.00039769337840525,0.00437462716245775,0.000198846689202625,0.000198846689202625,0.00278385364883675,0.000795386756810499,1
6,0.001590773513621,0.000994233446013124,0.00178962020282362,0.000596540067607874,0.0117319546629549,0.000994233446013124,0.000596540067607874,0.00457347385166037,0.0023861602704315,1
6,0,0,0,0,0,0.5,0,0,0,1
9,0,0,0,1,1,0,0,1,0,1
6,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0,0,0,0,1,1
5,0,0,0,0,0,0,0,0,0,1
1,0.0196858222310599,0.0039769337840525,0.011135414595347,0.00298270033803937,0.00954464108172599,0.00815271425730762,0.00994233446013124,0.00536886060847087,0.00994233446013124,1
12,0,0,0,0,1,0,0,0,1,1
52,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,1,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0.5,0,0,0,0,1
3,0.00338039371644462,0.00139192682441837,0.012726188108968,0.00039769337840525,0.00874925432491549,0.0039769337840525,0.00695963412209187,0.0039769337840525,0.00437462716245775,1
111,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,1,0,0,0,0,1
30,0.00258500695963412,0.0023861602704315,0.00198846689202625,0.000198846689202625,0.00457347385166037,0.0023861602704315,0.004772320540863,0.003181547027242,0.00437462716245775,1
2,0,0,0,0,0,0,0,0,0,1
7,0.0260489162855438,0.0103400278385365,0.017498508649831,0.00437462716245775,0.020680055677073,0.0117319546629549,0.014316961622589,0.0119308013521575,0.0188904354742494,1
8,0.0180950487174389,0.0039769337840525,0.0125273414197654,0.00258500695963412,0.017498508649831,0.00616424736528137,0.00815271425730762,0.00855040763571287,0.0119308013521575,1
9,0.000596540067607874,0.000198846689202625,0.000994233446013124,0.00039769337840525,0.00517001391926824,0.000596540067607874,0.000198846689202625,0.00338039371644462,0.000795386756810499,1
5,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1
48,0,0,0,0,0,0,0,0,0,1
29,0,0,1,0,0,0,0,0,0,1
63,0.0101411811493339,0.00437462716245775,0.0300258500695963,0.00139192682441837,0.0161065818254126,0.00994233446013124,0.0135215748657785,0.00815271425730762,0.00914694770332074,1
25,0.0194869755418572,0.00974348777092861,0.0117319546629549,0.00357924040564725,0.0137204215549811,0.00914694770332074,0.00914694770332074,0.00874925432491549,0.0137204215549811,1
1,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,1,1,0,0,0,1
13,0,0,0,0,0,0,0,0,0,1
65,0,0,0,0,1,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,1
5,0.00934579439252336,0.00894810101411811,0.0123284947305627,0.00178962020282362,0.0157088884470074,0.00676078743288924,0.014316961622589,0.00755617418969974,0.0139192682441837,1
7,0.000198846689202625,0.000198846689202625,0.000198846689202625,0,0.000198846689202625,0,0.000198846689202625,0.00039769337840525,0.000795386756810499,1
6,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,1,0,0,1,1
9,0,0,0.00039769337840525,0.000198846689202625,0.00338039371644462,0,0.000198846689202625,0.00119308013521575,0.000596540067607874,1
8,0.000596540067607874,0.000198846689202625,0.00119308013521575,0.00039769337840525,0.00616424736528137,0.000596540067607874,0.000198846689202625,0.00377808709484987,0.00119308013521575,1
27,0,0,0,0,0,0,0,0,0,1
16,0.00278385364883675,0.00039769337840525,0.0023861602704315,0.000596540067607874,0.00835156094651024,0.000994233446013124,0.000596540067607874,0.00278385364883675,0.000994233446013124,1
20,0.00536886060847087,0.00178962020282362,0.020680055677073,0.00039769337840525,0.00835156094651024,0.00536886060847087,0.00815271425730762,0.003181547027242,0.00715848081129449,1
21,0,0,0,1,0,1,0,0,0,1
2,0,0,0,0,1,0,0,0,0,1
15,0.0320143169616226,0.0137204215549811,0.023861602704315,0.00656194074368662,0.0250546828395307,0.0169019685822231,0.0184927420958441,0.0157088884470074,0.0220719825014913,1
68,0.001590773513621,0.000596540067607874,0.001590773513621,0.00039769337840525,0.00517001391926824,0.000596540067607874,0.000596540067607874,0.000795386756810499,0.00039769337840525,1
18,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,0,0,0,1
18,0.00139192682441837,0.004772320540863,0.00278385364883675,0,0.00795386756810499,0.00039769337840525,0.00258500695963412,0.00278385364883675,0.00596540067607874,1
27,0.00437462716245775,0.004772320540863,0.00417578047325512,0.000596540067607874,0.00795386756810499,0.00139192682441837,0.000596540067607874,0.00457347385166037,0.00357924040564725,1
1,0,0,0,0,1,0,0,0,0,1
49,0,0,0,0,0,0,0,1,0,1
10,0.00198846689202625,0.003181547027242,0.00258500695963412,0.000596540067607874,0.00616424736528137,0.000994233446013124,0.00039769337840525,0.00357924040564725,0.00198846689202625,1
3,0,0,0,0,0,0,0,0,0,1
7,0.000198846689202625,0,0.000795386756810499,0.00039769337840525,0.00338039371644462,0.000198846689202625,0.000198846689202625,0.00198846689202625,0.000198846689202625,1
1,0,0,0,0,0,0,0,0,0,1
81,0,0,0,0,0,0,0,0,0,1
70,0,0,0,0,0,0,0,0,0,1
7,0.0188904354742494,0.00457347385166037,0.0294293100019885,0.0023861602704315,0.0182938954066415,0.0137204215549811,0.0145158083117916,0.00815271425730762,0.0139192682441837,1
19,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,1,0,0,0,0,1
15,0,0,1,0,1,1,1,0,1,1
9,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1
2,0.000198846689202625,0,0.000795386756810499,0.000198846689202625,0.003181547027242,0.000198846689202625,0.000198846689202625,0.00139192682441837,0.000198846689202625,1
2,0.000198846689202625,0.00039769337840525,0.000198846689202625,0.000198846689202625,0.00119308013521575,0.000198846689202625,0,0.00039769337840525,0.000596540067607874,1
14,0.00536886060847087,0.00377808709484987,0.00695963412209187,0.000795386756810499,0.00815271425730762,0.00437462716245775,0.00835156094651024,0.00417578047325512,0.00835156094651024,1
1,0,0,0,0,0.5,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,1
9,0.000795386756810499,0.000198846689202625,0.000994233446013124,0.00039769337840525,0.00735732750049712,0.000795386756810499,0.000198846689202625,0.00357924040564725,0.00119308013521575,1
16,0,0,0,0,1,0,0,0,0,1
1,0.027027027027027,0,0.027027027027027,0,0,0,0,0,0,1
1,0.0157088884470074,0.00954464108172599,0.0103400278385365,0.001590773513621,0.0151123483793995,0.00735732750049712,0.0125273414197654,0.00715848081129449,0.0153111950686021,1
38,0,0,0,0,0,0,0,0,0,1
4,0.001590773513621,0.00119308013521575,0.00139192682441837,0.000795386756810499,0.00457347385166037,0.000795386756810499,0.000596540067607874,0.00119308013521575,0.000994233446013124,1
45,0.0234639093259097,0.00556770729767349,0.0147146550009942,0.00437462716245775,0.0208789023662756,0.00974348777092861,0.0115331079737522,0.00994233446013124,0.0137204215549811,1
3,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,1,0,0,1,0,1
