degree,aandersoni_regen_up_Fraction_sp_less4,amaculatum_regen_up_Fraction_sp_less4,amexicanum_regen_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less4,clupisFamiliaris_wound_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_wound_up_Fraction_sp_less4,drerio_regen_up_Fraction_sp_less4,ecoli_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less4,rnorvegicus_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less4,xlaevis_wound_up_Fraction_sp_less4,xtropicalis_regen_up_Fraction_sp_less4,label,gene_list
7,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,TCOF1
102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NSRP1
286,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,SPPL3
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,OPA3
202,0,0.000198846689202625,0.00338039371644462,0.0208789023662756,0,0.0147146550009942,0.003181547027242,0.000198846689202625,0.00258500695963412,0.0131238814873732,0.0169019685822231,0.0172996619606284,0,0,0,OPA1
5,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,ITGA8
16,0.00178962020282362,0.00218731358122887,0.0214754424338835,0.0298270033803937,0.000994233446013124,0.0228673692583019,0.00457347385166037,0.00377808709484987,0.00039769337840525,0.0515012925034798,0.0151123483793995,0.0395704911513223,0.0172996619606284,0.00616424736528137,0,ITGA9
1,0.00178962020282362,0.00178962020282362,0.0252535295287333,0.0330085504076357,0.000994233446013124,0.0266454563531517,0.00457347385166037,0.00437462716245775,0.000994233446013124,0.0582620799363691,0.0172996619606284,0.0489162855438457,0.0180950487174389,0.00735732750049712,0,ITGA1
39,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,ITGA2
43,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,ITGA3
13,0.003181547027242,0.00517001391926824,0.0188904354742494,0.0290316166235832,0.000198846689202625,0.0216742891230861,0.0023861602704315,0.00178962020282362,0.001590773513621,0.0330085504076357,0.00357924040564725,0.0544839928415192,0.0135215748657785,0.0216742891230861,0,ITGA4
132,0.00218731358122887,0.00338039371644462,0.030224696758799,0.0389739510837145,0.000994233446013124,0.0314177768940147,0.00536886060847087,0.0039769337840525,0.000596540067607874,0.0642274806124478,0.0165042752038179,0.0528932193278982,0.0218731358122887,0.00815271425730762,0,ITGA5
21,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,ITGA6
12,0.00298270033803937,0.00576655398687612,0.042950884867767,0.0586597733147743,0.00178962020282362,0.0517001391926824,0.00755617418969974,0.00556770729767349,0.00258500695963412,0.0859017697355339,0.0242592960827202,0.0827202227082919,0.0310200835156095,0.011135414595347,0,ITGA7
95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRHR
46,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,UFSP1
18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,UFSP2
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHST8
299,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,CHST1
50,0,0.000198846689202625,0.00457347385166037,0.012726188108968,0.000795386756810499,0.0109365679061444,0.00119308013521575,0.000994233446013124,0.000198846689202625,0.0139192682441837,0.00377808709484987,0.0131238814873732,0.00596540067607874,0.000596540067607874,0,CHST3
59,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,CHST2
40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CHST5
85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CHST4
50,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,CHST7
10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,CHST6
7,0.00298270033803937,0.00377808709484987,0.0147146550009942,0.0226685225690992,0.000198846689202625,0.0171008152714257,0.00139192682441837,0.00178962020282362,0.00119308013521575,0.0264466096639491,0.00338039371644462,0.0433485782461722,0.0101411811493339,0.0204812089878704,0,ITGAX
84,0.00298270033803937,0.00357924040564725,0.0135215748657785,0.0212765957446809,0,0.0165042752038179,0.00139192682441837,0.00178962020282362,0.00119308013521575,0.025452376217936,0.00278385364883675,0.0411612646649433,0.00914694770332074,0.0202823622986677,0,BCL2A1
21,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,ITGAV
11,0.00357924040564725,0.00715848081129449,0.0308212368264068,0.0435474249353748,0.000596540067607874,0.0344004772320541,0.00437462716245775,0.00357924040564725,0.00258500695963412,0.0453370451381985,0.00795386756810499,0.0705905746669318,0.0194869755418572,0.0234639093259097,0,ITGAL
40,0.003181547027242,0.00377808709484987,0.0133227281765759,0.0228673692583019,0,0.0169019685822231,0.00139192682441837,0.001590773513621,0.00178962020282362,0.0256512229071386,0.00338039371644462,0.0421554981109565,0.00954464108172599,0.0200835156094651,0,ITGAM
224,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,ITGAD
80,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,ITGAE
95,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,IGF2R
14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,SLC36A4
14,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,CKS1B
23,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,SLC36A1
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ARTN
37,0,0,0.000198846689202625,0.00417578047325512,0,0.00596540067607874,0.00119308013521575,0.00039769337840525,0.00039769337840525,0.000596540067607874,0.00139192682441837,0.00278385364883675,0.00039769337840525,0.00039769337840525,0,ART1
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ART4
962,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,CADPS2
41,0,0,0.00039769337840525,0.00497116723006562,0,0.00457347385166037,0.000596540067607874,0,0,0.00656194074368662,0.00039769337840525,0.00457347385166037,0.00218731358122887,0.00039769337840525,0,RLF
44,0.0023861602704315,0.00377808709484987,0.0377808709484987,0.0614436269636111,0.00178962020282362,0.0540862994631139,0.00934579439252336,0.00576655398687612,0.00298270033803937,0.0940544839928415,0.0236627560151123,0.0785444422350368,0.0296281566911911,0.00994233446013124,0,CRTAP
