degree,label,gene_list
9,1,CDKN2A
28,1,TRIM24
58,1,PPP2R1A
6,1,RALGDS
43,1,ABL2
5,1,MUC16
22,1,CLTC
34,1,EXT1
409,1,PRF1
15,1,FBXW7
330,1,TRRAP
295,1,APOBEC3B
152,1,TPM3
121,1,ACVR2A
165,1,NUP98
477,1,ABL1
44,1,ARAF
101,1,FANCE
92,1,CNBP
85,1,TFG
152,1,REL
404,1,SKI
108,1,BCL11A
136,1,KIAA1549
736,1,RHOH
5,1,TLX1
34,1,GATA3
136,1,TNFAIP3
2,1,BRCA1
83,1,SRSF2
321,1,CREB1
382,1,RNF43
32,1,CDKN1B
8,1,MAF
356,1,BCL9
17,1,MYO5A
108,1,JAK1
76,1,PPP6C
187,1,PATZ1
23,1,CCNB1IP1
372,1,ARID2
32,1,MAP2K4
189,1,DICER1
12,1,ZNRF3
125,1,KDR
516,1,BCL11B
39,1,ESR1
3,1,USP6
238,1,IDH2
164,1,SDHD
195,1,ETV6
31,1,MLH1
374,1,SETD2
88,1,ITGAV
70,1,LEF1
201,1,PDCD1LG2
748,1,SYK
520,1,CD74
43,1,AKT2
12,1,ATIC
156,1,BTG1
619,1,FANCD2
25,1,SH3GL1
74,1,AFF1
322,1,HMGA1
228,1,RMI2
360,1,FGFR3
57,1,POLE
265,1,ARID1B
11,1,CBFB
245,1,MYB
182,1,TRIM27
62,1,ZBTB16
241,1,CTNNA2
31,1,ANK1
2,1,DDIT3
138,1,NACA
281,1,PLCG1
9,1,GNA11
136,1,RPL10
38,1,POLG
228,1,TPR
170,1,CAMTA1
39,1,NFIB
22,1,STK11
5,1,BCR
77,1,CALR
10,1,BAP1
187,1,EIF3E
23,1,AXIN2
13,1,ETV5
345,1,BUB1B
88,1,ERBB4
15,1,H3F3A
473,1,CCR4
185,1,SSX4
85,1,FOXL2
79,1,ZNF429
38,1,MALT1
9,1,KEAP1
153,1,PPM1D
136,1,MUC1
383,1,COL1A1
323,1,POLD1
23,1,MAPK1
135,1,SPOP
328,1,KAT6A
435,1,MITF
87,1,DDX10
264,1,P2RY8
195,1,TET2
231,1,KAT7
36,1,DDB2
591,1,FGFR1
473,1,TSC2
63,1,CD209
18,1,CRLF2
222,1,MED12
85,1,FLT4
793,1,PSIP1
93,1,AR
194,1,STAG2
4,1,NTRK1
113,1,FIP1L1
40,1,SMAD2
210,1,PRDM2
403,1,CDH11
85,1,CTCF
3,1,CDK6
14,1,PAX3
60,1,DCC
20,1,PTPRT
323,1,MN1
52,1,ATP2B3
3,1,ROS1
370,1,HLA-A
87,1,SUZ12
62,1,PRDM16
84,1,MSH2
7,1,PPFIBP1
18,1,MLLT11
63,1,RBM10
122,1,ID3
3,1,HIST1H3B
441,1,PRRX1
422,1,ELF4
341,1,CCR7
83,1,ETNK1
275,1,SSX1
281,1,SFPQ
4,1,RAF1
18,1,RSPO3
149,1,CIC
124,1,SDHA
594,1,FLI1
88,1,SND1
198,1,DGCR8
31,1,CDKN1A
861,1,CASP8
277,1,ELN
113,1,PIM1
340,1,EP300
70,1,RAD21
186,1,SMARCD1
90,1,DDX6
38,1,NR4A3
35,1,XPO1
564,1,CBLC
127,1,STAT5B
436,1,MAP3K1
170,1,FNBP1
240,1,KAT6B
10,1,SDC4
73,1,VHL
204,1,ERCC2
594,1,OMD
227,1,PICALM
18,1,CDKN2C
145,1,CEBPA
630,1,ITK
209,1,CCND3
9,1,FLCN
94,1,ACSL6
22,1,PHOX2B
40,1,PAX7
335,1,PTPN13
138,1,CACNA1D
186,1,ATR
38,1,PPARG
182,1,PTPRB
285,1,SSX2
80,1,CHIC2
283,1,FUBP1
373,1,IL21R
383,1,EZH2
453,1,TNFRSF14
2,1,CDH17
4,1,CHCHD7
391,1,PTPN11
206,1,CYP2C8
328,1,NUMA1
3,1,NTHL1
200,1,ATRX
11,1,MLLT1
118,1,NCOA1
2,1,GRM3
173,1,ERBB2
285,1,FOXR1
388,1,SRGAP3
386,1,CTNND1
81,1,BCL6
52,1,HIF1A
28,1,MDS2
46,1,SMARCB1
16,1,SIX1
477,1,MEN1
4,1,MTCP1
379,1,FBLN2
9,1,FHIT
78,1,PWWP2A
352,1,COL3A1
98,1,PRKAR1A
12,1,KRAS
89,1,IRS4
97,1,CD79B
295,1,QKI
325,1,CDK12
362,1,TRIM33
463,1,MYH9
495,1,BCLAF1
32,1,FOXO4
143,1,CRNKL1
63,1,HNRNPA2B1
3,1,NKX2-1
519,1,WAS
151,1,FLT3
196,1,PBX1
415,1,PML
20,1,BCL7A
537,1,TPM4
4,1,HOXD11
160,1,ARID1A
41,1,SDHAF2
460,1,MYH11
20,1,NFE2L2
100,1,AFF4
98,1,ASPSCR1
17,1,CD274
2,1,MGMT
386,1,LATS2
307,1,PREX2
14,1,HOXC11
5,1,SGK1
171,1,CBL
27,1,HERPUD1
59,1,SRSF3
57,1,CHEK2
134,1,BCL9L
347,1,BRAF
182,1,TNC
475,1,CIITA
90,1,JAZF1
36,1,EIF4A2
2,1,KNSTRN
311,1,ACVR1
136,1,RABEP1
281,1,KLF6
217,1,CCNC
124,1,CLP1
180,1,ZNF521
212,1,JAK2
322,1,DROSHA
41,1,CYLD
117,1,FOXO3
153,1,DNM2
59,1,PLAG1
59,1,RUNX1
362,1,PTK6
44,1,PTEN
8,1,ARHGEF12
3,1,NBN
349,1,MLLT10
27,1,ARHGAP5
271,1,NOTCH2
588,1,B2M
75,1,ALDH2
63,1,WNK2
