degree,downregulated.regen_Fraction_sp_less7,downregulated.stress_Fraction_sp_less7,downregulated.wound_Fraction_sp_less7,msigdb.regen_Fraction_sp_less7,msigdb.stress_Fraction_sp_less7,msigdb.wound_Fraction_sp_less7,upregulated.regen_Fraction_sp_less7,upregulated.stress_Fraction_sp_less7,upregulated.wound_Fraction_sp_less7,label,gene_list
2,0,0,0,0,0,0,0,0,0,0,TCOF1
2,0,0,0,0,0,0,0,0,0,0,NSRP1
2,0,0,0,0,0,0,0,0,0,0,SPPL3
2,0,1,0,0,0,0,0,0,0,0,OPA3
4,0.0303416083174199,0.0188839380437089,0.023976235943136,0.0059410142159983,0.0434967112242733,0.014640356460853,0.0171865054105665,0.0188839380437089,0.0248249522597072,0,OPA1
2,0,0,1,0,0,0,0,0,0,0,ITGA8
3,0.046891576490558,0.0224909823891364,0.0509229789942712,0.00933587948228305,0.0460428601739868,0.0263102058137068,0.0371313388499894,0.0248249522597072,0.0367069806917038,0,ITGA9
10,0.0608953957139826,0.0316146827922767,0.0725652450668364,0.0118820284319966,0.0717165287502652,0.0330999363462763,0.0524082325482707,0.0379800551665606,0.047952471886272,0,ITGA1
2,1,0,0,0,1,1,1,0,0,0,ITGA2
2,0,0,0,0,1,0,0,0,0,0,ITGA3
121,0.0632293655845534,0.035433906216847,0.0763844684914067,0.0129429238277106,0.0835985571822618,0.0356460852959898,0.0572883513685551,0.0439210693825589,0.0521960534691279,0,ITGA4
8,0.061531932951411,0.0337364735837047,0.0755357521748356,0.0127307447485678,0.0763844684914067,0.0358582643751326,0.0549543814979843,0.0411627413537025,0.0500742626777,0,ITGA5
3,0.5,0,0,0,0,0,1,0,0,0,ITGA6
22,0.0655633354551241,0.0379800551665606,0.0780819011245491,0.013579461065139,0.0838107362614046,0.0360704434542754,0.0608953957139826,0.0456185020157013,0.0532569488648419,0,ITGA7
2,0,0,0,0,0,0,0,0,0,0,TRHR
2,0,0,0,0,0,0,0,0,0,0,UFSP1
2,0,0,0,0,0,0,0,0,0,0,UFSP2
2,0,0,0,0,0,0,0,0,0,0,CHST8
2,0,0,0,0,0,0,1,0,0,0,CHST1
2,0,0,0,0,0,0,0,1,0,0,CHST3
2,1,0,0,0,0,0,0,0,0,0,CHST2
2,0,0,0,0,0,0,0,0,0,0,CHST5
2,0,0,0,0,0,0,0,0,0,0,CHST4
2,0,0,0,0,0,0,0,0,0,0,CHST7
2,0,0,0,0,0,0,0,0,0,0,CHST6
