degree,downregulated.regen_Fraction_sp_less7,downregulated.stress_Fraction_sp_less7,downregulated.wound_Fraction_sp_less7,msigdb.regen_Fraction_sp_less7,msigdb.stress_Fraction_sp_less7,msigdb.wound_Fraction_sp_less7,upregulated.regen_Fraction_sp_less7,upregulated.stress_Fraction_sp_less7,upregulated.wound_Fraction_sp_less7,label
2,0,0,0,0,0,0,0,0,0,1
4,0.0369191597708466,0.0227031614682792,0.0286441756842775,0.00678973053256949,0.0562274559728411,0.0150647146191386,0.0246127731805644,0.0246127731805644,0.0318268618714195,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,1,0,0,0,0,1
5,0.0498620835985572,0.0305537873965627,0.0547422024188415,0.00912370040314025,0.0700190961171229,0.0244005941014216,0.0464672183322724,0.0371313388499894,0.0437088903034161,1
2,0,1,1,0,1,0,1,0,0,1
2,0,0,0,0,1,0,0,0,0,1
81,0.0651389772968385,0.0347973689794186,0.0768088266496923,0.0129429238277106,0.0793549755994059,0.0356460852959898,0.0579248886059835,0.0432845321451305,0.0519838743899851,1
77,0.0568639932102695,0.0309781455548483,0.0704434542754084,0.010396774877997,0.0676851262465521,0.0311903246339911,0.0521960534691279,0.0377678760874178,0.0464672183322724,1
3,0.5,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,1,0,0,1,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,1,0,0,1,0,1
34,0.0628050074262678,0.0371313388499894,0.0748992149374072,0.0129429238277106,0.0838107362614046,0.034373010821133,0.0570761722894123,0.0430723530659877,0.0536813070231275,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
9,0.061531932951411,0.0345851899002758,0.072989603225122,0.0120942075111394,0.0672607680882665,0.0350095480585614,0.0564396350519839,0.0392531296414174,0.047952471886272,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
3,0.0254614894971356,0.00976023764056864,0.0456185020157013,0.00403140250371313,0.0328877572671335,0.0173986844897093,0.027158922130278,0.0167621472522809,0.0199448334394229,1
81,0.00806280500742627,0.00997241671971144,0.0129429238277106,0.00169743263314237,0.0163377890939953,0.00381922342457034,0.00954805856142584,0.00742626776999788,0.010396774877997,1
2,0,0,0,0,0,0,1,0,0,1
31,0.0653511563759813,0.0381922342457034,0.0780819011245491,0.0129429238277106,0.0799915128368343,0.0371313388499894,0.0621684701888394,0.0464672183322724,0.0526204116274135,1
56,0.0628050074262678,0.034373010821133,0.0765966475705495,0.0120942075111394,0.0787184383619775,0.0350095480585614,0.0577127095268407,0.0430723530659877,0.0509229789942712,1
2,0,0,1,0,0,0,0,0,0,1
11,0.0642902609802673,0.0381922342457034,0.0765966475705495,0.0123063865902822,0.0899639295565457,0.0358582643751326,0.0579248886059835,0.0451941438574157,0.0534691279439847,1
2,0,0,0,0,1,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,1
15,0.00106089539571398,0.00275832802885635,0.00169743263314237,0.000424358158285593,0.00403140250371313,0.000212179079142797,0.00169743263314237,0.00106089539571398,0.00190961171228517,1
23,0.0585614258434118,0.0341608317419902,0.0695947379588373,0.0101845957988542,0.0789306174411203,0.0299172501591343,0.0538934861022703,0.0415870995119881,0.0498620835985572,1
2,0,0,1,0,1,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,1,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
5,0.0513473371525568,0.0284319966051347,0.0674729471674093,0.00997241671971144,0.0613197538722682,0.0286441756842775,0.049013367281986,0.0347973689794186,0.0428601739868449,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,1,0,0,0,1,1
2,0,0,0,0,1,0,0,0,0,1
2,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,1,0,1,0,0,1
2,0,1,0,1,1,0,1,1,0,1
3,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0.5,0,0,0,0,1
3,0.051135158073414,0.0307659664757055,0.0585614258434118,0.0101845957988542,0.0666242308508381,0.0301294292382771,0.0447697856991301,0.0341608317419902,0.0451941438574157,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
3,0.00254614894971356,0.00106089539571398,0.00148525355399958,0.00063653723742839,0.00891152132399745,0.00106089539571398,0.00106089539571398,0.00466793974114152,0.00212179079142797,1
14,0.0570761722894123,0.0333121154254191,0.0721408869085508,0.0108211330362826,0.0776575429662635,0.0311903246339911,0.0538934861022703,0.0398896668788457,0.0496499045194144,1
2,0,0,0,0,0,0,0,0,0,1
3,0.0434967112242733,0.0246127731805644,0.0314025037131339,0.00933587948228305,0.0577127095268407,0.0176108635688521,0.0303416083174199,0.0305537873965627,0.0337364735837047,1
2,0,0,0,0,0,1,0,0,0,1
107,0.0642902609802673,0.0367069806917038,0.0776575429662635,0.0129429238277106,0.0812645873116911,0.0367069806917038,0.0577127095268407,0.0441332484617017,0.0536813070231275,1
2,0,1,0,0,1,0,0,0,0,1
10,0.0634415446636962,0.0358582643751326,0.0776575429662635,0.0127307447485678,0.0787184383619775,0.0356460852959898,0.0585614258434118,0.0420114576702737,0.0513473371525568,1
2,0,0,0,0,1,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
14,0.0541056651814131,0.0288563547634203,0.0689582007214089,0.0101845957988542,0.062592828347125,0.0301294292382771,0.0502864417568428,0.0350095480585614,0.0451941438574157,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
3,0.000424358158285593,0.00254614894971356,0.000424358158285593,0,0.00106089539571398,0.00063653723742839,0.00063653723742839,0.00275832802885635,0.000848716316571186,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,1,1,0,0,0,0,1
3,0.0591979630808402,0.0341608317419902,0.0678973053256949,0.011457670273711,0.072989603225122,0.0322512200297051,0.0519838743899851,0.0384044133248462,0.0498620835985572,1
2,1,0,1,1,0,1,0,0,1,1
