degree,downregulated.regen_Fraction_sp_less4,downregulated.stress_Fraction_sp_less4,downregulated.wound_Fraction_sp_less4,msigdb.regen_Fraction_sp_less4,msigdb.stress_Fraction_sp_less4,msigdb.wound_Fraction_sp_less4,upregulated.regen_Fraction_sp_less4,upregulated.stress_Fraction_sp_less4,upregulated.wound_Fraction_sp_less4,label
8,0.0252802289530169,0.0139518244693537,0.0186024326258049,0.0045313617934653,0.0261149534939184,0.0124016217505366,0.015025041736227,0.0147865490102552,0.0186024326258049,1
18,0.00417362270450751,0.00596231814929645,0.00703553541616981,0.000596231814929645,0.010135940853804,0.00226568089673265,0.00632005723825423,0.00298115907464822,0.00572382542332459,1
82,0.013355592654424,0.00751252086811352,0.0189601717147627,0.00214643453374672,0.0233722871452421,0.00608156451228238,0.0138325781063678,0.011686143572621,0.0110899117576914,1
66,0.023491533508228,0.0187216789887908,0.0206296207965657,0.00429286906749344,0.0381588361554973,0.0110899117576914,0.015025041736227,0.0199141426186501,0.0196756498926783,1
2,0,0,0,0,0,1,0,1,0,1
2,0,0,0,0,0,0,0,0,1,1
5,0.0103744335797758,0.0102551872167899,0.0170522299069878,0.00143095635583115,0.0202718817076079,0.00715478177915574,0.0131170999284522,0.00965895540186024,0.0138325781063678,1
10,0.00345814452659194,0.000476985451943716,0.00214643453374672,0.000834724540901503,0.010135940853804,0.000834724540901503,0.000476985451943716,0.00393512997853565,0.00226568089673265,1
2,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,1
162,0.0244455044121154,0.01669449081803,0.0374433579775817,0.00429286906749344,0.0392320534223706,0.0147865490102552,0.0274266634867637,0.0188409253517768,0.0253994753160029,1
2,0,1,0,0,0,0,0,1,0,1
4,0.00942046267588839,0.0053660863343668,0.00655854996422609,0.00166944908180301,0.0165752444550441,0.00333889816360601,0.00393512997853565,0.00739327450512759,0.00655854996422609,1
123,0.0228953016932984,0.0158597662771285,0.0310040543763415,0.00345814452659194,0.0437634152158359,0.011805389935607,0.0250417362270451,0.0202718817076079,0.023491533508228,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1
3,0,0,0.000119246362985929,0,0,0,0,0,0.000476985451943716,1
2,0,0,0,0,0,0,0,0,0,1
31,0.0242070116861436,0.0164559980920582,0.0389935606963988,0.0036966372525638,0.040305270689244,0.015144288099213,0.0255187216789888,0.0175292153589316,0.0252802289530169,1
2,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,1,0,0,0,1,1
6,0.00155020271881708,0.00333889816360601,0.00155020271881708,0.000357739088957787,0.00298115907464822,0.000834724540901503,0.00119246362985929,0.00178869544478893,0.00250417362270451,1
