sample	TCGA_GTEX_main_category
GTEX-1117F-2426-SM-5EGGH	GTEX Uterus
GTEX-113JC-2226-SM-5EGJG	GTEX Uterus
GTEX-11DXX-1526-SM-5H115	GTEX Uterus
GTEX-11EM3-1926-SM-5987U	GTEX Uterus
GTEX-11I78-2126-SM-5A5K8	GTEX Uterus
GTEX-11P81-1626-SM-5BC52	GTEX Uterus
GTEX-11ZTS-2326-SM-5EQMY	GTEX Uterus
GTEX-11ZTT-1726-SM-5EQL4	GTEX Uterus
GTEX-12WSD-2826-SM-59HKT	GTEX Uterus
GTEX-12WSG-2126-SM-5EGJ7	GTEX Uterus
GTEX-12WSK-2026-SM-5CVNB	GTEX Uterus
GTEX-12ZZX-2126-SM-5LZVL	GTEX Uterus
GTEX-1313W-2826-SM-5P9G1	GTEX Uterus
GTEX-131XG-2026-SM-5GCN5	GTEX Uterus
GTEX-131YS-2326-SM-5IJFJ	GTEX Uterus
GTEX-132AR-1526-SM-5KM1L	GTEX Uterus
GTEX-1399S-2226-SM-5IFEW	GTEX Uterus
GTEX-1399U-1326-SM-5IJET	GTEX Uterus
GTEX-139D8-2526-SM-5N9G3	GTEX Uterus
GTEX-13D11-1226-SM-5IFGA	GTEX Uterus
GTEX-13FTX-1026-SM-5J2O5	GTEX Uterus
GTEX-13N11-1126-SM-5KM41	GTEX Uterus
GTEX-13OVI-1026-SM-5L3EM	GTEX Uterus
GTEX-13OVJ-2326-SM-5IJGA	GTEX Uterus
GTEX-13PL7-2026-SM-5IFGK	GTEX Uterus
GTEX-13QBU-1626-SM-5LU4S	GTEX Uterus
GTEX-13S7M-1726-SM-5RQK3	GTEX Uterus
GTEX-13U4I-1926-SM-5LU39	GTEX Uterus
GTEX-13VXT-1626-SM-5IJES	GTEX Uterus
GTEX-145ME-1326-SM-5O98Q	GTEX Uterus
GTEX-14BIM-2226-SM-5SI8Y	GTEX Uterus
GTEX-14BMU-1826-SM-5RQII	GTEX Uterus
GTEX-N7MT-0726-SM-3TW8S	GTEX Uterus
GTEX-OHPK-2026-SM-3MJH7	GTEX Uterus
GTEX-OHPL-2026-SM-3TW8R	GTEX Uterus
GTEX-P4PP-2026-SM-3P61N	GTEX Uterus
GTEX-P4QT-2026-SM-3NMCJ	GTEX Uterus
GTEX-P78B-2526-SM-3P5ZY	GTEX Uterus
GTEX-POMQ-1226-SM-3P61F	GTEX Uterus
GTEX-PWCY-1426-SM-48TCT	GTEX Uterus
GTEX-PWN1-2026-SM-48TD9	GTEX Uterus
GTEX-PX3G-2026-SM-48U1H	GTEX Uterus
GTEX-Q734-1626-SM-48U1B	GTEX Uterus
GTEX-QCQG-1326-SM-48U24	GTEX Uterus
GTEX-R55G-1626-SM-48FF4	GTEX Uterus
GTEX-RU72-2626-SM-4TT75	GTEX Uterus
GTEX-RWS6-1326-SM-47JXB	GTEX Uterus
GTEX-S341-1026-SM-4AD71	GTEX Uterus
GTEX-S4UY-1226-SM-4AD51	GTEX Uterus
GTEX-T2IS-2226-SM-4DM65	GTEX Uterus
GTEX-T5JW-1526-SM-4DM5E	GTEX Uterus
GTEX-T6MO-1526-SM-4DM57	GTEX Uterus
GTEX-TMMY-2226-SM-4DXTN	GTEX Uterus
GTEX-U3ZN-0726-SM-4DXT5	GTEX Uterus
GTEX-UPIC-1526-SM-4IHLU	GTEX Uterus
GTEX-W5WG-1326-SM-4LMI9	GTEX Uterus
GTEX-WEY5-0726-SM-4LMID	GTEX Uterus
GTEX-WI4N-2426-SM-4OOSC	GTEX Uterus
GTEX-WWYW-2826-SM-4MVOQ	GTEX Uterus
GTEX-WXYG-1326-SM-4ONCN	GTEX Uterus
GTEX-WYVS-1226-SM-4ONCL	GTEX Uterus
GTEX-XUJ4-1526-SM-4BONU	GTEX Uterus
GTEX-XUW1-0226-SM-4BOOS	GTEX Uterus
GTEX-XUZC-0926-SM-4BOQF	GTEX Uterus
GTEX-XV7Q-1526-SM-4BRWB	GTEX Uterus
GTEX-XYKS-1626-SM-4BRUQ	GTEX Uterus
GTEX-Y3IK-2126-SM-4YCDS	GTEX Uterus
GTEX-YFC4-2826-SM-5P9FR	GTEX Uterus
GTEX-YJ8O-1126-SM-5P9IS	GTEX Uterus
GTEX-ZAJG-2826-SM-5HL8D	GTEX Uterus
GTEX-ZAK1-2526-SM-5S2N7	GTEX Uterus
GTEX-ZLWG-1026-SM-4WWC4	GTEX Uterus
GTEX-ZP4G-0726-SM-4WWF2	GTEX Uterus
GTEX-ZTPG-2026-SM-5O999	GTEX Uterus
GTEX-ZV6S-1526-SM-5NQ7O	GTEX Uterus
GTEX-ZVT2-0426-SM-5E44S	GTEX Uterus
GTEX-ZXES-0726-SM-5E451	GTEX Uterus
GTEX-ZYVF-0526-SM-5E43E	GTEX Uterus
GTEX-111CU-1726-SM-5EGHM	GTEX Testis
GTEX-111FC-1926-SM-5GZYC	GTEX Testis
GTEX-111VG-1926-SM-5GIDO	GTEX Testis
GTEX-111YS-2026-SM-5EGGL	GTEX Testis
GTEX-117XS-2026-SM-5GID1	GTEX Testis
GTEX-117YW-1526-SM-5EGGP	GTEX Testis
GTEX-1192W-2326-SM-5N9BS	GTEX Testis
GTEX-11DXY-0226-SM-5H123	GTEX Testis
GTEX-11DXZ-2126-SM-59881	GTEX Testis
GTEX-11EI6-2226-SM-5EGJM	GTEX Testis
GTEX-11EQ8-1426-SM-5EGJR	GTEX Testis
GTEX-11EQ9-1926-SM-5PNVV	GTEX Testis
GTEX-11GS4-2026-SM-5N9CP	GTEX Testis
GTEX-11LCK-2326-SM-5HL53	GTEX Testis
GTEX-11NSD-1026-SM-5N9BE	GTEX Testis
GTEX-11NUK-2626-SM-5A5MB	GTEX Testis
GTEX-11NV4-1726-SM-5N9FC	GTEX Testis
GTEX-11OF3-1826-SM-5987N	GTEX Testis
GTEX-11ONC-2226-SM-5HL6D	GTEX Testis
GTEX-11P7K-1026-SM-5HL6Y	GTEX Testis
GTEX-11TT1-2226-SM-5GU6B	GTEX Testis
GTEX-11TUW-2226-SM-5EQL9	GTEX Testis
GTEX-11UD2-2826-SM-5GU6X	GTEX Testis
GTEX-11WQC-2326-SM-5EQKE	GTEX Testis
GTEX-11WQK-2826-SM-5EQKH	GTEX Testis
GTEX-11ZUS-2726-SM-5FQUA	GTEX Testis
GTEX-1212Z-0326-SM-5FQSJ	GTEX Testis
GTEX-12696-0226-SM-5EGL3	GTEX Testis
GTEX-12C56-1426-SM-5FQSW	GTEX Testis
GTEX-12WSH-0326-SM-5GCNH	GTEX Testis
GTEX-12WSI-2126-SM-5GCMV	GTEX Testis
GTEX-12WSL-2326-SM-5DUXQ	GTEX Testis
GTEX-12WSM-1326-SM-5GCP9	GTEX Testis
GTEX-12ZZY-0126-SM-5LZV2	GTEX Testis
GTEX-13111-1526-SM-5EGJX	GTEX Testis
GTEX-13112-0226-SM-5P9IV	GTEX Testis
GTEX-131XE-0426-SM-5IJF4	GTEX Testis
GTEX-131XF-2026-SM-5DUWG	GTEX Testis
GTEX-132QS-1226-SM-5P9GD	GTEX Testis
GTEX-1399Q-2826-SM-5IJEZ	GTEX Testis
GTEX-1399T-1526-SM-5P9J6	GTEX Testis
GTEX-139T8-0726-SM-5L3D2	GTEX Testis
