GenePage ID	Gene Symbol	Human Entrez ID	OMIM Gene ID	OMIM Disease IDs(|)	XB tropicalis ID	Entrez tropicalis ID	XB laevis.L ID	laevis.L Symbol	Entrez laevis.L ID	XB laevis.S ID	laevis.S Symbol	Entrez laevis.S ID
478053	trnt1	51095	612907	616959|616084	478054	394602	865137	trnt1.L	734914	17333245	trnt1.S	398421
478063	foxh1.2	8928	603621	236100	478064		6461998	foxh1.2.L	100337554	17342561	foxh1.2.S	
478073	nr5a2	2494	604453		478074	496513	6253894	nr5a2.L	399449	865139	nr5a2.S	397700
478083	tbx1	6899	602054	217095|188400|192430|187500	478084	619587	478088	tbx1.L	735223	6254396	tbx1.S	399188
478093	nr1d1	9572	602408		478094	100101679	865140	nr1d1.L	444369	17334451	nr1d1.S	
478103	nucb1	4924	601323		478104	407884	17346458	nucb1.L	399218	865141	nucb1.S	414482
478112	nsa2	10412	612497		478113	550080	865142	nsa2.L	100381087	17338298	nsa2.S	108707259
478120	csnk1a1	1452	600505		478121	407897	478125	csnk1a1.L	379624	17345862	csnk1a1.S	380238
478130	hoxc6	3223	142972		478131	101733663	17337706	hoxc6.L	108708639	865143	hoxc6.S	394330
478140	hba1	3039	141800	604131|140700|613978|617973|617981	478141	394454	17345270	hba1.L	108702027	865144	hba1.S	397869
478148	gdf9	2661	601918	618014	478149	100496740	6487390	gdf9.L	108710928	17345265	gdf9.S	108713269
478155	c2	717	613927	217000|615489	478156	100491079	865146	c2.L	734198	17337109	c2.S	
478164	gata2	2624	137295	601626|614172|614038|614286	478165	100487142	865147	gata2.L	399273	17344664	gata2.S	108715041
478174	slc5a1.2	6523	182380	606824	17346914		17336542	slc5a1.2.L	108716025	6486655	slc5a1.2.S	108707113
478183	gdf2	2658	605120	615506	478184	100485289	17344060	gdf2.L	108696990	17344061	gdf2.S	
478189	sorbs2	8470	616349		478190	100196922	6488066	sorbs2.L		17344066	sorbs2.S	
478195	tgfbr3	7049	600742		478196	100492271	17335957	tgfbr3.L	108714389	17335958	tgfbr3.S	108715664
478201	apln	8862	300297		478202	100038188	865152	apln.L	100037249	6255529	apln.S	100037057
478209	fzd4	8322	604579	133780	478210	100497693	17342547	fzd4.L		865153	fzd4.S	399192
478219	suclg1	8802	611224	245400	478220	594977	865154	suclg1.L	494796	17335796	suclg1.S	108706503
478229	mbip	51562	609431		478230	100038057	6487460	mbip.L	108699209	17341948	mbip.S	
478235	ptprs	5802	601576		478236	100038154	17333210	ptprs.L		865156	ptprs.S	398161
478245	wnt10a	80326	606268	257980|224750|150400	478246	100485724	865157	wnt10a.L	100049784	17343729	wnt10a.S	108702936
478255	sostdc1	25928	609675		478256	100101775	6255452	sostdc1.L	100381044	865158	sostdc1.S	386733
478264	tcf3	6929	147141	616941	478265	100101779	865159	tcf3.L	379355	17343115	tcf3.S	380101
478273	oxt	5020	167050		478274	100485685	17334421	oxt.L	108696251	17334422	oxt.S	108705793
478279	atat1	79969	615556		478280	100038151	17334430	atat1.L	734258	865161	atat1.S	735057
478287	slc24a4	123041	609840	210750|615887	478288	100489343	17340190	slc24a4.L		17340191	slc24a4.S	
478293	rab28	9364	612994	615374	478294	594989	17331381	rab28.L		6488585	rab28.S	
478300	rhob	388	165370		478301	407883	17338674	rhob.L	108717201	6077451	rhob.S	734999
478309	zbtb16	7704	176797	612447	478310	100491672	17338669	zbtb16.L	108696505	6489332	zbtb16.S	108697616
478316	fzd9	8326	601766		478317	100487936	17330438	fzd9.L	108707992	11536276	fzd9.S	108709318
478326	egfl8	80864	609897		478327	779640	17339289	egfl8.L	108699535	17339290	egfl8.S	108700225
478335	ddx39b	7919	142560		478336	394669	865168	ddx39b.L	447706	17331049	ddx39b.S	
478344	vax1	11023	604294	614402	478345	100486982	1188142	vax1.L	378629	6252856	vax1.S	373698
478354	fgg	2266	134850	202400|616004	478355	100038189	478359	fgg.L	380331	17331651	fgg.S	108706651
478364	rassf2	9770	609492		478365	548420	6077454	rassf2.L	779118	17340442	rassf2.S	108712761
478373	ptprd	5789	601598		478374	100145434	17332285	ptprd.L	108714090	865171	ptprd.S	399155
478382	pygl	5836	613741	232700	478383	779523	17336338	pygl.L	108698772	865172	pygl.S	494832
478391	spic	121599	612568		478392	100488046	478396	spic.L	108710583	17345039	spic.S	446812
478409	nr1d2	9975	602304		478410	100101761	6486246	nr1d2.L		17339579	nr1d2.S	
478418	mapk6	5597	602904		478419	100494114	17330712	mapk6.L	108711387	6485781	mapk6.S	108712920
478427	sfrp4	6424	606570	265900	478428	100492736	17340146	sfrp4.L	108719015	17340147	sfrp4.S	
478436	mapk8ip1	9479	604641	125853	478437	100496373	6486896	mapk8ip1.L		17331342	mapk8ip1.S	
478442	nedd4	4734	602278		478443	100496333	6488646	nedd4.L	108711373	17338304	nedd4.S	108712929
478451	crx	1406	602225	120970|268000|613829	478452	548775	865179	crx.L	398118	6252876	crx.S	373653
478461	hoxd3	3232	142980		478462	100038058	865180	hoxd3.L	100036911	17338958	hoxd3.S	108703006
478471	olig1	116448	606385		478472	100487848	17330048	olig1.L	108707662	17330049	olig1.S	108709077
478478	rasl10b	91608	612128		478479	100489153	865182	rasl10b.L	100036832	17330041	rasl10b.S	108709618
478482	cga	1081	118850		478483	100488153	865183	cga.L	432256	6252371	cga.S	378681
478492	rxrg	6258	180247		478493	779621	865184	rxrg.L	496325	17336916	rxrg.S	
478501	postn	10631	608777		478502	100127174	6486937	postn.L	108708684	17335613	postn.S	108709939
478511	slc4a1ap	22950	602655		478512	100494917	6485886	slc4a1ap.L	108716509	17331613	slc4a1ap.S	108717380
478517	not				478518	100038059	6252631	not.L	397703	865187	not.S	397961
478524	hoxb2	3212	142967		478525	100038155	17335034	hoxb2.L	108700803	478530	hoxb2.S	733446
478534	rora	6095	600825	618060	478535	780120	17343726	rora.L	108711313	17343727	rora.S	108712978
478543	foxe1	2304	602617	241850|616534	478544	100038190	865189	foxe1.L	496399	17336853	foxe1.S	108706916
478552	lamc1	3915	150290	176780	478553	100036631	17345593	lamc1.L	108714357	6485731	lamc1.S	108715634
