Gene Symbol	Human Entrez ID
trnt1	51095
foxh1.2	8928
nr5a2	2494
tbx1	6899
nr1d1	9572
nucb1	4924
nsa2	10412
csnk1a1	1452
hoxc6	3223
hba1	3039
gdf9	2661
c2	717
gata2	2624
slc5a1.2	6523
gdf2	2658
sorbs2	8470
tgfbr3	7049
apln	8862
fzd4	8322
suclg1	8802
mbip	51562
ptprs	5802
wnt10a	80326
sostdc1	25928
tcf3	6929
oxt	5020
atat1	79969
slc24a4	123041
rab28	9364
rhob	388
zbtb16	7704
fzd9	8326
egfl8	80864
ddx39b	7919
vax1	11023
fgg	2266
rassf2	9770
ptprd	5789
pygl	5836
spic	121599
nr1d2	9975
mapk6	5597
sfrp4	6424
mapk8ip1	9479
nedd4	4734
crx	1406
hoxd3	3232
olig1	116448
rasl10b	91608
cga	1081
rxrg	6258
postn	10631
slc4a1ap	22950
not	
hoxb2	3212
rora	6095
foxe1	2304
lamc1	3915
ccnt1	904
dner	92737
tgfbr1	7046
cd83	9308
frs3	10817
nkx6-3	157848
nog4	
tcf25	22980
tnni2	7136
dact1	51339
ankrd6	22881
prkcd	5580
irs1	
flii	2314
bag6	7917
fgfr4	2264
ccnk	8812
rxra	6256
impdh2	3615
ckmt1b	1159
cdkn2b	1030
mapkap1	79109
six3	6496
fga	2243
tbxt	6862
polg	5428
fras1	80144
fzd6	8323
map2k1	5604
hoxc13	3229
nudcd1	84955
acvr1	90
mycn	4613
avp	551
bmp10	27302
c4a	720
hoxa10	3206
stard13	90627
slc9b2	133308
mrps18b	28973
foxf1	2294
tll2	7093
rxfp3	51289
odc1	4953
agtr1	185
hoxd4	3233
ppt2	9374
cdhr1	92211
stat4	6775
hivep1	3096
rab2a	5862
cchcr1	54535
nkx3-1	4824
rap1b	5908
smurf1	57154
foxc1	2296
psmb8	5696
csnk1g3	1456
apom	55937
rab14	51552
tbx21	30009
fstl5	
olig2	10215
slc4a4	8671
bmp6	654
lmo2	4005
app	351
vwa7	80737
ifnl3	282617
ighx	
nbl1	4681
bmp1	649
cyp24a1	1591
dll1	28514
ankrd49	
ppp2r5c	5527
stk19	8859
foxd4l1.1	200350
fgfr3	2261
mmp11	4320
angptl5	253935
eya1	2138
sufu	51684
bmp15	9210
ms4a1	931
slc12a3l	6559
notch1	4851
lmo4.2	8543
rab30	27314
khdrbs1	10657
nr0b2	8431
cfb	629
bmp5	653
hras	3265
umod.1	7369
ttr	7276
hes6.2	55502
sbno1	55206
clic1	1192
ar	367
meis1	4211
slc6a7	6534
pbx3	5090
mapk1	5594
cxxc4	80319
nusap1	51203
rps6ka1	6195
rln3	117579
bcap31	10134
fgf11	2256
cdkn2c	1031
aicda	57379
atp6v1a	523
zeb2	9839
wnt3	7473
cxcl2	2920
hdac1	3065
socs5	9655
ctnna1	1495
ppp1r8	5511
spib	6689
