ID	GeneSymbol
axo17557-f_at	SALL4
axo07949-f_at	TNC
axo16342-r_at	TMEM132A
axo08174-f_at	MMP1
axo00376-f_at	COL11A1
axo15507-f_at	PALLD
axo08175-f_at	MMP1
axo02039-f_at	SMG7
axo10788-r_at	COL7A1
axo30154-f_at	
axo27623-f_at	
axo31558-f_at	
axo09768-f_at	EMX2
axo19472-f_at	KAZALD1
axo31342-f_at	
axo12021-r_at	PAMR1
axo26232-f_at	
axo07993-r_at	ITGB5
axo29485-f_at	
axo10787-f_at	COL7A1
axo05637-f_at	PRG4
axo03238-f_at	PMEPA1
axo25295-f_at	
axo28115-f_at	
axo06014-r_at	KRT17
axo08743-f_at	SDC2
axo03355-f_at	IKIP
axo31371-f_at	
axo02067-f_at	L3MBTL4
axo09896-f_at	CHST2
axo23311-r_at	
axo27672-f_at	
axo13524-r_at	MED4
axo03591-f_at	FN1
axo09595-f_at	FCGBP
axo28265-f_at	
axo25215-f_at	
axo16915-f_at	PAG1
axo05348-r_at	TGFBI
axo01819-f_at	TMEM86A
axo29074-f_at	
axo08967-f_at	THBS1
axo29060-f_at	
axo27892-f_at	
axo25539-f_at	
axo04310-f_at	FILIP1L
axo19399-r_at	NPL
axo29410-f_at	
axo25042-f_at	
axo05645-r_at	MMP2
axo08186-f_at	MMP13
axo26027-f_at	
axo16813-r_at	C9orf72
axo11181-f_at	LAMA1
axo05700-f_at	ANUBL1
axo03320-f_at	PLEC1
axo29961-f_at	
axo28400-f_at	
axo26908-f_at	
axo02795-f_at	FILIP1L
axo24762-f_at	
axo10046-f_at	DYNC1I1
axo15921-f_at	DACT1
axo04921-f_at	ENTPD1
axo04319-f_at	ABHD12
axo03136-f_at	
axo25727-f_at	
axo31329-f_at	
axo08876-r_at	SRPR
axo11919-f_at	TFDP2
axo27019-f_at	
axo11819-f_at	PCSK5
axo24528-f_at	
axo19004-f_at	C12orf49
axo08178-f_at	MMP3
axo25133-f_at	
axo28051-f_at	
axo25630-f_at	
axo08487-r_at	MAPK6
axo10364-r_at	RABEP1
axo27615-f_at	
axo07990-f_at	ITGB1
axo01293-r_at	MAP4K4
axo30030-f_at	
axo27123-f_at	
axo17780-f_s_at	LSP1
axo20006-r_at	TUBB6
axo16493-f_at	GPATCH1
axo17281-f_at	KIAA1370
axo16643-f_at	PBRM1
axo08999-f_at	GPR137B
axo25415-f_at	
axo06213-f_at	OXCT1
axo28223-f_at	
axo10749-f_at	PLA2G7
axo22179-f_at	
axo01164-r_at	ZNF25
axo22108-r_at	
axo11761-f_s_at	LGALS4
axo21601-r_at	
axo14098-f_at	RB1CC1
axo28240-f_at	
axo18258-f_at	SDF2L1
axo29833-f_at	
axo03654-r_at	
axo30307-f_at	
axo04448-f_at	TCN1
axo07001-f_at	BMP2
axo28475-f_at	
axo14439-f_at	SDC1
axo02658-f_at	PKIG
axo07343-r_at	IGFBP2
axo08969-f_at	THBS2
axo06677-f_at	RAB34
axo13080-f_at	PXDN
axo24428-f_at	
axo25348-f_at	
axo25693-f_at	
axo12695-r_at	THBS3
axo03544-r_at	TSEN54
axo28246-f_at	
axo11782-f_at	NNMT
axo01322-r_at	HMGA1
axo06518-r_at	COL17A1
axo24047-f_at	
axo15239-f_at	ZNF777
axo18376-f_at	OSGEPL1
axo24546-f_at	
axo00173-f_at	PLEKHG4B
axo24906-f_at	
axo22273-r_at	
axo08503-r_at	HTRA1
axo14263-r_at	ZNF510
axo12416-f_at	CDC42EP2
axo07705-f_at	CTSD
axo08144-f_at	MAS1
axo10057-f_at	ECM1
axo17376-f_at	SMARCAD1
axo00649-f_at	HELQ
axo07933-f_at	HNRNPK
axo28839-f_at	
axo03236-f_at	COL28A1
axo13232-f_at	ZNF774
axo11006-f_at	LMO7
axo21901-f_at	
axo24728-f_at	
axo13866-f_at	ERO1L
axo04593-f_at	ETV4
axo07126-f_at	CTSO
axo07929-r_at	HMOX1
axo06457-r_at	WDR47
axo12432-r_at	ZNF280D
axo05530-f_at	POLD2
axo14814-f_at	UBR2
axo25979-f_at	
axo29420-f_at	
axo05917-f_at	PLCH1
axo11920-f_at	TFPI
axo03039-f_at	CMIP
axo10174-f_at	MLLT3
axo09432-f_at	PCDHGA12
axo05461-f_at	ZBTB1
axo30211-f_at	
axo07680-f_at	CRABP2
axo16226-f_at	RETSAT
axo13652-r_at	TMEM50A
axo31517-f_at	
axo27325-f_at	
axo11147-f_at	HMGCS2
axo00448-f_at	ATRIP
axo10800-r_at	HS3ST1
axo14985-r_at	DKFZP564O0823
axo05926-f_at	HYOU1
axo13148-r_at	MYO10
axo11226-r_at	PTK2
axo08979-f_at	TIMP1
axo18752-r_at	CRELD2
axo12227-f_at	FUT9
axo28354-f_at	
axo21314-f_at	KRTAP9-2
axo15971-f_at	BCMO1
axo07584-r_at	IL8RA
axo18696-f_at	SECISBP2
axo23458-r_at	
axo03134-r_at	C1QTNF1
axo01201-f_at	MAP2K3
axo05853-f_at	GLB1
axo31695-f_at	
axo05430-f_at	ADFP
axo18550-f_at	RMND5A
axo17889-f_at	FXR1
axo01363-r_at	CTSB
axo12174-f_at	TFPI2
axo11600-f_at	VPS72
axo06350-r_at	BARD1
axo12424-f_at	EHD1
axo27832-f_at	
axo05953-f_at	TMEM106B
axo08657-r_at	RBMS1
axo18161-r_at	VPS11
axo30381-f_at	
axo27455-f_at	
axo07349-f_at	HDAC2
axo24582-f_at	
axo09192-f_at	GSTM4
axo08984-f_at	GAS6
axo01503-f_at	ZNF572
axo22635-f_at	
axo05600-f_at	PAN2
axo31580-f_s_at	
axo08977-r_at	TIAM1
axo05734-f_at	SMARCA4
axo30572-f_at	
axo16858-f_at	CNO
axo09363-r_at	AGPS
axo26988-f_at	
axo13873-r_at	CXXC1
axo02775-f_at	CREM
axo17403-f_at	MFF
axo20591-f_s_at	CD63
axo03628-r_at	TPM2
axo19913-r_at	C5orf4
axo19903-f_at	LZIC
axo29356-f_at	
axo15640-r_at	HSD17B14
axo30519-f_at	
axo30262-f_at	
axo24713-f_at	
axo01915-f_at	ATP2A2
axo12061-f_at	OLFM4
axo06879-r_at	TDRD3
axo02494-r_at	MARCH3
axo05076-f_at	IKBKG
axo28284-f_at	
axo13846-f_at	TFCP2L1
axo04452-f_at	NCF1
axo11192-r_at	LGALS3BP
axo11879-f_at	DNAJC3
axo01251-f_at	FAM100A
axo19486-f_at	LOC81691
axo06340-f_at	SERPINE2
axo09019-r_at	TPM4
axo09082-f_at	UCP2
axo16332-f_at	UCKL1
axo20908-f_at	LGALS4
axo15922-r_at	CRNKL1
axo12277-f_at	IQGAP2
axo29567-f_at	
axo10331-r_at	PIAS2
axo04453-f_at	TNFRSF1A
axo10791-f_at	COL7A1
axo21428-f_s_at	YWHAZ
axo19090-f_at	KIAA0319L
axo12917-f_at	COMMD3
